geneName,4cell,4cell,4cell,4cell,4cell,4cell,4cell
gene1,0.000000,3.809202,1.099431,10.651500,1.066151,19.646163,0.000000
gene2,0.000000,0.000000,0.000000,0.000000,1.444740,0.021075,10.537719
gene3,160.195236,71.290623,206.651187,198.782727,260.207464,143.485633,229.492683
gene4,0.000000,7.675947,5.335905,0.048015,14.707559,0.056851,0.000000
gene5,43.353915,34.568577,45.200478,17.608675,48.168798,43.371220,54.231821
gene6,0.005594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene7,0.916498,0.811395,0.485680,0.218751,3.441762,63.777203,28.065352
gene8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene9,100.517261,93.127138,102.873427,126.008875,107.247010,95.949527,92.437944
gene10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene13,0.000000,0.000000,0.000000,0.091643,0.000000,0.000000,0.000000
gene14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene17,10.489843,1.230791,4.156976,4.852870,0.761508,9.650266,0.000000
gene18,0.000000,0.000000,0.607382,0.000000,0.086084,2.426086,0.000000
gene19,0.000000,0.000000,0.173330,19.957084,5.036045,1.316950,0.034022
gene20,1.887708,9.149652,0.180560,0.151334,0.000000,5.375520,0.000000
gene21,0.168616,5.629956,28.673533,82.120973,94.172277,21.640830,30.874303
gene22,0.000000,0.000000,0.000000,0.000000,0.000000,11.961994,0.000000
gene23,12.800046,7.390961,3.514584,3.469699,11.830378,1.907396,0.371459
gene24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene27,0.000000,0.000000,0.000000,0.146279,1.130789,0.173200,0.000000
gene28,0.000000,0.000000,0.000000,2.556141,0.000000,0.000000,0.000000
