geneName,4cell,4cell,4cell,4cell,4cell,4cell,4cell,4cell,4cell,4cell,4cell,4cell,4cell,4cell
gene1,0.000000,3.809202,1.099431,0.108411,2.031610,7.857470,0.000000,11.235168,5.027083,9.002851,10.651500,1.066151,19.646163,0.000000
gene2,0.000000,0.000000,0.000000,0.386508,0.000000,0.000000,6.059391,0.000000,0.000000,0.132495,0.000000,1.444740,0.021075,10.537719
gene3,160.195236,71.290623,206.651187,89.466660,96.190687,79.563013,217.315923,195.582198,211.609863,190.432895,198.782727,260.207464,143.485633,229.492683
gene4,0.000000,7.675947,5.335905,2.115914,0.191556,0.161643,1.916628,0.000000,0.310249,0.000000,0.048015,14.707559,0.056851,0.000000
gene5,43.353915,34.568577,45.200478,93.964526,41.331545,87.306536,76.114963,70.169361,47.217899,107.086298,17.608675,48.168798,43.371220,54.231821
gene6,0.005594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene7,0.916498,0.811395,0.485680,56.964984,11.746947,29.098165,34.284055,24.376551,56.003052,40.963696,0.218751,3.441762,63.777203,28.065352
gene8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene9,100.517261,93.127138,102.873427,171.456845,128.505963,143.359116,126.319362,158.113332,142.070775,133.137988,126.008875,107.247010,95.949527,92.437944
gene10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.617962,0.000000,0.000000,0.000000,0.000000,0.000000
gene12,0.000000,0.000000,0.000000,0.000000,1.082905,0.000000,0.000000,0.000000,0.292348,0.000000,0.000000,0.000000,0.000000,0.000000
gene13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.057062,0.000000,0.000000,0.091643,0.000000,0.000000,0.000000
gene14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene17,10.489843,1.230791,4.156976,12.238571,1.902973,19.758421,21.945626,14.258380,0.536019,7.622336,4.852870,0.761508,9.650266,0.000000
gene18,0.000000,0.000000,0.607382,0.056897,13.801972,0.049986,0.000000,0.046613,7.339427,0.000000,0.000000,0.086084,2.426086,0.000000
gene19,0.000000,0.000000,0.173330,0.081185,0.000000,7.025309,2.680676,0.133021,7.631830,2.395139,19.957084,5.036045,1.316950,0.034022
gene20,1.887708,9.149652,0.180560,0.000000,0.000000,0.000000,0.000000,0.059387,3.157646,0.000000,0.151334,0.000000,5.375520,0.000000
gene21,0.168616,5.629956,28.673533,49.964067,63.329778,68.202025,75.449464,72.071248,169.793388,40.604056,82.120973,94.172277,21.640830,30.874303
gene22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.961994,0.000000
gene23,12.800046,7.390961,3.514584,1.804447,0.362541,18.077507,33.636192,8.480728,6.512377,18.679124,3.469699,11.830378,1.907396,0.371459
gene24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.146279,1.130789,0.173200,0.000000
gene28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.556141,0.000000,0.000000,0.000000
gene29,31.023770,42.262712,55.533352,55.930570,22.853571,102.499995,58.865019,51.487129,51.465094,79.295242,5.885324,67.788330,31.775995,5.040580
gene30,3.589503,1.165216,2.141768,0.000000,29.243127,105.756707,47.319894,13.149430,32.139187,4.384543,0.000000,54.639374,1.859768,0.000000
gene31,112.213143,164.909886,147.220080,52.738307,159.611798,47.516216,84.520049,80.486845,156.810818,146.763639,193.677553,149.136622,119.734385,164.101929
gene32,0.000000,0.000000,0.000000,0.047345,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene33,1.944674,12.717376,30.800307,12.073489,30.145940,4.877361,20.200746,17.060185,19.801562,29.406783,27.580654,29.383161,16.739519,31.464676
gene34,0.000000,0.000000,1.472350,0.000000,0.066274,0.000000,0.150138,4.537147,0.000000,0.000000,3.089824,0.000000,0.039338,1.908855
gene35,11.631733,36.235673,1.204825,28.321759,4.479781,22.402593,7.008346,0.520106,24.710729,4.457634,4.638826,8.938205,6.865654,7.094598
gene36,20.024258,3.416964,0.552593,1.800568,4.488374,22.390902,14.112914,11.955083,2.715400,2.734075,17.252996,3.468412,10.155289,7.812439
gene37,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene38,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.160125,44.046067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene40,260.310883,233.921690,150.520803,202.470804,159.132210,139.017550,95.167091,216.913246,157.562642,286.685663,162.489048,186.240854,218.851557,259.800201
gene41,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.627037,0.000000,0.000000,1.645691,0.000000,0.000000
gene42,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene43,0.114221,0.074156,0.068152,0.000000,0.066467,0.000000,0.112931,0.156909,0.107652,0.418557,0.249905,0.096592,0.473433,0.053509
gene44,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene45,0.000000,0.180478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037728,0.000000,0.000000,0.000000,0.000000
gene46,27.303100,2.592626,0.348162,10.518159,2.737629,1.575900,1.502391,11.739821,1.804512,0.059395,14.218764,3.053217,12.659684,13.052619
gene47,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.319163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045367
gene48,0.037935,0.000000,1.358086,0.063610,3.576138,0.223533,0.000000,24.909765,9.224323,0.000000,0.000000,0.000000,0.000000,0.000000
gene49,0.026638,0.000000,0.047682,1.250662,0.325517,9.535503,0.000000,0.073186,0.000000,0.000000,1.993199,5.609078,4.347394,0.000000
gene50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene51,0.000000,0.000000,0.000000,0.000000,0.031570,7.246100,0.000000,0.000000,0.000000,0.000000,0.000000,3.486788,1.658401,1.321591
gene52,11.880449,7.285118,4.700314,25.028995,23.531507,20.355435,4.384695,25.122218,12.671106,12.202502,10.846766,11.991134,16.452740,18.632256
gene53,0.123654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.737093
gene54,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene55,19.954696,12.710564,1.363551,0.460889,0.822573,11.904177,4.293744,4.002378,7.094298,0.834545,8.474110,2.928720,6.261863,12.857847
gene56,8.310154,54.506161,63.300293,58.432525,47.919678,46.455360,65.868201,101.054537,32.441183,70.110598,27.988874,60.883642,18.311644,53.601436
gene57,0.157000,0.076433,0.000000,0.000000,0.000000,0.000000,0.310396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene58,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene59,0.020901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.439006,0.000000,0.000000,0.000000
gene60,0.000000,0.000000,3.684765,0.000000,0.165224,0.000000,4.515016,0.000000,15.186418,0.057803,0.000000,9.544398,2.978942,0.000000
