geneName,zy,zy,zy,zy,early2cell,early2cell,early2cell,early2cell,early2cell,early2cell,early2cell,early2cell,mid2cell,16cell
gene1,47.279459,41.686168,40.488647,40.654068,58.090776,38.721975,62.010108,32.126673,34.223752,61.590765,64.937525,46.261199,44.352777,67.827998
gene2,6.814470,2.761351,5.332011,5.680378,4.999476,5.036685,8.884119,18.148106,11.824150,8.798366,6.441430,4.900390,5.863137,0.927910
gene3,71.055326,46.565415,54.093004,50.647302,14.457781,8.776082,33.047675,13.664766,24.869904,29.916046,29.288118,24.394217,8.761396,0.000000
gene4,11.612163,12.196988,16.013827,11.197666,12.556319,1.107843,7.157118,8.711153,1.768577,5.452436,8.402961,14.509858,2.660661,0.000000
gene5,0.000000,0.000000,0.401683,1.389649,0.118247,0.000000,0.000000,0.000000,2.869186,1.056028,0.669738,0.000000,4.116142,0.000000
gene6,0.005053,0.000000,0.102917,0.000000,0.000000,0.000000,0.016409,0.000000,0.000000,0.000000,0.000000,0.000000,0.021135,0.000000
gene7,1.634893,1.939272,1.068478,4.393258,6.823002,2.108825,0.000000,0.000000,0.092068,2.982000,4.479160,0.000000,6.902692,0.000000
gene8,0.000000,0.138716,0.304362,0.092084,0.000000,0.000000,1.128863,0.753301,0.000000,0.239708,0.268614,0.053461,0.000000,0.000000
gene9,99.802861,108.474597,105.499997,115.314368,149.173483,154.096854,110.161589,112.891254,148.552324,121.283375,116.478737,142.323926,250.228722,1.229381
gene10,0.010289,0.000000,0.000000,0.000000,1.464840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.274298,0.000000,0.000000
gene11,0.000000,0.000000,0.000000,0.000000,0.617458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.766430,0.000000
gene12,0.000000,0.000000,0.000000,0.000000,3.213225,2.127113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.924850,0.000000
gene13,0.095602,0.195376,1.374561,1.673584,3.747722,0.000000,0.000000,0.000000,0.029611,0.265272,0.352140,0.000000,0.000000,0.000000
gene14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene15,0.152337,0.041054,0.365048,0.112420,0.336751,0.000000,0.424032,0.000000,0.323535,0.195092,0.043723,0.116029,0.000000,0.000000
gene16,0.000000,0.053289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.051681,0.048647,0.000000,0.000000,0.000000
gene17,17.456041,37.593217,24.268717,22.035218,47.246206,41.360678,37.538079,42.282639,27.240447,30.986555,30.670599,33.008488,38.262651,0.000000
gene18,25.045941,21.578586,23.699327,14.908817,14.333049,24.006797,30.331428,12.357745,17.587398,27.532852,27.976644,15.380951,0.000000,0.138604
gene19,4.276529,0.979768,1.681520,1.598320,0.307796,0.249023,0.538294,0.996206,0.184823,1.585013,1.531927,1.649674,2.641467,0.000000
gene20,0.598590,1.532500,0.953655,0.962745,2.951864,0.774109,0.000000,0.000000,3.545025,1.095131,1.585909,0.710187,1.863543,0.000000
gene21,0.000000,0.000000,0.000000,0.000000,0.510454,0.110129,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.349759,0.000000
gene22,0.311640,0.801672,0.000000,0.000000,0.000000,0.000000,0.828040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene23,113.188734,103.478407,98.022861,83.262708,124.715569,97.384063,121.770845,114.517642,98.126640,107.508813,106.398748,109.470873,75.686605,0.128530
gene24,0.759459,2.055586,0.118690,0.056857,0.204384,0.330714,0.000000,0.074419,0.000000,4.087782,2.874798,0.117367,0.000000,0.000000
