"","sc3_9_clusters"
"Var1_1","9"
"Var1_2","9"
"Var1_3","9"
"Var1_4","9"
"Var1_5","9"
"Var1_6","9"
"Var1_7","9"
"Var1_8","9"
"Var1_9","9"
"Var1_10","9"
"Var1_11","9"
"Var1_12","9"
"Var1_13","6"
"Var1_14","6"
"Var1_15","6"
"Var1_16","6"
"Var1_17","6"
"Var1_18","6"
"Var1_19","6"
"Var1_20","6"
"Var1_21","6"
"Var1_22","6"
"Var1_23","6"
"Var1_24","6"
"Var1_25","6"
"Var1_26","6"
"Var1_27","6"
"Var1_28","6"
"Var1_29","6"
"Var1_30","6"
"Var1_31","6"
"Var1_32","6"
"Var1_33","6"
"Var1_34","6"
"Var1_35","7"
"Var1_36","7"
"Var1_37","7"
"Var1_38","7"
"Var1_39","7"
"Var1_40","7"
"Var1_41","7"
"Var1_42","7"
"Var1_43","7"
"Var1_44","7"
"Var1_45","7"
"Var1_46","7"
"Var1_47","7"
"Var1_48","7"
"Var1_49","1"
"Var1_50","1"
"Var1_51","1"
"Var1_52","1"
"Var1_53","1"
"Var1_54","1"
"Var1_55","1"
"Var1_56","1"
"Var1_57","1"
"Var1_58","1"
"Var1_59","1"
"Var1_60","1"
"Var1_61","1"
"Var1_62","1"
"Var1_63","1"
"Var1_64","1"
"Var1_65","1"
"Var1_66","1"
"Var1_67","1"
"Var1_68","1"
"Var1_69","1"
"Var1_70","1"
"Var1_71","1"
"Var1_72","1"
"Var1_73","1"
"Var1_74","1"
"Var1_75","1"
"Var1_76","1"
"Var1_77","8"
"Var1_78","8"
"Var1_79","8"
"Var1_80","8"
"Var1_81","8"
"Var1_82","8"
"Var1_83","8"
"Var1_84","8"
"Var1_85","8"
"Var1_86","1"
"Var1_87","1"
"Var1_88","1"
"Var1_89","1"
"Var1_90","1"
"Var1_91","1"
"Var1_92","1"
"Var1_93","1"
"Var1_94","1"
"Var1_95","1"
"Var1_96","1"
"Var1_97","1"
"Var1_98","1"
"Var1_99","1"
"Var1_100","1"
"Var1_101","1"
"Var1_102","1"
"Var1_103","9"
"Var1_104","1"
"Var1_105","1"
"Var1_106","1"
"Var1_107","1"
"Var1_108","1"
"Var1_109","1"
"Var1_110","1"
"Var1_111","1"
"Var1_112","1"
"Var1_113","1"
"Var1_114","1"
"Var1_115","1"
"Var1_116","1"
"Var1_117","1"
"Var1_118","1"
"Var1_119","1"
"Var1_120","1"
"Var1_121","1"
"Var1_122","1"
"Var1_123","1"
"Var1_124","1"
"Var1_125","1"
"Var1_126","1"
"Var1_127","1"
"Var1_128","1"
"Var1_129","1"
"Var1_130","1"
"Var1_131","1"
"Var1_132","1"
"Var1_133","1"
"Var1_134","1"
"Var1_135","1"
"Var1_136","4"
"Var1_137","3"
"Var1_138","4"
"Var1_139","4"
"Var1_140","2"
"Var1_141","2"
"Var1_142","2"
"Var1_143","4"
"Var1_144","2"
"Var1_145","4"
"Var1_146","4"
"Var1_147","4"
"Var1_148","3"
"Var1_149","4"
"Var1_150","4"
"Var1_151","2"
"Var1_152","2"
"Var1_153","4"
"Var1_154","4"
"Var1_155","4"
"Var1_156","2"
"Var1_157","2"
"Var1_158","2"
"Var1_159","2"
"Var1_160","2"
"Var1_161","2"
"Var1_162","2"
"Var1_163","4"
"Var1_164","2"
"Var1_165","2"
"Var1_166","4"
"Var1_167","2"
"Var1_168","4"
"Var1_169","2"
"Var1_170","2"
"Var1_171","2"
"Var1_172","4"
"Var1_173","4"
"Var1_174","4"
"Var1_175","4"
"Var1_176","2"
"Var1_177","3"
"Var1_178","4"
"Var1_179","2"
"Var1_180","4"
"Var1_181","4"
"Var1_182","2"
"Var1_183","2"
"Var1_184","4"
"Var1_185","4"
"Var1_186","4"
"Var1_187","2"
"Var1_188","4"
"Var1_189","2"
"Var1_190","2"
"Var1_191","2"
"Var1_192","4"
"Var1_193","2"
"Var1_194","2"
"Var1_195","4"
"Var1_196","2"
"Var1_197","2"
"Var1_198","2"
"Var1_199","2"
"Var1_200","2"
"Var1_201","2"
"Var1_202","2"
"Var1_203","4"
"Var1_204","4"
"Var1_205","2"
"Var1_206","2"
"Var1_207","2"
"Var1_208","2"
"Var1_209","4"
"Var1_210","2"
"Var1_211","2"
"Var1_212","2"
"Var1_213","2"
"Var1_214","2"
"Var1_215","4"
"Var1_216","2"
"Var1_217","4"
"Var1_218","4"
"Var1_219","2"
"Var1_220","2"
"Var1_221","4"
"Var1_222","4"
"Var1_223","2"
"Var1_224","4"
"Var1_225","2"
"Var1_226","4"
"Var1_227","2"
"Var1_228","2"
"Var1_229","4"
"Var1_230","4"
"Var1_231","4"
"Var1_232","4"
"Var1_233","4"
"Var1_234","4"
"Var1_235","4"
"Var1_236","4"
"Var1_237","4"
"Var1_238","4"
"Var1_239","5"
"Var1_240","2"
"Var1_241","5"
"Var1_242","5"
"Var1_243","5"
"Var1_244","5"
"Var1_245","5"
"Var1_246","5"
"Var1_247","5"
"Var1_248","5"
"Var1_249","2"
"Var1_250","5"
"Var1_251","2"
"Var1_252","5"
"Var1_253","5"
"Var1_254","5"
"Var1_255","5"
"Var1_256","5"
"Var1_257","5"
"Var1_258","5"
"Var1_259","5"
"Var1_260","5"
"Var1_261","5"
"Var1_262","5"
"Var1_263","5"
"Var1_264","5"
"Var1_265","5"
"Var1_266","5"
"Var1_267","5"
"Var1_268","5"
