"","sc3_6_clusters"
"Var1_1","3"
"Var1_2","3"
"Var1_3","3"
"Var1_4","3"
"Var1_5","3"
"Var1_6","3"
"Var1_7","1"
"Var1_8","1"
"Var1_9","1"
"Var1_10","1"
"Var1_11","1"
"Var1_12","1"
"Var1_13","1"
"Var1_14","1"
"Var1_15","1"
"Var1_16","1"
"Var1_17","1"
"Var1_18","1"
"Var1_19","1"
"Var1_20","1"
"Var1_21","1"
"Var1_22","1"
"Var1_23","1"
"Var1_24","1"
"Var1_25","1"
"Var1_26","1"
"Var1_27","1"
"Var1_28","1"
"Var1_29","1"
"Var1_30","1"
"Var1_31","1"
"Var1_32","1"
"Var1_33","1"
"Var1_34","1"
"Var1_35","1"
"Var1_36","1"
"Var1_37","1"
"Var1_38","1"
"Var1_39","1"
"Var1_40","1"
"Var1_41","1"
"Var1_42","1"
"Var1_43","1"
"Var1_44","1"
"Var1_45","1"
"Var1_46","1"
"Var1_47","5"
"Var1_48","5"
"Var1_49","5"
"Var1_50","5"
"Var1_51","5"
"Var1_52","5"
"Var1_53","5"
"Var1_54","5"
"Var1_55","5"
"Var1_56","5"
"Var1_57","5"
"Var1_58","5"
"Var1_59","5"
"Var1_60","5"
"Var1_61","5"
"Var1_62","5"
"Var1_63","6"
"Var1_64","6"
"Var1_65","6"
"Var1_66","6"
"Var1_67","6"
"Var1_68","6"
"Var1_69","6"
"Var1_70","6"
"Var1_71","6"
"Var1_72","6"
"Var1_73","6"
"Var1_74","6"
"Var1_75","4"
"Var1_76","4"
"Var1_77","4"
"Var1_78","4"
"Var1_79","4"
"Var1_80","4"
"Var1_81","4"
"Var1_82","4"
"Var1_83","4"
"Var1_84","4"
"Var1_85","4"
"Var1_86","4"
"Var1_87","4"
"Var1_88","4"
"Var1_89","4"
"Var1_90","4"
"Var1_91","3"
"Var1_92","3"
"Var1_93","3"
"Var1_94","3"
"Var1_95","3"
"Var1_96","3"
"Var1_97","3"
"Var1_98","3"
"Var1_99","3"
"Var1_100","3"
"Var1_101","2"
"Var1_102","2"
"Var1_103","2"
"Var1_104","2"
"Var1_105","2"
"Var1_106","2"
"Var1_107","2"
"Var1_108","2"
"Var1_109","2"
"Var1_110","2"
"Var1_111","2"
"Var1_112","2"
"Var1_113","2"
"Var1_114","2"
"Var1_115","2"
"Var1_116","2"
"Var1_117","2"
"Var1_118","2"
"Var1_119","2"
"Var1_120","2"
"Var1_121","2"
"Var1_122","2"
"Var1_123","2"
"Var1_124","2"
