"","sc3_13_clusters"
"Var1_1","5"
"Var1_2","5"
"Var1_3","5"
"Var1_4","5"
"Var1_5","5"
"Var1_6","5"
"Var1_7","5"
"Var1_8","5"
"Var1_9","5"
"Var1_10","5"
"Var1_11","5"
"Var1_12","5"
"Var1_13","5"
"Var1_14","5"
"Var1_15","5"
"Var1_16","5"
"Var1_17","5"
"Var1_18","5"
"Var1_19","5"
"Var1_20","5"
"Var1_21","5"
"Var1_22","5"
"Var1_23","5"
"Var1_24","5"
"Var1_25","5"
"Var1_26","5"
"Var1_27","5"
"Var1_28","5"
"Var1_29","5"
"Var1_30","5"
"Var1_31","5"
"Var1_32","5"
"Var1_33","5"
"Var1_34","5"
"Var1_35","5"
"Var1_36","5"
"Var1_37","5"
"Var1_38","5"
"Var1_39","5"
"Var1_40","5"
"Var1_41","5"
"Var1_42","5"
"Var1_43","5"
"Var1_44","5"
"Var1_45","5"
"Var1_46","5"
"Var1_47","5"
"Var1_48","5"
"Var1_49","5"
"Var1_50","5"
"Var1_51","5"
"Var1_52","5"
"Var1_53","5"
"Var1_54","5"
"Var1_55","5"
"Var1_56","5"
"Var1_57","5"
"Var1_58","5"
"Var1_59","5"
"Var1_60","5"
"Var1_61","5"
"Var1_62","5"
"Var1_63","5"
"Var1_64","5"
"Var1_65","5"
"Var1_66","5"
"Var1_67","5"
"Var1_68","5"
"Var1_69","5"
"Var1_70","5"
"Var1_71","5"
"Var1_72","5"
"Var1_73","5"
"Var1_74","5"
"Var1_75","13"
"Var1_76","13"
"Var1_77","10"
"Var1_78","10"
"Var1_79","10"
"Var1_80","10"
"Var1_81","9"
"Var1_82","13"
"Var1_83","10"
"Var1_84","10"
"Var1_85","10"
"Var1_86","10"
"Var1_87","10"
"Var1_88","10"
"Var1_89","13"
"Var1_90","10"
"Var1_91","10"
"Var1_92","10"
"Var1_93","10"
"Var1_94","10"
"Var1_95","10"
"Var1_96","10"
"Var1_97","10"
"Var1_98","10"
"Var1_99","10"
"Var1_100","13"
"Var1_101","10"
"Var1_102","10"
"Var1_103","10"
"Var1_104","10"
"Var1_105","10"
"Var1_106","8"
"Var1_107","8"
"Var1_108","8"
"Var1_109","8"
"Var1_110","8"
"Var1_111","8"
"Var1_112","8"
"Var1_113","8"
"Var1_114","8"
"Var1_115","8"
"Var1_116","8"
"Var1_117","8"
"Var1_118","8"
"Var1_119","8"
"Var1_120","7"
"Var1_121","7"
"Var1_122","8"
"Var1_123","8"
"Var1_124","8"
"Var1_125","7"
"Var1_126","8"
"Var1_127","7"
"Var1_128","7"
"Var1_129","8"
"Var1_130","8"
"Var1_131","8"
"Var1_132","8"
"Var1_133","8"
"Var1_134","8"
"Var1_135","8"
"Var1_136","8"
"Var1_137","8"
"Var1_138","8"
"Var1_139","8"
"Var1_140","8"
"Var1_141","8"
"Var1_142","8"
"Var1_143","8"
"Var1_144","8"
"Var1_145","8"
"Var1_146","8"
"Var1_147","7"
"Var1_148","7"
"Var1_149","7"
"Var1_150","7"
"Var1_151","7"
"Var1_152","8"
"Var1_153","6"
"Var1_154","6"
"Var1_155","6"
"Var1_156","6"
"Var1_157","6"
"Var1_158","6"
"Var1_159","6"
"Var1_160","6"
"Var1_161","6"
"Var1_162","6"
"Var1_163","6"
"Var1_164","6"
"Var1_165","6"
"Var1_166","6"
"Var1_167","6"
"Var1_168","6"
"Var1_169","6"
"Var1_170","6"
"Var1_171","6"
"Var1_172","6"
"Var1_173","6"
"Var1_174","6"
"Var1_175","6"
"Var1_176","6"
"Var1_177","6"
"Var1_178","6"
"Var1_179","6"
"Var1_180","6"
"Var1_181","6"
"Var1_182","6"
"Var1_183","6"
"Var1_184","6"
"Var1_185","6"
"Var1_186","6"
"Var1_187","6"
"Var1_188","6"
"Var1_189","6"
"Var1_190","6"
"Var1_191","6"
"Var1_192","6"
"Var1_193","6"
"Var1_194","6"
"Var1_195","6"
"Var1_196","6"
"Var1_197","6"
"Var1_198","6"
"Var1_199","6"
"Var1_200","6"
"Var1_201","6"
"Var1_202","6"
"Var1_203","6"
"Var1_204","10"
"Var1_205","11"
"Var1_206","11"
"Var1_207","11"
