"","sc3_9_clusters"
"Var1_1","4"
"Var1_2","4"
"Var1_3","4"
"Var1_4","4"
"Var1_5","4"
"Var1_6","4"
"Var1_7","4"
"Var1_8","4"
"Var1_9","4"
"Var1_10","4"
"Var1_11","4"
"Var1_12","4"
"Var1_13","3"
"Var1_14","3"
"Var1_15","3"
"Var1_16","3"
"Var1_17","9"
"Var1_18","3"
"Var1_19","3"
"Var1_20","3"
"Var1_21","3"
"Var1_22","3"
"Var1_23","3"
"Var1_24","3"
"Var1_25","3"
"Var1_26","7"
"Var1_27","9"
"Var1_28","9"
"Var1_29","7"
"Var1_30","7"
"Var1_31","6"
"Var1_32","7"
"Var1_33","7"
"Var1_34","6"
"Var1_35","8"
"Var1_36","8"
"Var1_37","8"
"Var1_38","6"
"Var1_39","6"
"Var1_40","2"
"Var1_41","9"
"Var1_42","9"
"Var1_43","6"
"Var1_44","9"
"Var1_45","6"
"Var1_46","6"
"Var1_47","6"
"Var1_48","6"
"Var1_49","6"
"Var1_50","6"
"Var1_51","3"
"Var1_52","3"
"Var1_53","3"
"Var1_54","6"
"Var1_55","3"
"Var1_56","7"
"Var1_57","6"
"Var1_58","6"
"Var1_59","9"
"Var1_60","6"
"Var1_61","6"
"Var1_62","6"
"Var1_63","3"
"Var1_64","6"
"Var1_65","6"
"Var1_66","2"
"Var1_67","2"
"Var1_68","2"
"Var1_69","2"
"Var1_70","2"
"Var1_71","2"
"Var1_72","2"
"Var1_73","3"
"Var1_74","2"
"Var1_75","2"
"Var1_76","2"
"Var1_77","2"
"Var1_78","2"
"Var1_79","2"
"Var1_80","2"
"Var1_81","2"
"Var1_82","2"
"Var1_83","2"
"Var1_84","2"
"Var1_85","2"
"Var1_86","2"
"Var1_87","2"
"Var1_88","5"
"Var1_89","5"
"Var1_90","5"
"Var1_91","5"
"Var1_92","5"
"Var1_93","5"
"Var1_94","5"
"Var1_95","5"
"Var1_96","5"
"Var1_97","5"
"Var1_98","5"
"Var1_99","5"
"Var1_100","5"
"Var1_101","5"
"Var1_102","5"
"Var1_103","5"
"Var1_104","1"
"Var1_105","1"
"Var1_106","1"
"Var1_107","1"
"Var1_108","1"
"Var1_109","1"
"Var1_110","1"
"Var1_111","1"
"Var1_112","1"
"Var1_113","1"
"Var1_114","1"
"Var1_115","1"
"Var1_116","1"
"Var1_117","1"
"Var1_118","1"
"Var1_119","1"
"Var1_120","1"
"Var1_121","1"
"Var1_122","1"
"Var1_123","1"
"Var1_124","1"
"Var1_125","1"
"Var1_126","1"
"Var1_127","1"
"Var1_128","1"
"Var1_129","1"
"Var1_130","1"
"Var1_131","1"
"Var1_132","1"
"Var1_133","1"
"Var1_134","1"
"Var1_135","1"
"Var1_136","1"
"Var1_137","1"
"Var1_138","9"
"Var1_139","9"
"Var1_140","9"
"Var1_141","9"
"Var1_142","9"
"Var1_143","9"
"Var1_144","9"
"Var1_145","9"
"Var1_146","9"
"Var1_147","9"
"Var1_148","9"
"Var1_149","9"
