"","sc3_3_clusters"
"Var1_1","1"
"Var1_2","1"
"Var1_3","3"
"Var1_4","1"
"Var1_5","1"
"Var1_6","3"
"Var1_7","1"
"Var1_8","1"
"Var1_9","1"
"Var1_10","3"
"Var1_11","1"
"Var1_12","3"
"Var1_13","3"
"Var1_14","1"
"Var1_15","1"
"Var1_16","1"
"Var1_17","1"
"Var1_18","1"
"Var1_19","1"
"Var1_20","1"
"Var1_21","1"
"Var1_22","1"
"Var1_23","1"
"Var1_24","1"
"Var1_25","1"
"Var1_26","3"
"Var1_27","1"
"Var1_28","1"
"Var1_29","2"
"Var1_30","3"
"Var1_31","3"
"Var1_32","1"
"Var1_33","1"
"Var1_34","1"
"Var1_35","1"
"Var1_36","3"
"Var1_37","2"
"Var1_38","3"
"Var1_39","3"
"Var1_40","1"
"Var1_41","3"
"Var1_42","2"
"Var1_43","1"
"Var1_44","2"
"Var1_45","3"
"Var1_46","1"
"Var1_47","2"
"Var1_48","1"
"Var1_49","1"
"Var1_50","1"
"Var1_51","2"
"Var1_52","3"
"Var1_53","1"
"Var1_54","1"
"Var1_55","1"
"Var1_56","2"
"Var1_57","3"
"Var1_58","2"
"Var1_59","1"
"Var1_60","3"
"Var1_61","3"
"Var1_62","3"
"Var1_63","3"
"Var1_64","3"
"Var1_65","2"
"Var1_66","2"
"Var1_67","3"
"Var1_68","1"
"Var1_69","1"
"Var1_70","1"
"Var1_71","3"
"Var1_72","3"
"Var1_73","2"
"Var1_74","2"
"Var1_75","1"
"Var1_76","2"
"Var1_77","1"
"Var1_78","2"
"Var1_79","1"
"Var1_80","1"
