"","sc3_11_clusters"
"Var1_1","7"
"Var1_2","4"
"Var1_3","7"
"Var1_4","7"
"Var1_5","4"
"Var1_6","4"
"Var1_7","4"
"Var1_8","4"
"Var1_9","4"
"Var1_10","7"
"Var1_11","4"
"Var1_12","7"
"Var1_13","7"
"Var1_14","7"
"Var1_15","4"
"Var1_16","4"
"Var1_17","4"
"Var1_18","4"
"Var1_19","4"
"Var1_20","4"
"Var1_21","4"
"Var1_22","4"
"Var1_23","4"
"Var1_24","4"
"Var1_25","4"
"Var1_26","7"
"Var1_27","7"
"Var1_28","7"
"Var1_29","4"
"Var1_30","4"
"Var1_31","4"
"Var1_32","4"
"Var1_33","4"
"Var1_34","4"
"Var1_35","7"
"Var1_36","4"
"Var1_37","7"
"Var1_38","7"
"Var1_39","4"
"Var1_40","4"
"Var1_41","4"
"Var1_42","7"
"Var1_43","4"
"Var1_44","4"
"Var1_45","4"
"Var1_46","4"
"Var1_47","4"
"Var1_48","4"
"Var1_49","4"
"Var1_50","4"
"Var1_51","7"
"Var1_52","4"
"Var1_53","4"
"Var1_54","4"
"Var1_55","7"
"Var1_56","7"
"Var1_57","7"
"Var1_58","7"
"Var1_59","4"
"Var1_60","7"
"Var1_61","7"
"Var1_62","4"
"Var1_63","7"
"Var1_64","7"
"Var1_65","7"
"Var1_66","7"
"Var1_67","4"
"Var1_68","4"
"Var1_69","4"
"Var1_70","7"
"Var1_71","7"
"Var1_72","7"
"Var1_73","4"
"Var1_74","4"
"Var1_75","4"
"Var1_76","7"
"Var1_77","4"
"Var1_78","7"
"Var1_79","4"
"Var1_80","4"
"Var1_81","4"
"Var1_82","7"
"Var1_83","4"
"Var1_84","7"
"Var1_85","7"
"Var1_86","4"
"Var1_87","4"
"Var1_88","4"
"Var1_89","4"
"Var1_90","4"
"Var1_91","7"
"Var1_92","4"
"Var1_93","7"
"Var1_94","7"
"Var1_95","7"
"Var1_96","7"
"Var1_97","4"
"Var1_98","7"
"Var1_99","7"
"Var1_100","4"
"Var1_101","4"
"Var1_102","4"
"Var1_103","4"
"Var1_104","4"
"Var1_105","7"
"Var1_106","4"
"Var1_107","5"
"Var1_108","4"
"Var1_109","4"
"Var1_110","4"
"Var1_111","4"
"Var1_112","4"
"Var1_113","4"
"Var1_114","4"
"Var1_115","4"
"Var1_116","4"
"Var1_117","4"
"Var1_118","7"
"Var1_119","4"
"Var1_120","7"
"Var1_121","4"
"Var1_122","7"
"Var1_123","4"
"Var1_124","4"
"Var1_125","4"
"Var1_126","7"
"Var1_127","4"
"Var1_128","4"
"Var1_129","7"
"Var1_130","7"
"Var1_131","4"
"Var1_132","4"
"Var1_133","7"
"Var1_134","4"
"Var1_135","7"
"Var1_136","4"
"Var1_137","4"
"Var1_138","4"
"Var1_139","4"
"Var1_140","2"
"Var1_141","2"
"Var1_142","2"
"Var1_143","2"
"Var1_144","2"
"Var1_145","2"
"Var1_146","8"
"Var1_147","2"
"Var1_148","2"
"Var1_149","8"
"Var1_150","2"
"Var1_151","9"
"Var1_152","2"
"Var1_153","2"
"Var1_154","2"
"Var1_155","8"
"Var1_156","2"
"Var1_157","2"
"Var1_158","2"
"Var1_159","2"
"Var1_160","2"
"Var1_161","8"
"Var1_162","8"
"Var1_163","2"
"Var1_164","8"
"Var1_165","8"
"Var1_166","2"
"Var1_167","2"
"Var1_168","2"
"Var1_169","8"
"Var1_170","2"
"Var1_171","2"
"Var1_172","2"
"Var1_173","8"
"Var1_174","2"
"Var1_175","2"
"Var1_176","2"
"Var1_177","2"
"Var1_178","2"
"Var1_179","2"
"Var1_180","8"
"Var1_181","8"
"Var1_182","2"
"Var1_183","8"
"Var1_184","2"
"Var1_185","2"
"Var1_186","2"
"Var1_187","2"
"Var1_188","2"
"Var1_189","8"
"Var1_190","2"
"Var1_191","2"
"Var1_192","2"
"Var1_193","2"
"Var1_194","3"
"Var1_195","2"
"Var1_196","2"
"Var1_197","3"
"Var1_198","2"
"Var1_199","2"
"Var1_200","2"
"Var1_201","2"
"Var1_202","2"
"Var1_203","8"
"Var1_204","2"
"Var1_205","2"
"Var1_206","2"
"Var1_207","8"
"Var1_208","2"
"Var1_209","2"
"Var1_210","2"
"Var1_211","2"
"Var1_212","2"
"Var1_213","2"
"Var1_214","2"
"Var1_215","8"
"Var1_216","8"
"Var1_217","2"
"Var1_218","2"
"Var1_219","2"
"Var1_220","8"
"Var1_221","2"
"Var1_222","2"
"Var1_223","2"
"Var1_224","2"
"Var1_225","2"
"Var1_226","8"
"Var1_227","2"
"Var1_228","2"
"Var1_229","2"
"Var1_230","8"
"Var1_231","8"
"Var1_232","8"
"Var1_233","2"
"Var1_234","8"
"Var1_235","8"
"Var1_236","2"
"Var1_237","2"
"Var1_238","2"
"Var1_239","2"
"Var1_240","2"
"Var1_241","2"
"Var1_242","2"
"Var1_243","8"
"Var1_244","2"
"Var1_245","2"
"Var1_246","8"
"Var1_247","8"
"Var1_248","2"
"Var1_249","2"
"Var1_250","3"
"Var1_251","2"
"Var1_252","2"
"Var1_253","2"
"Var1_254","2"
"Var1_255","2"
"Var1_256","2"
"Var1_257","2"
"Var1_258","2"
"Var1_259","2"
"Var1_260","2"
"Var1_261","2"
"Var1_262","2"
"Var1_263","2"
"Var1_264","2"
"Var1_265","2"
"Var1_266","2"
"Var1_267","2"
"Var1_268","2"
"Var1_269","3"
"Var1_270","2"
"Var1_271","2"
"Var1_272","2"
"Var1_273","2"
"Var1_274","2"
"Var1_275","2"
"Var1_276","2"
"Var1_277","2"
"Var1_278","8"
"Var1_279","2"
"Var1_280","8"
"Var1_281","2"
"Var1_282","8"
"Var1_283","3"
"Var1_284","2"
"Var1_285","9"
"Var1_286","3"
"Var1_287","8"
"Var1_288","9"
"Var1_289","3"
"Var1_290","8"
"Var1_291","8"
"Var1_292","2"
"Var1_293","2"
"Var1_294","2"
"Var1_295","8"
"Var1_296","2"
"Var1_297","2"
"Var1_298","8"
"Var1_299","2"
"Var1_300","2"
"Var1_301","2"
"Var1_302","2"
"Var1_303","2"
"Var1_304","2"
"Var1_305","2"
"Var1_306","2"
"Var1_307","8"
"Var1_308","2"
"Var1_309","4"
"Var1_310","11"
"Var1_311","11"
"Var1_312","4"
"Var1_313","11"
"Var1_314","4"
"Var1_315","11"
"Var1_316","11"
"Var1_317","11"
"Var1_318","11"
"Var1_319","9"
"Var1_320","4"
"Var1_321","11"
"Var1_322","9"
"Var1_323","11"
"Var1_324","11"
"Var1_325","9"
"Var1_326","11"
"Var1_327","11"
"Var1_328","11"
"Var1_329","11"
"Var1_330","11"
"Var1_331","11"
"Var1_332","4"
"Var1_333","4"
"Var1_334","11"
"Var1_335","4"
"Var1_336","11"
"Var1_337","4"
"Var1_338","4"
"Var1_339","4"
"Var1_340","11"
"Var1_341","10"
"Var1_342","4"
"Var1_343","10"
"Var1_344","11"
"Var1_345","11"
"Var1_346","9"
"Var1_347","4"
"Var1_348","11"
"Var1_349","11"
"Var1_350","11"
"Var1_351","4"
"Var1_352","11"
"Var1_353","11"
"Var1_354","11"
"Var1_355","11"
"Var1_356","11"
"Var1_357","11"
"Var1_358","11"
"Var1_359","11"
"Var1_360","10"
"Var1_361","11"
"Var1_362","11"
"Var1_363","4"
"Var1_364","9"
"Var1_365","11"
"Var1_366","9"
"Var1_367","11"
"Var1_368","11"
"Var1_369","10"
"Var1_370","11"
"Var1_371","11"
"Var1_372","9"
"Var1_373","10"
"Var1_374","11"
"Var1_375","9"
"Var1_376","4"
"Var1_377","11"
"Var1_378","11"
"Var1_379","11"
"Var1_380","11"
"Var1_381","8"
"Var1_382","9"
"Var1_383","9"
"Var1_384","11"
"Var1_385","11"
"Var1_386","11"
"Var1_387","4"
"Var1_388","11"
"Var1_389","4"
"Var1_390","1"
"Var1_391","1"
"Var1_392","1"
"Var1_393","1"
"Var1_394","1"
"Var1_395","1"
"Var1_396","1"
"Var1_397","1"
"Var1_398","1"
"Var1_399","1"
"Var1_400","1"
"Var1_401","1"
"Var1_402","1"
"Var1_403","1"
"Var1_404","1"
"Var1_405","1"
"Var1_406","1"
"Var1_407","1"
"Var1_408","1"
"Var1_409","1"
"Var1_410","1"
"Var1_411","1"
"Var1_412","6"
"Var1_413","1"
"Var1_414","1"
"Var1_415","1"
"Var1_416","1"
"Var1_417","1"
"Var1_418","1"
"Var1_419","1"
"Var1_420","1"
"Var1_421","1"
"Var1_422","1"
"Var1_423","1"
"Var1_424","1"
"Var1_425","1"
"Var1_426","1"
"Var1_427","1"
"Var1_428","1"
"Var1_429","1"
"Var1_430","1"
"Var1_431","1"
"Var1_432","1"
"Var1_433","1"
"Var1_434","1"
"Var1_435","1"
"Var1_436","1"
"Var1_437","1"
"Var1_438","1"
"Var1_439","1"
"Var1_440","1"
"Var1_441","1"
"Var1_442","1"
"Var1_443","1"
"Var1_444","1"
"Var1_445","1"
"Var1_446","1"
"Var1_447","1"
"Var1_448","1"
"Var1_449","1"
"Var1_450","1"
"Var1_451","1"
"Var1_452","1"
"Var1_453","1"
"Var1_454","1"
"Var1_455","1"
"Var1_456","1"
"Var1_457","1"
"Var1_458","1"
"Var1_459","1"
"Var1_460","1"
"Var1_461","1"
"Var1_462","1"
"Var1_463","1"
"Var1_464","1"
"Var1_465","1"
"Var1_466","1"
"Var1_467","1"
"Var1_468","6"
"Var1_469","1"
"Var1_470","1"
"Var1_471","1"
"Var1_472","1"
"Var1_473","1"
"Var1_474","1"
"Var1_475","1"
"Var1_476","1"
"Var1_477","1"
"Var1_478","1"
"Var1_479","1"
"Var1_480","1"
"Var1_481","1"
"Var1_482","1"
"Var1_483","1"
"Var1_484","1"
"Var1_485","1"
"Var1_486","1"
"Var1_487","1"
"Var1_488","1"
"Var1_489","1"
"Var1_490","1"
"Var1_491","1"
"Var1_492","1"
"Var1_493","1"
"Var1_494","1"
"Var1_495","1"
"Var1_496","1"
"Var1_497","1"
"Var1_498","1"
"Var1_499","1"
"Var1_500","1"
"Var1_501","1"
"Var1_502","1"
"Var1_503","1"
"Var1_504","1"
"Var1_505","1"
"Var1_506","1"
"Var1_507","1"
"Var1_508","1"
"Var1_509","1"
"Var1_510","1"
"Var1_511","1"
"Var1_512","1"
"Var1_513","1"
"Var1_514","1"
"Var1_515","1"
"Var1_516","1"
"Var1_517","1"
"Var1_518","1"
"Var1_519","1"
"Var1_520","1"
"Var1_521","1"
"Var1_522","1"
"Var1_523","1"
"Var1_524","1"
"Var1_525","1"
"Var1_526","1"
"Var1_527","1"
"Var1_528","1"
"Var1_529","1"
"Var1_530","1"
"Var1_531","1"
"Var1_532","1"
"Var1_533","1"
"Var1_534","1"
"Var1_535","1"
"Var1_536","1"
"Var1_537","1"
"Var1_538","1"
"Var1_539","1"
"Var1_540","1"
"Var1_541","1"
"Var1_542","1"
"Var1_543","1"
"Var1_544","1"
"Var1_545","1"
"Var1_546","1"
"Var1_547","1"
"Var1_548","1"
"Var1_549","1"
"Var1_550","1"
"Var1_551","1"
"Var1_552","1"
"Var1_553","1"
"Var1_554","1"
"Var1_555","1"
"Var1_556","1"
"Var1_557","6"
"Var1_558","1"
"Var1_559","1"
"Var1_560","1"
"Var1_561","1"
"Var1_562","1"
"Var1_563","1"
"Var1_564","1"
"Var1_565","1"
"Var1_566","1"
"Var1_567","1"
"Var1_568","1"
"Var1_569","1"
"Var1_570","1"
"Var1_571","1"
"Var1_572","1"
"Var1_573","1"
"Var1_574","1"
"Var1_575","1"
"Var1_576","1"
"Var1_577","1"
"Var1_578","1"
"Var1_579","1"
"Var1_580","1"
"Var1_581","1"
"Var1_582","1"
"Var1_583","1"
"Var1_584","1"
"Var1_585","1"
"Var1_586","1"
"Var1_587","1"
"Var1_588","1"
"Var1_589","1"
"Var1_590","1"
"Var1_591","1"
"Var1_592","1"
"Var1_593","1"
"Var1_594","1"
"Var1_595","1"
"Var1_596","1"
"Var1_597","1"
"Var1_598","1"
"Var1_599","1"
"Var1_600","1"
"Var1_601","1"
"Var1_602","1"
"Var1_603","1"
"Var1_604","1"
"Var1_605","1"
"Var1_606","1"
"Var1_607","1"
"Var1_608","1"
"Var1_609","1"
"Var1_610","1"
"Var1_611","1"
"Var1_612","1"
"Var1_613","1"
"Var1_614","1"
"Var1_615","1"
"Var1_616","1"
"Var1_617","1"
"Var1_618","1"
"Var1_619","1"
"Var1_620","1"
"Var1_621","1"
"Var1_622","1"
