"","sc3_6_clusters"
"Var1_1","3"
"Var1_2","3"
"Var1_3","3"
"Var1_4","3"
"Var1_5","3"
"Var1_6","3"
"Var1_7","3"
"Var1_8","3"
"Var1_9","3"
"Var1_10","3"
"Var1_11","3"
"Var1_12","3"
"Var1_13","3"
"Var1_14","3"
"Var1_15","3"
"Var1_16","3"
"Var1_17","3"
"Var1_18","3"
"Var1_19","3"
"Var1_20","3"
"Var1_21","3"
"Var1_22","3"
"Var1_23","3"
"Var1_24","3"
"Var1_25","6"
"Var1_26","6"
"Var1_27","6"
"Var1_28","6"
"Var1_29","5"
"Var1_30","5"
"Var1_31","5"
"Var1_32","5"
"Var1_33","5"
"Var1_34","5"
"Var1_35","5"
"Var1_36","5"
"Var1_37","5"
"Var1_38","5"
"Var1_39","5"
"Var1_40","5"
"Var1_41","5"
"Var1_42","5"
"Var1_43","5"
"Var1_44","5"
"Var1_45","4"
"Var1_46","4"
"Var1_47","6"
"Var1_48","4"
"Var1_49","4"
"Var1_50","4"
"Var1_51","4"
"Var1_52","6"
"Var1_53","4"
"Var1_54","4"
"Var1_55","4"
"Var1_56","4"
"Var1_57","4"
"Var1_58","4"
"Var1_59","4"
"Var1_60","4"
"Var1_61","1"
"Var1_62","1"
"Var1_63","1"
"Var1_64","1"
"Var1_65","1"
"Var1_66","1"
"Var1_67","1"
"Var1_68","1"
"Var1_69","1"
"Var1_70","1"
"Var1_71","1"
"Var1_72","1"
"Var1_73","1"
"Var1_74","2"
"Var1_75","2"
"Var1_76","1"
"Var1_77","1"
"Var1_78","1"
"Var1_79","1"
"Var1_80","2"
"Var1_81","1"
"Var1_82","1"
"Var1_83","2"
"Var1_84","2"
"Var1_85","1"
"Var1_86","2"
"Var1_87","2"
"Var1_88","1"
"Var1_89","1"
"Var1_90","1"
