"","sc3_21_clusters"
"Var1_1","12"
"Var1_2","12"
"Var1_3","12"
"Var1_4","12"
"Var1_5","12"
"Var1_6","12"
"Var1_7","12"
"Var1_8","12"
"Var1_9","12"
"Var1_10","12"
"Var1_11","12"
"Var1_12","12"
"Var1_13","12"
"Var1_14","12"
"Var1_15","12"
"Var1_16","12"
"Var1_17","12"
"Var1_18","12"
"Var1_19","12"
"Var1_20","12"
"Var1_21","12"
"Var1_22","12"
"Var1_23","12"
"Var1_24","12"
"Var1_25","7"
"Var1_26","12"
"Var1_27","12"
"Var1_28","12"
"Var1_29","12"
"Var1_30","12"
"Var1_31","12"
"Var1_32","12"
"Var1_33","12"
"Var1_34","12"
"Var1_35","12"
"Var1_36","12"
"Var1_37","12"
"Var1_38","12"
"Var1_39","12"
"Var1_40","12"
"Var1_41","12"
"Var1_42","12"
"Var1_43","12"
"Var1_44","12"
"Var1_45","12"
"Var1_46","12"
"Var1_47","12"
"Var1_48","12"
"Var1_49","12"
"Var1_50","12"
"Var1_51","12"
"Var1_52","12"
"Var1_53","12"
"Var1_54","12"
"Var1_55","12"
"Var1_56","12"
"Var1_57","11"
"Var1_58","12"
"Var1_59","12"
"Var1_60","12"
"Var1_61","12"
"Var1_62","12"
"Var1_63","12"
"Var1_64","12"
"Var1_65","12"
"Var1_66","12"
"Var1_67","12"
"Var1_68","12"
"Var1_69","12"
"Var1_70","12"
"Var1_71","12"
"Var1_72","12"
"Var1_73","12"
"Var1_74","12"
"Var1_75","12"
"Var1_76","12"
"Var1_77","12"
"Var1_78","12"
"Var1_79","12"
"Var1_80","12"
"Var1_81","12"
"Var1_82","12"
"Var1_83","12"
"Var1_84","12"
"Var1_85","12"
"Var1_86","12"
"Var1_87","12"
"Var1_88","12"
"Var1_89","12"
"Var1_90","12"
"Var1_91","12"
"Var1_92","12"
"Var1_93","12"
"Var1_94","12"
"Var1_95","12"
"Var1_96","12"
"Var1_97","12"
"Var1_98","12"
"Var1_99","12"
"Var1_100","12"
"Var1_101","12"
"Var1_102","12"
"Var1_103","12"
"Var1_104","12"
"Var1_105","14"
"Var1_106","12"
"Var1_107","12"
"Var1_108","12"
"Var1_109","12"
"Var1_110","12"
"Var1_111","12"
"Var1_112","12"
"Var1_113","12"
"Var1_114","7"
"Var1_115","12"
"Var1_116","12"
"Var1_117","12"
"Var1_118","12"
"Var1_119","9"
"Var1_120","12"
"Var1_121","12"
"Var1_122","12"
"Var1_123","12"
"Var1_124","12"
"Var1_125","12"
"Var1_126","12"
"Var1_127","10"
"Var1_128","12"
"Var1_129","12"
"Var1_130","12"
"Var1_131","12"
"Var1_132","12"
"Var1_133","12"
"Var1_134","7"
"Var1_135","12"
"Var1_136","12"
"Var1_137","12"
"Var1_138","3"
"Var1_139","12"
"Var1_140","12"
"Var1_141","12"
"Var1_142","12"
"Var1_143","3"
"Var1_144","12"
"Var1_145","12"
"Var1_146","12"
"Var1_147","12"
"Var1_148","12"
"Var1_149","12"
"Var1_150","12"
"Var1_151","12"
"Var1_152","12"
"Var1_153","12"
"Var1_154","12"
"Var1_155","12"
"Var1_156","12"
"Var1_157","12"
"Var1_158","12"
"Var1_159","12"
"Var1_160","12"
"Var1_161","12"
"Var1_162","12"
"Var1_163","12"
"Var1_164","12"
"Var1_165","12"
"Var1_166","12"
"Var1_167","12"
"Var1_168","12"
"Var1_169","12"
"Var1_170","12"
"Var1_171","12"
"Var1_172","12"
"Var1_173","12"
"Var1_174","12"
"Var1_175","12"
