"","sc3_11_clusters"
"Var1_1","8"
"Var1_2","8"
"Var1_3","8"
"Var1_4","8"
"Var1_5","8"
"Var1_6","8"
"Var1_7","4"
"Var1_8","8"
"Var1_9","8"
"Var1_10","8"
"Var1_11","8"
"Var1_12","8"
"Var1_13","3"
"Var1_14","3"
"Var1_15","11"
"Var1_16","10"
"Var1_17","4"
"Var1_18","8"
"Var1_19","9"
"Var1_20","1"
"Var1_21","1"
"Var1_22","7"
"Var1_23","9"
"Var1_24","1"
"Var1_25","3"
"Var1_26","7"
"Var1_27","1"
"Var1_28","8"
"Var1_29","8"
"Var1_30","1"
"Var1_31","3"
"Var1_32","3"
"Var1_33","3"
"Var1_34","3"
"Var1_35","1"
"Var1_36","8"
"Var1_37","1"
"Var1_38","4"
"Var1_39","4"
"Var1_40","3"
"Var1_41","10"
"Var1_42","1"
"Var1_43","3"
"Var1_44","10"
"Var1_45","10"
"Var1_46","10"
"Var1_47","8"
"Var1_48","10"
"Var1_49","3"
"Var1_50","1"
"Var1_51","3"
"Var1_52","1"
"Var1_53","8"
"Var1_54","1"
"Var1_55","4"
"Var1_56","10"
"Var1_57","1"
"Var1_58","1"
"Var1_59","4"
"Var1_60","11"
"Var1_61","9"
"Var1_62","7"
"Var1_63","11"
"Var1_64","9"
"Var1_65","6"
"Var1_66","8"
"Var1_67","7"
"Var1_68","5"
"Var1_69","3"
"Var1_70","7"
"Var1_71","11"
"Var1_72","11"
"Var1_73","4"
"Var1_74","3"
"Var1_75","1"
"Var1_76","1"
"Var1_77","3"
"Var1_78","4"
"Var1_79","1"
"Var1_80","1"
"Var1_81","2"
"Var1_82","4"
"Var1_83","1"
"Var1_84","8"
"Var1_85","10"
"Var1_86","3"
"Var1_87","3"
"Var1_88","1"
"Var1_89","11"
"Var1_90","2"
"Var1_91","1"
"Var1_92","2"
"Var1_93","1"
"Var1_94","4"
"Var1_95","1"
"Var1_96","11"
"Var1_97","1"
"Var1_98","3"
"Var1_99","3"
"Var1_100","1"
"Var1_101","3"
"Var1_102","7"
"Var1_103","7"
"Var1_104","3"
"Var1_105","1"
"Var1_106","1"
"Var1_107","11"
"Var1_108","4"
"Var1_109","8"
"Var1_110","3"
"Var1_111","1"
"Var1_112","11"
"Var1_113","3"
"Var1_114","1"
"Var1_115","2"
"Var1_116","1"
"Var1_117","3"
"Var1_118","1"
"Var1_119","3"
"Var1_120","1"
"Var1_121","1"
"Var1_122","4"
"Var1_123","3"
"Var1_124","1"
"Var1_125","4"
"Var1_126","1"
"Var1_127","3"
"Var1_128","1"
"Var1_129","3"
"Var1_130","1"
"Var1_131","7"
"Var1_132","7"
