"","sc3_3_clusters"
"Var1_1","1"
"Var1_2","1"
"Var1_3","1"
"Var1_4","1"
"Var1_5","1"
"Var1_6","1"
"Var1_7","3"
"Var1_8","1"
"Var1_9","1"
"Var1_10","3"
"Var1_11","3"
"Var1_12","3"
"Var1_13","3"
"Var1_14","3"
"Var1_15","3"
"Var1_16","3"
"Var1_17","3"
"Var1_18","3"
"Var1_19","3"
"Var1_20","3"
"Var1_21","3"
"Var1_22","3"
"Var1_23","3"
"Var1_24","3"
"Var1_25","3"
"Var1_26","3"
"Var1_27","3"
"Var1_28","3"
"Var1_29","3"
"Var1_30","2"
"Var1_31","2"
"Var1_32","2"
"Var1_33","2"
"Var1_34","2"
"Var1_35","2"
"Var1_36","2"
"Var1_37","2"
"Var1_38","2"
"Var1_39","2"
"Var1_40","2"
"Var1_41","2"
"Var1_42","2"
"Var1_43","2"
"Var1_44","2"
"Var1_45","2"
"Var1_46","2"
"Var1_47","2"
"Var1_48","2"
"Var1_49","2"
