"","x"
"1","7"
"2","7"
"3","7"
"4","7"
"5","7"
"6","7"
"7","7"
"8","7"
"9","7"
"10","7"
"11","7"
"12","7"
"13","9"
"14","9"
"15","9"
"16","9"
"17","9"
"18","9"
"19","9"
"20","9"
"21","9"
"22","9"
"23","9"
"24","9"
"25","9"
"26","9"
"27","9"
"28","9"
"29","9"
"30","9"
"31","9"
"32","9"
"33","9"
"34","9"
"35","8"
"36","8"
"37","8"
"38","8"
"39","8"
"40","8"
"41","8"
"42","8"
"43","8"
"44","8"
"45","8"
"46","8"
"47","8"
"48","8"
"49","1"
"50","1"
"51","1"
"52","1"
"53","1"
"54","1"
"55","1"
"56","1"
"57","1"
"58","1"
"59","1"
"60","1"
"61","1"
"62","1"
"63","1"
"64","1"
"65","1"
"66","1"
"67","1"
"68","1"
"69","1"
"70","1"
"71","1"
"72","1"
"73","1"
"74","1"
"75","1"
"76","1"
"77","6"
"78","6"
"79","6"
"80","6"
"81","6"
"82","6"
"83","6"
"84","6"
"85","6"
"86","1"
"87","1"
"88","1"
"89","1"
"90","1"
"91","1"
"92","1"
"93","1"
"94","1"
"95","1"
"96","1"
"97","1"
"98","1"
"99","1"
"100","1"
"101","1"
"102","1"
"103","7"
"104","1"
"105","1"
"106","1"
"107","1"
"108","1"
"109","1"
"110","1"
"111","1"
"112","1"
"113","1"
"114","1"
"115","1"
"116","1"
"117","1"
"118","1"
"119","1"
"120","1"
"121","1"
"122","1"
"123","1"
"124","1"
"125","1"
"126","1"
"127","1"
"128","1"
"129","1"
"130","1"
"131","1"
"132","1"
"133","1"
"134","1"
"135","1"
"136","4"
"137","4"
"138","4"
"139","4"
"140","2"
"141","2"
"142","2"
"143","4"
"144","2"
"145","4"
"146","4"
"147","4"
"148","4"
"149","4"
"150","4"
"151","2"
"152","2"
"153","4"
"154","4"
"155","4"
"156","2"
"157","2"
"158","2"
"159","2"
"160","2"
"161","2"
"162","2"
"163","4"
"164","2"
"165","2"
"166","4"
"167","2"
"168","4"
"169","2"
"170","2"
"171","2"
"172","4"
"173","4"
"174","4"
"175","4"
"176","2"
"177","4"
"178","4"
"179","2"
"180","3"
"181","3"
"182","2"
"183","2"
"184","3"
"185","3"
"186","3"
"187","2"
"188","3"
"189","2"
"190","2"
"191","2"
"192","4"
"193","2"
"194","2"
"195","3"
"196","2"
"197","2"
"198","2"
"199","2"
"200","2"
"201","2"
"202","2"
"203","4"
"204","3"
"205","2"
"206","2"
"207","2"
"208","2"
"209","3"
"210","2"
"211","2"
"212","2"
"213","2"
"214","2"
"215","3"
"216","2"
"217","3"
"218","3"
"219","2"
"220","2"
"221","3"
"222","3"
"223","2"
"224","3"
"225","2"
"226","3"
"227","2"
"228","2"
"229","3"
"230","3"
"231","3"
"232","3"
"233","3"
"234","3"
"235","3"
"236","3"
"237","3"
"238","3"
"239","5"
"240","5"
"241","5"
"242","5"
"243","5"
"244","5"
"245","5"
"246","5"
"247","5"
"248","5"
"249","2"
"250","5"
"251","2"
"252","5"
"253","5"
"254","5"
"255","5"
"256","5"
"257","5"
"258","5"
"259","5"
"260","5"
"261","5"
"262","5"
"263","5"
"264","5"
"265","5"
"266","5"
"267","5"
"268","5"
