"","x"
"1",21
"2",7
"3",21
"4",7
"5",21
"6",7
"7",21
"8",9
"9",7
"10",7
"11",7
"12",21
"13",21
"14",7
"15",7
"16",7
"17",21
"18",9
"19",21
"20",7
"21",21
"22",7
"23",21
"24",7
"25",7
"26",7
"27",7
"28",21
"29",7
"30",7
"31",21
"32",7
"33",21
"34",7
"35",7
"36",7
"37",21
"38",7
"39",7
"40",7
"41",7
"42",7
"43",8
"44",7
"45",7
"46",7
"47",21
"48",7
"49",7
"50",21
"51",21
"52",7
"53",21
"54",21
"55",7
"56",7
"57",7
"58",7
"59",7
"60",7
"61",21
"62",7
"63",21
"64",7
"65",21
"66",7
"67",21
"68",21
"69",7
"70",21
"71",21
"72",7
"73",7
"74",7
"75",7
"76",7
"77",7
"78",7
"79",7
"80",21
"81",21
"82",21
"83",21
"84",7
"85",7
"86",7
"87",21
"88",21
"89",7
"90",21
"91",21
"92",7
"93",7
"94",21
"95",21
"96",21
"97",7
"98",7
"99",7
"100",9
"101",21
"102",7
"103",21
"104",7
"105",7
"106",21
"107",9
"108",7
"109",21
"110",21
"111",7
"112",7
"113",21
"114",21
"115",21
"116",7
"117",7
"118",21
"119",7
"120",7
"121",21
"122",7
"123",21
"124",7
"125",7
"126",7
"127",7
"128",7
"129",7
"130",21
"131",7
"132",7
"133",7
"134",21
"135",7
"136",21
"137",7
"138",7
"139",7
"140",21
"141",21
"142",7
"143",7
"144",21
"145",7
"146",7
"147",21
"148",21
"149",21
"150",21
"151",21
"152",21
"153",21
"154",21
"155",21
"156",7
"157",7
"158",7
"159",21
"160",7
"161",21
"162",21
"163",21
"164",21
"165",21
"166",21
"167",7
"168",7
"169",7
"170",7
"171",7
"172",7
"173",21
"174",21
"175",7
"176",21
"177",7
"178",7
"179",7
"180",7
"181",7
"182",9
"183",21
"184",21
"185",7
"186",21
"187",8
"188",7
"189",7
"190",7
"191",21
"192",21
"193",7
"194",21
"195",21
"196",21
"197",21
"198",21
"199",21
"200",21
"201",21
"202",21
"203",21
"204",7
"205",21
"206",21
"207",21
"208",7
"209",21
"210",7
"211",7
"212",7
"213",21
"214",7
"215",7
"216",7
"217",21
"218",21
"219",7
"220",21
"221",8
"222",21
"223",7
"224",21
"225",7
"226",7
"227",21
"228",7
"229",21
"230",21
"231",7
"232",21
"233",21
"234",7
"235",7
"236",7
"237",7
"238",21
"239",7
"240",21
"241",7
"242",21
"243",7
"244",21
"245",21
"246",21
"247",21
"248",7
"249",7
"250",9
"251",21
"252",7
"253",21
"254",21
"255",7
"256",21
"257",7
"258",21
"259",21
"260",7
"261",7
"262",9
"263",7
"264",7
"265",21
"266",21
"267",7
"268",7
"269",21
"270",21
"271",7
"272",7
"273",7
"274",7
"275",7
"276",7
"277",21
"278",9
"279",21
"280",21
"281",21
"282",21
"283",21
"284",21
"285",21
"286",7
"287",7
"288",21
"289",21
"290",7
"291",21
"292",7
"293",9
"294",7
"295",7
"296",7
"297",7
"298",21
"299",7
"300",7
"301",7
"302",21
"303",7
"304",7
"305",7
"306",7
"307",7
"308",21
"309",7
"310",7
"311",7
"312",7
"313",21
"314",7
"315",21
"316",21
"317",7
"318",21
"319",21
"320",21
"321",21
"322",21
"323",21
"324",7
"325",7
"326",21
"327",7
"328",21
"329",7
"330",21
"331",21
"332",21
"333",7
"334",7
"335",21
"336",7
"337",7
"338",21
"339",7
"340",7
"341",7
"342",7
"343",7
"344",7
"345",21
"346",7
"347",21
"348",21
"349",21
"350",7
"351",7
"352",21
"353",7
"354",21
"355",7
"356",21
"357",7
"358",7
"359",7
"360",7
"361",7
"362",7
"363",7
"364",21
"365",7
"366",7
"367",21
"368",7
"369",7
"370",7
"371",21
"372",21
"373",7
"374",7
"375",21
"376",7
"377",7
"378",21
"379",21
"380",7
"381",7
"382",21
"383",21
"384",21
"385",7
"386",7
"387",7
"388",7
"389",21
"390",7
"391",7
"392",7
"393",7
"394",21
"395",7
"396",7
"397",7
"398",7
"399",7
"400",21
"401",7
"402",7
"403",7
"404",21
"405",7
"406",21
"407",7
"408",21
"409",7
"410",7
"411",9
"412",21
"413",21
"414",21
"415",7
"416",9
"417",7
"418",7
"419",7
"420",21
"421",21
"422",7
"423",7
"424",21
"425",7
"426",7
"427",7
"428",7
"429",7
"430",7
"431",21
"432",7
"433",7
"434",21
"435",7
"436",21
"437",21
"438",21
"439",21
"440",21
"441",7
"442",7
"443",7
"444",7
"445",21
"446",7
"447",21
"448",21
"449",21
"450",9
"451",7
"452",7
"453",21
"454",7
"455",21
"456",21
"457",21
"458",7
"459",21
"460",7
"461",7
"462",7
"463",7
"464",7
"465",21
"466",7
"467",7
