"","x"
"1","4"
"2","4"
"3","4"
"4","4"
"5","4"
"6","4"
"7","4"
"8","4"
"9","4"
"10","4"
"11","4"
"12","4"
"13","4"
"14","4"
"15","4"
"16","4"
"17","4"
"18","4"
"19","4"
"20","4"
"21","4"
"22","4"
"23","4"
"24","4"
"25","4"
"26","4"
"27","4"
"28","4"
"29","4"
"30","4"
"31","4"
"32","4"
"33","4"
"34","4"
"35","4"
"36","4"
"37","4"
"38","4"
"39","4"
"40","4"
"41","4"
"42","4"
"43","4"
"44","4"
"45","4"
"46","4"
"47","4"
"48","4"
"49","4"
"50","4"
"51","4"
"52","4"
"53","4"
"54","4"
"55","4"
"56","4"
"57","4"
"58","4"
"59","4"
"60","4"
"61","4"
"62","4"
"63","4"
"64","4"
"65","4"
"66","4"
"67","4"
"68","4"
"69","4"
"70","4"
"71","4"
"72","4"
"73","4"
"74","4"
"75","4"
"76","4"
"77","4"
"78","4"
"79","4"
"80","4"
"81","4"
"82","4"
"83","5"
"84","5"
"85","5"
"86","5"
"87","5"
"88","5"
"89","5"
"90","5"
"91","5"
"92","5"
"93","5"
"94","5"
"95","5"
"96","5"
"97","5"
"98","5"
"99","5"
"100","5"
"101","5"
"102","5"
"103","5"
"104","5"
"105","5"
"106","5"
"107","5"
"108","5"
"109","5"
"110","5"
"111","5"
"112","5"
"113","5"
"114","5"
"115","5"
"116","5"
"117","5"
"118","5"
"119","5"
"120","5"
"121","5"
"122","5"
"123","5"
"124","5"
"125","5"
"126","5"
"127","5"
"128","5"
"129","5"
"130","5"
"131","5"
"132","5"
"133","5"
"134","5"
"135","5"
"136","5"
"137","5"
"138","5"
"139","5"
"140","5"
"141","5"
"142","1"
"143","1"
"144","1"
"145","1"
"146","1"
"147","1"
"148","1"
"149","1"
"150","1"
"151","1"
"152","1"
"153","1"
"154","1"
"155","1"
"156","1"
"157","1"
"158","1"
"159","1"
"160","1"
"161","1"
"162","1"
"163","1"
"164","1"
"165","1"
"166","1"
"167","1"
"168","1"
"169","1"
"170","1"
"171","1"
"172","1"
"173","1"
"174","1"
"175","1"
"176","1"
"177","1"
"178","1"
"179","1"
"180","1"
"181","1"
"182","1"
"183","1"
"184","1"
"185","1"
"186","1"
"187","1"
"188","1"
"189","1"
"190","1"
"191","1"
"192","1"
"193","1"
"194","1"
"195","1"
"196","1"
"197","1"
"198","1"
"199","1"
"200","1"
"201","1"
"202","1"
"203","1"
"204","1"
"205","1"
"206","1"
"207","1"
"208","1"
"209","1"
"210","1"
"211","1"
"212","1"
"213","1"
"214","1"
"215","1"
"216","1"
"217","1"
"218","1"
"219","1"
"220","1"
"221","1"
"222","1"
"223","1"
"224","1"
"225","1"
"226","1"
"227","1"
"228","1"
"229","1"
"230","1"
"231","1"
"232","1"
"233","6"
"234","6"
"235","1"
"236","1"
"237","1"
"238","1"
"239","1"
"240","1"
"241","1"
"242","1"
"243","1"
"244","1"
"245","1"
"246","1"
"247","1"
"248","1"
