"","x"
"1","4"
"2","4"
"3","4"
"4","4"
"5","4"
"6","4"
"7","4"
"8","4"
"9","4"
"10","4"
"11","4"
"12","4"
"13","4"
"14","4"
"15","4"
"16","4"
"17","4"
"18","4"
"19","4"
"20","4"
"21","4"
"22","4"
"23","4"
"24","4"
"25","4"
"26","4"
"27","4"
"28","4"
"29","4"
"30","4"
"31","4"
"32","4"
"33","4"
"34","4"
"35","4"
"36","4"
"37","4"
"38","4"
"39","4"
"40","4"
"41","4"
"42","4"
"43","4"
"44","4"
"45","4"
"46","4"
"47","4"
"48","4"
"49","4"
"50","4"
"51","4"
"52","4"
"53","4"
"54","4"
"55","4"
"56","4"
"57","4"
"58","4"
"59","4"
"60","4"
"61","4"
"62","4"
"63","4"
"64","4"
"65","4"
"66","4"
"67","4"
"68","4"
"69","4"
"70","4"
"71","4"
"72","4"
"73","4"
"74","4"
"75","13"
"76","13"
"77","8"
"78","8"
"79","8"
"80","8"
"81","7"
"82","13"
"83","8"
"84","8"
"85","8"
"86","8"
"87","8"
"88","8"
"89","13"
"90","8"
"91","8"
"92","8"
"93","13"
"94","8"
"95","8"
"96","8"
"97","8"
"98","8"
"99","8"
"100","13"
"101","8"
"102","8"
"103","8"
"104","8"
"105","8"
"106","9"
"107","9"
"108","9"
"109","9"
"110","9"
"111","9"
"112","9"
"113","9"
"114","9"
"115","9"
"116","9"
"117","9"
"118","9"
"119","9"
"120","10"
"121","10"
"122","9"
"123","9"
"124","9"
"125","10"
"126","9"
"127","10"
"128","10"
"129","9"
"130","9"
"131","9"
"132","9"
"133","9"
"134","9"
"135","9"
"136","9"
"137","9"
"138","9"
"139","9"
"140","9"
"141","9"
"142","9"
"143","9"
"144","9"
"145","9"
"146","9"
"147","10"
"148","10"
"149","10"
"150","10"
"151","10"
"152","9"
"153","6"
"154","6"
"155","6"
"156","6"
"157","6"
"158","6"
"159","6"
"160","6"
"161","6"
"162","6"
"163","6"
"164","6"
"165","6"
"166","6"
"167","6"
"168","6"
"169","6"
"170","6"
"171","6"
"172","6"
"173","6"
"174","6"
"175","6"
"176","6"
"177","6"
"178","6"
"179","6"
"180","6"
"181","6"
"182","6"
"183","6"
"184","6"
"185","6"
"186","6"
"187","6"
"188","6"
"189","6"
"190","6"
"191","6"
"192","6"
"193","6"
"194","6"
"195","6"
"196","6"
"197","6"
"198","6"
"199","6"
"200","6"
"201","6"
"202","6"
"203","6"
"204","8"
"205","11"
"206","11"
"207","11"
"208","11"
"209","11"
"210","11"
"211","11"
"212","11"
"213","11"
"214","11"
"215","11"
"216","11"
"217","11"
"218","11"
"219","11"
"220","11"
"221","11"
"222","11"
"223","11"
"224","11"
"225","11"
"226","11"
"227","11"
"228","3"
"229","3"
"230","3"
"231","3"
"232","3"
"233","3"
"234","3"
"235","3"
"236","3"
"237","3"
"238","3"
"239","3"
"240","3"
"241","3"
"242","3"
"243","3"
"244","3"
"245","3"
"246","3"
"247","3"
"248","3"
