"","x"
"1","10"
"2","10"
"3","10"
"4","10"
"5","10"
"6","10"
"7","10"
"8","12"
"9","12"
"10","12"
"11","12"
"12","6"
"13","6"
"14","12"
"15","12"
"16","12"
"17","12"
"18","12"
"19","4"
"20","4"
"21","4"
"22","4"
"23","4"
"24","4"
"25","4"
"26","4"
"27","4"
"28","4"
"29","4"
"30","4"
"31","1"
"32","1"
"33","1"
"34","1"
"35","9"
"36","1"
"37","1"
"38","1"
"39","1"
"40","1"
"41","1"
"42","1"
"43","1"
"44","13"
"45","13"
"46","13"
"47","13"
"48","13"
"49","6"
"50","13"
"51","13"
"52","6"
"53","11"
"54","11"
"55","11"
"56","6"
"57","6"
"58","2"
"59","9"
"60","9"
"61","6"
"62","9"
"63","6"
"64","6"
"65","6"
"66","6"
"67","6"
"68","6"
"69","2"
"70","2"
"71","2"
"72","6"
"73","2"
"74","13"
"75","6"
"76","6"
"77","13"
"78","6"
"79","6"
"80","6"
"81","2"
"82","6"
"83","6"
"84","2"
"85","2"
"86","2"
"87","2"
"88","2"
"89","2"
"90","2"
"91","2"
"92","2"
"93","2"
"94","2"
"95","2"
"96","2"
"97","2"
"98","2"
"99","2"
"100","2"
"101","2"
"102","2"
"103","2"
"104","2"
"105","2"
"106","5"
"107","5"
"108","5"
"109","5"
"110","5"
"111","5"
"112","5"
"113","5"
"114","5"
"115","5"
"116","5"
"117","5"
"118","5"
"119","5"
"120","5"
"121","5"
"122","13"
"123","7"
"124","8"
"125","7"
"126","7"
"127","7"
"128","7"
"129","7"
"130","8"
"131","3"
"132","7"
"133","7"
"134","7"
"135","8"
"136","8"
"137","7"
"138","7"
"139","7"
"140","8"
"141","7"
"142","3"
"143","3"
"144","3"
"145","3"
"146","3"
"147","3"
"148","3"
"149","3"
"150","3"
"151","3"
"152","3"
"153","3"
"154","3"
"155","3"
"156","3"
"157","3"
"158","3"
"159","3"
"160","3"
"161","3"
"162","3"
"163","3"
"164","3"
"165","3"
"166","3"
"167","3"
"168","3"
"169","3"
"170","3"
"171","3"
"172","3"
"173","3"
"174","3"
"175","3"
"176","9"
"177","9"
"178","9"
"179","9"
"180","9"
"181","9"
"182","9"
"183","9"
"184","9"
"185","9"
"186","9"
"187","9"
