"","x"
"1","1"
"2","1"
"3","3"
"4","1"
"5","1"
"6","3"
"7","1"
"8","1"
"9","1"
"10","3"
"11","1"
"12","3"
"13","3"
"14","1"
"15","1"
"16","1"
"17","1"
"18","1"
"19","1"
"20","1"
"21","1"
"22","1"
"23","1"
"24","1"
"25","1"
"26","3"
"27","1"
"28","1"
"29","2"
"30","3"
"31","3"
"32","1"
"33","1"
"34","1"
"35","1"
"36","3"
"37","2"
"38","3"
"39","3"
"40","1"
"41","3"
"42","2"
"43","1"
"44","2"
"45","3"
"46","1"
"47","2"
"48","1"
"49","1"
"50","1"
"51","2"
"52","3"
"53","1"
"54","1"
"55","1"
"56","2"
"57","3"
"58","2"
"59","1"
"60","3"
"61","3"
"62","3"
"63","3"
"64","3"
"65","2"
"66","2"
"67","3"
"68","1"
"69","1"
"70","1"
"71","3"
"72","3"
"73","2"
"74","2"
"75","1"
"76","2"
"77","1"
"78","2"
"79","1"
"80","1"
