"","x"
"1","6"
"2","5"
"3","6"
"4","6"
"5","5"
"6","5"
"7","5"
"8","5"
"9","5"
"10","6"
"11","5"
"12","6"
"13","6"
"14","6"
"15","5"
"16","5"
"17","5"
"18","5"
"19","5"
"20","5"
"21","5"
"22","5"
"23","5"
"24","5"
"25","5"
"26","6"
"27","6"
"28","6"
"29","5"
"30","5"
"31","5"
"32","5"
"33","5"
"34","5"
"35","6"
"36","5"
"37","6"
"38","6"
"39","5"
"40","5"
"41","5"
"42","6"
"43","5"
"44","5"
"45","5"
"46","5"
"47","5"
"48","5"
"49","5"
"50","5"
"51","6"
"52","5"
"53","5"
"54","5"
"55","6"
"56","6"
"57","6"
"58","6"
"59","5"
"60","6"
"61","6"
"62","5"
"63","6"
"64","6"
"65","6"
"66","6"
"67","5"
"68","5"
"69","5"
"70","6"
"71","6"
"72","6"
"73","5"
"74","5"
"75","5"
"76","6"
"77","5"
"78","6"
"79","5"
"80","5"
"81","5"
"82","6"
"83","5"
"84","6"
"85","6"
"86","5"
"87","5"
"88","5"
"89","5"
"90","5"
"91","6"
"92","5"
"93","6"
"94","6"
"95","6"
"96","6"
"97","5"
"98","6"
"99","6"
"100","5"
"101","5"
"102","5"
"103","5"
"104","5"
"105","6"
"106","5"
"107","2"
"108","5"
"109","5"
"110","5"
"111","5"
"112","5"
"113","5"
"114","5"
"115","5"
"116","5"
"117","5"
"118","6"
"119","5"
"120","6"
"121","5"
"122","6"
"123","5"
"124","5"
"125","5"
"126","6"
"127","5"
"128","5"
"129","6"
"130","6"
"131","5"
"132","5"
"133","6"
"134","5"
"135","6"
"136","5"
"137","5"
"138","5"
"139","5"
"140","4"
"141","4"
"142","4"
"143","4"
"144","4"
"145","4"
"146","10"
"147","4"
"148","4"
"149","10"
"150","4"
"151","8"
"152","4"
"153","4"
"154","4"
"155","10"
"156","4"
"157","4"
"158","4"
"159","4"
"160","4"
"161","10"
"162","10"
"163","4"
"164","11"
"165","10"
"166","4"
"167","4"
"168","4"
"169","10"
"170","4"
"171","4"
"172","4"
"173","10"
"174","4"
"175","4"
"176","4"
"177","4"
"178","4"
"179","4"
"180","10"
"181","10"
"182","4"
"183","10"
"184","4"
"185","4"
"186","4"
"187","4"
"188","4"
"189","10"
"190","4"
"191","4"
"192","4"
"193","4"
"194","4"
"195","4"
"196","4"
"197","4"
"198","4"
"199","4"
"200","4"
"201","4"
"202","4"
"203","10"
"204","4"
"205","4"
"206","4"
"207","10"
"208","4"
"209","4"
"210","4"
"211","4"
"212","4"
"213","4"
"214","4"
"215","10"
"216","10"
"217","4"
"218","4"
"219","4"
"220","10"
"221","4"
"222","4"
"223","4"
"224","4"
"225","4"
"226","10"
"227","4"
"228","4"
"229","4"
"230","10"
"231","10"
"232","10"
"233","4"
"234","10"
"235","10"
"236","4"
"237","4"
"238","4"
"239","4"
"240","4"
"241","4"
"242","4"
"243","10"
"244","4"
"245","4"
"246","10"
"247","10"
"248","4"
"249","4"
"250","11"
"251","4"
"252","4"
"253","4"
"254","4"
"255","4"
"256","4"
"257","4"
"258","4"
"259","4"
"260","4"
"261","4"
"262","4"
"263","4"
"264","4"
"265","4"
"266","4"
"267","4"
"268","4"
"269","4"
"270","4"
"271","4"
"272","4"
"273","4"
"274","4"
"275","4"
"276","4"
"277","4"
"278","10"
"279","4"
"280","11"
"281","4"
"282","10"
"283","4"
"284","4"
"285","8"
"286","11"
"287","10"
"288","8"
"289","11"
"290","10"
"291","11"
"292","4"
"293","4"
"294","4"
"295","10"
"296","4"
"297","4"
"298","10"
"299","4"
"300","4"
"301","4"
"302","4"
"303","4"
"304","4"
"305","4"
"306","4"
"307","10"
"308","4"
"309","5"
"310","7"
"311","8"
"312","5"
"313","7"
"314","5"
"315","7"
"316","7"
"317","7"
"318","7"
"319","8"
"320","5"
"321","7"
"322","8"
"323","7"
"324","7"
"325","8"
"326","7"
"327","7"
"328","7"
"329","7"
"330","7"
"331","7"
"332","5"
"333","5"
"334","7"
"335","5"
"336","7"
"337","5"
"338","5"
"339","5"
"340","7"
"341","9"
"342","5"
"343","7"
"344","7"
"345","7"
"346","8"
"347","5"
"348","7"
"349","7"
"350","7"
"351","5"
"352","7"
"353","7"
"354","7"
"355","7"
"356","7"
"357","7"
"358","7"
"359","7"
"360","9"
"361","7"
"362","7"
"363","5"
"364","8"
"365","7"
"366","8"
"367","7"
"368","7"
"369","9"
"370","7"
"371","7"
"372","8"
"373","9"
"374","7"
"375","8"
"376","5"
"377","9"
"378","7"
"379","7"
"380","7"
"381","10"
"382","8"
"383","8"
"384","7"
"385","7"
"386","7"
"387","5"
"388","7"
"389","5"
"390","1"
"391","1"
"392","1"
"393","1"
"394","1"
"395","1"
"396","1"
"397","1"
"398","1"
"399","1"
"400","1"
"401","1"
"402","1"
"403","1"
