"","x"
"1","3"
"2","3"
"3","3"
"4","3"
"5","3"
"6","3"
"7","3"
"8","3"
"9","3"
"10","3"
"11","3"
"12","3"
"13","3"
"14","3"
"15","3"
"16","3"
"17","3"
"18","3"
"19","3"
"20","3"
"21","3"
"22","3"
"23","3"
"24","3"
"25","6"
"26","6"
"27","6"
"28","6"
"29","5"
"30","5"
"31","5"
"32","5"
"33","5"
"34","5"
"35","5"
"36","5"
"37","5"
"38","5"
"39","5"
"40","5"
"41","5"
"42","5"
"43","5"
"44","5"
"45","4"
"46","4"
"47","6"
"48","4"
"49","4"
"50","4"
"51","4"
"52","6"
"53","4"
"54","4"
"55","4"
"56","4"
"57","4"
"58","4"
"59","4"
"60","4"
"61","2"
"62","2"
"63","2"
"64","2"
"65","2"
"66","2"
"67","2"
"68","2"
"69","2"
"70","2"
"71","2"
"72","2"
"73","2"
"74","1"
"75","1"
"76","2"
"77","2"
"78","2"
"79","2"
"80","1"
"81","2"
"82","2"
"83","1"
"84","1"
"85","2"
"86","1"
"87","1"
"88","2"
"89","2"
"90","2"
