"","x"
"1","7"
"2","7"
"3","7"
"4","7"
"5","7"
"6","7"
"7","7"
"8","7"
"9","7"
"10","7"
"11","7"
"12","7"
"13","7"
"14","7"
"15","7"
"16","7"
"17","7"
"18","7"
"19","7"
"20","7"
"21","7"
"22","7"
"23","8"
"24","8"
"25","8"
"26","8"
"27","8"
"28","8"
"29","8"
"30","8"
"31","8"
"32","8"
"33","8"
"34","8"
"35","8"
"36","8"
"37","8"
"38","8"
"39","8"
"40","2"
"41","2"
"42","2"
"43","2"
"44","2"
"45","2"
"46","2"
"47","2"
"48","2"
"49","2"
"50","2"
"51","4"
"52","4"
"53","4"
"54","4"
"55","4"
"56","4"
"57","4"
"58","4"
"59","4"
"60","4"
"61","4"
"62","4"
"63","4"
"64","4"
"65","4"
"66","4"
"67","4"
"68","4"
"69","4"
"70","4"
"71","4"
"72","4"
"73","4"
"74","4"
"75","4"
"76","4"
"77","4"
"78","4"
"79","4"
"80","4"
"81","4"
"82","4"
"83","4"
"84","4"
"85","4"
"86","4"
"87","4"
"88","2"
"89","2"
"90","2"
"91","2"
"92","2"
"93","2"
"94","2"
"95","2"
"96","2"
"97","2"
"98","2"
"99","2"
"100","2"
"101","2"
"102","2"
"103","2"
"104","2"
"105","2"
"106","2"
"107","2"
"108","2"
"109","2"
"110","2"
"111","2"
"112","2"
"113","2"
"114","2"
"115","2"
"116","2"
"117","2"
"118","2"
"119","1"
"120","1"
"121","1"
"122","1"
"123","1"
"124","1"
"125","1"
"126","1"
"127","1"
"128","1"
"129","1"
"130","1"
"131","1"
"132","1"
"133","1"
"134","1"
"135","1"
"136","1"
"137","1"
"138","1"
"139","1"
"140","1"
"141","1"
"142","1"
"143","1"
"144","1"
"145","1"
"146","1"
"147","1"
"148","1"
"149","1"
"150","1"
"151","1"
"152","1"
"153","1"
"154","1"
"155","1"
"156","1"
"157","1"
"158","1"
"159","1"
"160","1"
"161","1"
"162","1"
"163","1"
"164","1"
"165","1"
"166","1"
"167","1"
"168","1"
"169","1"
"170","1"
"171","1"
"172","1"
"173","5"
"174","5"
"175","5"
"176","5"
"177","5"
"178","5"
"179","5"
"180","5"
"181","5"
"182","5"
"183","5"
"184","5"
"185","5"
"186","5"
"187","5"
"188","5"
"189","5"
"190","5"
"191","5"
"192","5"
"193","5"
"194","5"
"195","5"
"196","5"
"197","3"
"198","3"
"199","3"
"200","3"
"201","3"
"202","3"
"203","3"
"204","3"
"205","3"
"206","3"
"207","3"
"208","3"
"209","3"
"210","3"
"211","3"
"212","3"
"213","3"
"214","3"
"215","3"
"216","3"
"217","3"
"218","3"
"219","3"
"220","3"
"221","3"
"222","3"
"223","3"
"224","3"
"225","3"
"226","3"
"227","3"
"228","3"
"229","3"
"230","3"
"231","3"
"232","3"
"233","3"
"234","3"
"235","3"
"236","3"
"237","11"
"238","9"
"239","11"
"240","9"
"241","11"
"242","11"
"243","11"
"244","11"
"245","11"
"246","11"
"247","11"
"248","11"
"249","11"
"250","11"
"251","11"
"252","11"
"253","11"
"254","11"
"255","11"
"256","9"
"257","9"
"258","11"
"259","11"
"260","9"
"261","6"
"262","6"
"263","6"
"264","6"
"265","6"
"266","6"
"267","6"
"268","6"
"269","6"
"270","6"
"271","6"
"272","6"
"273","6"
"274","6"
"275","6"
"276","10"
"277","10"
"278","9"
"279","9"
"280","10"
"281","11"
"282","10"
"283","10"
"284","10"
"285","10"
"286","9"
"287","10"
"288","9"
"289","9"
"290","9"
"291","9"
"292","9"
"293","9"
"294","10"
"295","9"
"296","10"
"297","9"
"298","10"
"299","10"
"300","9"
"301","10"
