"","x"
"1",2
"2",2
"3",2
"4",3
"5",2
"6",2
"7",5
"8",2
"9",2
"10",2
"11",2
"12",3
"13",8
"14",5
"15",5
"16",1
"17",5
"18",2
"19",6
"20",8
"21",5
"22",8
"23",7
"24",5
"25",5
"26",8
"27",4
"28",2
"29",3
"30",5
"31",8
"32",5
"33",5
"34",9
"35",9
"36",2
"37",5
"38",6
"39",1
"40",8
"41",1
"42",5
"43",9
"44",1
"45",1
"46",7
"47",2
"48",1
"49",8
"50",2
"51",8
"52",5
"53",2
"54",8
"55",5
"56",1
"57",9
"58",5
"59",5
"60",8
"61",6
"62",8
"63",1
"64",6
"65",2
"66",2
"67",8
"68",8
"69",8
"70",8
"71",1
"72",5
"73",1
"74",8
"75",5
"76",5
"77",1
"78",5
"79",5
"80",5
"81",5
"82",5
"83",5
"84",3
"85",1
"86",8
"87",8
"88",5
"89",2
"90",5
"91",5
"92",9
"93",1
"94",9
"95",5
"96",3
"97",5
"98",8
"99",8
"100",8
"101",8
"102",8
"103",8
"104",8
"105",9
"106",9
"107",5
"108",1
"109",9
"110",8
"111",5
"112",9
"113",1
"114",5
"115",8
"116",5
"117",5
"118",8
"119",5
"120",1
"121",5
"122",5
"123",8
"124",5
"125",8
"126",5
"127",8
"128",9
"129",8
"130",1
"131",8
"132",6
"133",5
"134",3
"135",8
"136",5
"137",8
"138",8
"139",5
"140",8
"141",1
"142",5
"143",9
"144",8
"145",5
"146",9
"147",5
"148",6
"149",6
"150",8
"151",1
"152",5
"153",5
"154",8
"155",5
"156",1
"157",8
"158",5
"159",8
"160",4
"161",8
"162",9
"163",7
"164",9
"165",9
"166",5
"167",1
"168",5
"169",9
"170",5
"171",3
"172",8
"173",3
"174",5
"175",9
"176",5
"177",3
"178",5
"179",9
"180",8
"181",9
"182",3
"183",8
"184",5
"185",8
"186",5
"187",8
"188",5
"189",9
"190",8
"191",8
"192",8
"193",9
"194",5
"195",8
"196",8
"197",8
"198",8
"199",5
"200",9
"201",8
"202",8
"203",6
"204",9
"205",6
"206",5
"207",6
"208",1
"209",6
"210",5
"211",5
"212",8
"213",5
"214",9
