"","x"
"1",8
"2",8
"3",8
"4",8
"5",5
"6",5
"7",12
"8",5
"9",5
"10",12
"11",12
"12",5
"13",6
"14",6
"15",4
"16",4
"17",6
"18",6
"19",6
"20",6
"21",6
"22",6
"23",6
"24",6
"25",7
"26",7
"27",7
"28",7
"29",7
"30",7
"31",7
"32",6
"33",7
"34",7
"35",13
"36",13
"37",13
"38",13
"39",13
"40",13
"41",13
"42",13
"43",13
"44",13
"45",13
"46",13
"47",13
"48",13
"49",11
"50",11
"51",11
"52",11
"53",11
"54",11
"55",11
"56",11
"57",11
"58",11
"59",11
"60",11
"61",11
"62",11
"63",11
"64",11
"65",11
"66",11
"67",11
"68",11
"69",11
"70",11
"71",11
"72",10
"73",11
"74",11
"75",11
"76",11
"77",1
"78",1
"79",1
"80",1
"81",1
"82",1
"83",1
"84",1
"85",1
"86",11
"87",11
"88",11
"89",11
"90",11
"91",11
"92",11
"93",11
"94",11
"95",11
"96",11
"97",11
"98",11
"99",11
"100",11
"101",11
"102",11
"103",3
"104",11
"105",11
"106",11
"107",11
"108",11
"109",9
"110",9
"111",11
"112",11
"113",11
"114",11
"115",11
"116",11
"117",11
"118",9
"119",11
"120",11
"121",11
"122",11
"123",11
"124",11
"125",9
"126",11
"127",11
"128",11
"129",11
"130",11
"131",9
"132",11
"133",11
"134",11
"135",11
"136",3
"137",3
"138",3
"139",3
"140",10
"141",10
"142",10
"143",3
"144",10
"145",10
"146",10
"147",3
"148",2
"149",3
"150",3
"151",10
"152",10
"153",3
"154",10
"155",3
"156",10
"157",10
"158",10
"159",10
"160",10
"161",10
"162",10
"163",3
"164",10
"165",10
"166",3
"167",10
"168",3
"169",10
"170",10
"171",10
"172",3
"173",3
"174",3
"175",3
"176",10
"177",10
"178",3
"179",10
"180",3
"181",10
"182",10
"183",10
"184",3
"185",3
"186",3
"187",10
"188",3
"189",10
"190",10
"191",10
"192",3
"193",10
"194",10
"195",3
"196",10
"197",10
"198",10
"199",10
"200",10
"201",10
"202",10
"203",3
"204",3
"205",10
"206",10
"207",10
"208",10
"209",3
"210",10
"211",10
"212",10
"213",10
"214",10
"215",10
"216",10
"217",3
"218",3
"219",10
"220",10
"221",3
"222",10
"223",10
"224",3
"225",10
"226",3
"227",3
"228",10
"229",3
"230",3
"231",2
"232",3
"233",3
"234",3
"235",3
"236",3
"237",3
"238",3
"239",10
"240",2
"241",3
"242",2
"243",2
"244",2
"245",3
"246",2
"247",2
"248",3
"249",10
"250",3
"251",10
"252",3
"253",10
"254",2
"255",2
"256",2
"257",2
"258",3
"259",2
"260",2
"261",2
"262",10
"263",2
"264",2
"265",10
"266",2
"267",2
"268",2
