"","x"
"1",5
"2",5
"3",5
"4",5
"5",5
"6",5
"7",5
"8",5
"9",5
"10",3
"11",5
"12",3
"13",5
"14",5
"15",5
"16",5
"17",5
"18",5
"19",5
"20",5
"21",5
"22",5
"23",5
"24",5
"25",5
"26",5
"27",2
"28",4
"29",5
"30",4
"31",5
"32",5
"33",4
"34",2
"35",4
"36",5
"37",5
"38",2
"39",3
"40",5
"41",5
"42",5
"43",5
"44",5
"45",5
"46",5
"47",5
"48",5
"49",5
"50",5
"51",5
"52",5
"53",5
"54",5
"55",4
"56",5
"57",5
"58",5
"59",5
"60",5
"61",5
"62",5
"63",5
"64",2
"65",2
"66",5
"67",5
"68",5
"69",2
"70",5
"71",3
"72",5
"73",2
"74",5
"75",5
"76",5
"77",5
"78",3
"79",5
"80",5
"81",5
"82",5
"83",5
"84",5
"85",2
"86",5
"87",5
"88",5
"89",2
"90",5
"91",5
"92",4
"93",5
"94",5
"95",2
"96",5
"97",5
"98",4
"99",5
"100",5
"101",5
"102",4
"103",3
"104",4
"105",5
"106",2
"107",2
"108",5
"109",5
"110",5
"111",2
"112",3
"113",5
"114",2
"115",5
"116",5
"117",2
"118",5
"119",5
"120",2
"121",2
"122",1
"123",5
"124",2
"125",5
"126",5
"127",3
"128",5
"129",5
"130",5
"131",5
"132",2
"133",5
"134",5
"135",5
"136",5
"137",2
"138",5
"139",2
"140",5
"141",5
"142",2
"143",5
"144",2
"145",5
"146",5
"147",3
"148",5
"149",3
"150",5
"151",5
"152",5
"153",3
"154",5
"155",5
"156",5
"157",5
"158",5
"159",5
"160",2
"161",5
"162",5
"163",2
"164",5
"165",5
"166",5
"167",5
"168",5
"169",5
"170",5
"171",5
"172",5
"173",4
"174",5
"175",2
"176",5
"177",5
"178",5
"179",5
"180",5
"181",5
"182",2
"183",5
"184",5
"185",5
"186",5
"187",5
"188",2
"189",5
"190",2
"191",5
"192",3
"193",4
"194",2
"195",3
"196",5
"197",5
"198",5
"199",3
"200",5
"201",3
"202",5
"203",5
"204",4
"205",4
"206",5
"207",3
"208",5
"209",5
"210",3
"211",5
"212",5
"213",4
"214",3
"215",5
"216",5
"217",5
"218",5
"219",5
"220",4
"221",5
"222",5
"223",4
"224",2
"225",4
"226",5
"227",2
"228",5
"229",2
"230",3
"231",3
"232",5
"233",5
"234",5
"235",4
"236",5
"237",5
"238",5
"239",5
"240",2
"241",5
"242",5
"243",3
"244",5
"245",5
"246",2
"247",3
"248",2
"249",3
"250",4
"251",5
"252",5
"253",2
"254",5
"255",3
"256",5
"257",5
"258",5
"259",2
"260",5
"261",3
"262",5
"263",5
"264",2
"265",5
"266",5
"267",5
"268",4
"269",5
"270",3
"271",5
"272",5
"273",5
"274",3
"275",5
"276",3
"277",5
"278",2
"279",5
"280",2
"281",5
"282",5
"283",5
"284",2
"285",5
"286",5
"287",2
"288",5
"289",2
"290",5
"291",5
"292",5
"293",5
"294",5
"295",5
"296",2
"297",5
"298",5
"299",2
"300",5
"301",3
"302",5
"303",2
"304",5
"305",5
"306",4
"307",5
"308",5
"309",5
"310",5
"311",2
"312",3
"313",5
"314",5
"315",5
"316",5
"317",5
"318",2
"319",5
"320",5
"321",5
"322",5
"323",5
"324",5
"325",3
"326",3
"327",4
"328",3
"329",5
"330",4
"331",5
"332",5
"333",5
"334",4
"335",3
"336",5
"337",3
"338",5
"339",5
"340",5
"341",5
"342",5
"343",5
"344",5
"345",5
"346",4
"347",5
"348",5
"349",5
"350",5
"351",5
"352",2
"353",5
"354",5
"355",5
"356",1
"357",5
"358",3
"359",5
"360",5
"361",3
"362",5
"363",5
"364",5
"365",5
"366",2
"367",5
"368",5
"369",5
"370",5
"371",5
"372",5
"373",5
"374",5
"375",4
"376",5
"377",5
"378",5
"379",5
"380",5
"381",5
"382",5
"383",5
"384",5
"385",5
"386",4
"387",5
"388",4
"389",5
"390",5
"391",4
"392",2
"393",4
"394",2
"395",5
"396",5
"397",5
"398",5
"399",1
"400",5
"401",5
"402",5
"403",2
"404",5
"405",2
"406",5
"407",5
"408",2
"409",1
"410",5
"411",5
"412",5
"413",2
"414",5
"415",3
"416",3
"417",2
"418",3
"419",5
"420",5
"421",2
"422",5
"423",3
"424",2
"425",3
"426",5
"427",5
"428",5
"429",2
"430",2
"431",5
"432",5
"433",5
"434",5
"435",5
"436",2
"437",2
"438",2
"439",5
"440",2
"441",5
"442",5
"443",4
"444",5
"445",3
"446",5
"447",5
"448",5
"449",5
"450",1
"451",3
"452",4
"453",2
"454",5
"455",2
"456",2
"457",5
"458",2
"459",5
"460",5
"461",5
"462",2
"463",5
"464",2
"465",5
"466",2
"467",5
"468",5
"469",3
"470",3
"471",2
"472",5
"473",3
"474",4
"475",3
"476",5
"477",5
"478",2
"479",5
"480",5
"481",2
"482",5
"483",5
"484",2
"485",5
"486",5
"487",3
"488",4
"489",5
"490",3
"491",5
"492",5
"493",4
"494",2
"495",3
"496",5
"497",2
"498",5
"499",5
"500",5
"501",5
"502",5
"503",5
"504",2
"505",1
"506",3
"507",5
"508",5
"509",5
"510",5
"511",5
"512",5
"513",5
"514",5
