"","x"
"1",3
"2",3
"3",5
"4",4
"5",3
"6",5
"7",6
"8",5
"9",3
"10",5
"11",3
"12",4
"13",5
"14",3
"15",5
"16",4
"17",4
"18",5
"19",3
"20",5
"21",3
"22",4
"23",3
"24",3
"25",5
"26",5
"27",3
"28",4
"29",3
"30",5
"31",4
"32",5
"33",5
"34",2
"35",3
"36",4
"37",5
"38",5
"39",5
"40",4
"41",5
"42",3
"43",5
"44",5
"45",4
"46",5
"47",5
"48",5
"49",8
"50",5
"51",5
"52",5
"53",3
"54",5
"55",5
"56",3
"57",6
"58",5
"59",3
"60",4
"61",1
"62",4
"63",5
"64",2
"65",5
"66",3
"67",4
"68",5
"69",5
"70",5
"71",5
"72",3
"73",3
"74",5
"75",4
"76",5
"77",3
"78",5
"79",5
"80",5
"81",5
"82",3
"83",2
"84",2
"85",3
"86",6
"87",2
"88",6
"89",2
"90",2
"91",2
"92",6
"93",2
"94",2
"95",2
"96",2
"97",3
"98",2
"99",6
"100",2
"101",3
"102",2
"103",2
"104",6
"105",3
"106",5
"107",2
"108",2
"109",3
"110",3
"111",6
"112",2
"113",6
"114",3
"115",4
"116",6
"117",6
"118",6
"119",4
"120",2
"121",2
"122",6
"123",2
"124",2
"125",4
"126",2
"127",5
"128",2
"129",3
"130",4
"131",2
"132",6
"133",2
"134",6
"135",2
"136",6
"137",2
"138",7
"139",3
"140",2
"141",6
"142",3
"143",6
"144",4
"145",6
"146",4
"147",5
"148",4
"149",4
"150",6
"151",4
"152",6
"153",4
"154",6
"155",1
"156",6
"157",4
"158",1
"159",4
"160",6
"161",4
"162",2
"163",6
"164",4
"165",4
"166",4
"167",4
"168",2
"169",4
"170",4
"171",6
"172",6
"173",4
"174",6
"175",4
"176",3
"177",4
"178",4
"179",4
"180",4
"181",4
"182",6
"183",4
"184",2
"185",4
"186",2
"187",4
"188",6
"189",6
"190",2
"191",4
"192",6
"193",4
"194",3
"195",4
"196",4
"197",6
"198",1
"199",6
"200",6
"201",6
"202",6
"203",6
"204",4
"205",4
"206",3
"207",4
"208",6
"209",7
"210",6
"211",6
"212",3
"213",4
"214",6
"215",6
"216",4
"217",6
"218",6
"219",4
"220",2
"221",2
"222",4
"223",4
"224",6
"225",4
"226",6
"227",2
"228",4
"229",4
"230",4
"231",3
"232",6
"233",4
"234",4
"235",5
"236",4
"237",6
"238",4
"239",6
"240",6
"241",4
"242",4
"243",2
"244",4
"245",4
"246",4
"247",6
"248",4
"249",6
"250",6
"251",6
"252",6
"253",4
"254",3
"255",6
"256",6
"257",3
"258",4
"259",2
"260",1
"261",4
"262",6
"263",4
"264",6
"265",4
"266",4
"267",4
"268",4
"269",6
"270",4
"271",5
"272",3
"273",6
"274",4
"275",4
"276",6
"277",2
"278",4
"279",4
"280",6
"281",6
"282",4
"283",4
"284",6
"285",4
"286",5
"287",6
"288",5
"289",6
"290",6
"291",6
"292",4
"293",6
"294",3
"295",4
"296",5
"297",5
"298",5
"299",6
"300",8
"301",5
"302",5
"303",2
"304",5
"305",5
"306",2
"307",5
"308",5
"309",5
"310",5
"311",5
"312",5
"313",5
"314",5
"315",6
"316",5
"317",5
"318",5
"319",5
"320",5
"321",5
"322",8
"323",7
"324",1
"325",5
"326",2
"327",5
"328",5
"329",5
"330",5
"331",5
"332",5
"333",5
"334",5
"335",5
"336",5
"337",2
"338",5
"339",5
"340",5
"341",5
"342",5
"343",5
"344",5
"345",2
"346",5
"347",5
"348",5
"349",5
"350",5
"351",4
"352",5
"353",1
"354",5
"355",2
"356",5
"357",5
"358",4
"359",6
"360",4
"361",5
"362",2
"363",5
"364",5
"365",2
"366",2
"367",5
"368",5
"369",5
"370",5
"371",5
"372",5
"373",5
"374",2
"375",5
"376",5
"377",5
"378",5
"379",5
"380",5
"381",5
"382",5
"383",5
"384",5
"385",2
"386",5
"387",5
"388",5
"389",5
"390",2
"391",2
"392",5
"393",5
"394",5
"395",2
"396",5
"397",5
"398",2
"399",9
"400",5
"401",6
"402",3
"403",5
"404",5
"405",2
"406",5
"407",5
"408",5
"409",2
"410",5
"411",2
"412",5
"413",9
"414",5
"415",2
"416",5
"417",1
"418",2
"419",2
"420",5
"421",5
"422",2
"423",5
"424",5
"425",2
"426",5
"427",3
"428",5
"429",2
"430",2
"431",5
"432",5
"433",5
"434",9
"435",5
"436",5
"437",5
"438",5
"439",5
"440",1
"441",4
"442",5
"443",5
"444",5
"445",5
"446",5
"447",5
"448",5
"449",2
"450",5
"451",5
"452",5
"453",5
"454",2
"455",7
"456",1
"457",1
"458",1
"459",5
"460",1
"461",1
"462",1
"463",7
"464",8
"465",8
"466",8
"467",5
"468",1
"469",1
"470",1
"471",8
"472",8
"473",8
"474",1
"475",3
"476",1
"477",1
"478",8
"479",1
"480",1
"481",1
"482",1
"483",1
"484",1
"485",7
"486",1
"487",7
"488",9
"489",1
"490",1
"491",8
"492",7
