"","x"
"1",7
"2",7
"3",7
"4",4
"5",7
"6",7
"7",7
"8",7
"9",2
"10",7
"11",7
"12",7
"13",7
"14",7
"15",7
"16",7
"17",7
"18",7
"19",7
"20",7
"21",7
"22",7
"23",7
"24",7
"25",7
"26",7
"27",7
"28",7
"29",7
"30",7
"31",7
"32",7
"33",7
"34",7
"35",7
"36",7
"37",7
"38",7
"39",7
"40",7
"41",7
"42",7
"43",7
"44",7
"45",7
"46",7
"47",7
"48",7
"49",2
"50",2
"51",7
"52",7
"53",7
"54",7
"55",7
"56",7
"57",7
"58",7
"59",7
"60",7
"61",7
"62",7
"63",7
"64",7
"65",2
"66",7
"67",7
"68",2
"69",7
"70",7
"71",7
"72",7
"73",7
"74",7
"75",2
"76",2
"77",2
"78",2
"79",2
"80",2
"81",1
"82",2
"83",2
"84",2
"85",2
"86",2
"87",2
"88",2
"89",2
"90",2
"91",2
"92",2
"93",2
"94",2
"95",2
"96",2
"97",7
"98",2
"99",2
"100",2
"101",2
"102",2
"103",2
"104",2
"105",1
"106",2
"107",2
"108",1
"109",2
"110",2
"111",3
"112",2
"113",1
"114",4
"115",4
"116",2
"117",2
"118",2
"119",1
"120",2
"121",2
"122",4
"123",5
"124",4
"125",2
"126",4
"127",2
"128",2
"129",2
"130",2
"131",2
"132",2
"133",2
"134",2
"135",2
"136",2
"137",1
"138",2
"139",7
"140",1
"141",4
"142",2
"143",2
"144",2
"145",5
"146",1
"147",2
"148",2
"149",2
"150",2
"151",5
"152",4
"153",3
"154",3
"155",3
"156",3
"157",3
"158",3
"159",3
"160",3
"161",3
"162",3
"163",3
"164",3
"165",3
"166",3
"167",3
"168",3
"169",3
"170",3
"171",3
"172",3
"173",3
"174",3
"175",3
"176",3
"177",3
"178",3
"179",3
"180",3
"181",3
"182",3
"183",3
"184",3
"185",7
"186",3
"187",3
"188",3
"189",3
"190",3
"191",3
"192",3
"193",3
"194",3
"195",3
"196",3
"197",3
"198",3
"199",3
"200",3
"201",3
"202",3
"203",3
"204",2
"205",2
"206",2
"207",2
"208",2
"209",2
"210",2
"211",2
"212",2
"213",2
"214",2
"215",2
"216",2
"217",2
"218",2
"219",2
"220",2
"221",2
"222",2
"223",2
"224",2
"225",2
"226",2
"227",2
"228",4
"229",4
"230",4
"231",3
"232",4
"233",4
"234",4
"235",4
"236",4
"237",4
"238",4
"239",4
"240",4
"241",4
"242",4
"243",4
"244",4
"245",4
"246",4
"247",4
"248",4
"249",4
"250",4
"251",4
"252",4
"253",4
"254",4
"255",4
"256",4
"257",4
"258",4
"259",4
"260",4
"261",4
"262",4
"263",4
"264",4
"265",4
"266",4
"267",4
