"","x"
"1",7
"2",7
"3",7
"4",7
"5",7
"6",7
"7",7
"8",7
"9",7
"10",7
"11",7
"12",7
"13",4
"14",4
"15",4
"16",4
"17",8
"18",4
"19",4
"20",4
"21",4
"22",6
"23",4
"24",4
"25",6
"26",8
"27",8
"28",8
"29",8
"30",8
"31",5
"32",8
"33",8
"34",5
"35",5
"36",5
"37",5
"38",5
"39",5
"40",4
"41",5
"42",5
"43",5
"44",6
"45",5
"46",5
"47",5
"48",5
"49",5
"50",5
"51",4
"52",4
"53",2
"54",5
"55",2
"56",8
"57",5
"58",5
"59",8
"60",5
"61",5
"62",5
"63",2
"64",5
"65",5
"66",4
"67",4
"68",4
"69",4
"70",4
"71",4
"72",4
"73",2
"74",4
"75",4
"76",4
"77",4
"78",4
"79",4
"80",4
"81",4
"82",4
"83",4
"84",4
"85",4
"86",4
"87",4
"88",8
"89",3
"90",3
"91",3
"92",3
"93",3
"94",3
"95",3
"96",3
"97",8
"98",8
"99",3
"100",3
"101",3
"102",3
"103",3
"104",1
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",1
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",1
"122",8
"123",1
"124",1
"125",1
"126",1
"127",1
"128",1
"129",1
"130",1
"131",1
"132",1
"133",1
"134",8
"135",1
"136",1
"137",1
"138",6
"139",6
"140",6
"141",6
"142",6
"143",6
"144",6
"145",6
"146",6
"147",6
"148",6
"149",5
