"","x"
"1",3
"2",6
"3",2
"4",6
"5",3
"6",6
"7",4
"8",5
"9",5
"10",6
"11",5
"12",6
"13",5
"14",3
"15",4
"16",6
"17",6
"18",4
"19",5
"20",4
"21",4
"22",3
"23",3
"24",3
"25",3
"26",2
"27",4
"28",6
"29",1
"30",2
"31",6
"32",3
"33",4
"34",3
"35",4
"36",6
"37",1
"38",2
"39",2
"40",4
"41",6
"42",1
"43",5
"44",1
"45",2
"46",4
"47",1
"48",4
"49",4
"50",4
"51",1
"52",6
"53",4
"54",3
"55",3
"56",1
"57",2
"58",1
"59",4
"60",2
"61",2
"62",6
"63",2
"64",2
"65",1
"66",1
"67",6
"68",4
"69",6
"70",4
"71",2
"72",2
"73",1
"74",1
"75",3
"76",1
"77",3
"78",1
"79",4
"80",3
