"","x"
"1",2
"2",6
"3",12
"4",2
"5",13
"6",13
"7",5
"8",6
"9",6
"10",2
"11",6
"12",12
"13",2
"14",2
"15",6
"16",6
"17",10
"18",6
"19",6
"20",13
"21",12
"22",6
"23",6
"24",6
"25",6
"26",2
"27",2
"28",2
"29",8
"30",12
"31",2
"32",12
"33",13
"34",8
"35",13
"36",9
"37",12
"38",2
"39",2
"40",13
"41",13
"42",12
"43",9
"44",6
"45",13
"46",12
"47",11
"48",2
"49",6
"50",2
"51",2
"52",13
"53",8
"54",12
"55",11
"56",8
"57",2
"58",2
"59",6
"60",2
"61",2
"62",6
"63",12
"64",2
"65",2
"66",12
"67",12
"68",2
"69",12
"70",12
"71",12
"72",2
"73",9
"74",9
"75",11
"76",8
"77",13
"78",2
"79",9
"80",13
"81",13
"82",12
"83",13
"84",12
"85",2
"86",4
"87",8
"88",13
"89",9
"90",13
"91",2
"92",13
"93",2
"94",10
"95",11
"96",2
"97",9
"98",11
"99",11
"100",11
"101",11
"102",13
"103",9
"104",11
"105",11
"106",9
"107",6
"108",10
"109",9
"110",9
"111",13
"112",6
"113",13
"114",11
"115",13
"116",5
"117",12
"118",2
"119",15
"120",8
"121",5
"122",12
"123",13
"124",13
"125",5
"126",13
"127",5
"128",6
"129",12
"130",13
"131",13
"132",8
"133",2
"134",5
"135",2
"136",5
"137",6
"138",5
"139",13
"140",3
"141",10
"142",3
"143",3
"144",14
"145",14
"146",15
"147",3
"148",3
"149",14
"150",14
"151",7
"152",3
"153",3
"154",8
"155",14
"156",14
"157",3
"158",3
"159",3
"160",3
"161",14
"162",14
"163",3
"164",14
"165",14
"166",15
"167",3
"168",3
"169",14
"170",15
"171",8
"172",3
"173",8
"174",8
"175",8
"176",8
"177",3
"178",1
"179",3
"180",7
"181",8
"182",1
"183",8
"184",3
"185",1
"186",8
"187",1
"188",8
"189",15
"190",8
"191",3
"192",10
"193",3
"194",14
"195",1
"196",3
"197",3
"198",14
"199",8
"200",8
"201",3
"202",8
"203",14
"204",8
"205",3
"206",10
"207",8
"208",8
"209",3
"210",1
"211",14
"212",3
"213",3
"214",8
"215",14
"216",14
"217",1
"218",1
"219",2
"220",14
"221",3
"222",1
"223",14
"224",8
"225",1
"226",14
"227",3
"228",8
"229",3
"230",14
"231",14
"232",15
"233",3
"234",14
"235",14
"236",14
"237",1
"238",3
"239",3
"240",3
"241",1
"242",9
"243",7
"244",3
"245",8
"246",14
"247",14
"248",1
"249",14
"250",7
"251",1
"252",14
"253",1
"254",1
"255",3
"256",14
"257",14
"258",14
"259",14
"260",3
"261",14
"262",1
"263",1
"264",3
"265",1
"266",3
"267",14
"268",14
"269",14
"270",1
"271",1
"272",1
"273",1
"274",1
"275",14
"276",1
"277",1
"278",7
"279",14
"280",14
"281",1
"282",3
"283",1
"284",14
"285",7
"286",7
"287",7
