"","x"
"1",7
"2",7
"3",7
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",3
"14",3
"15",3
"16",3
"17",4
"18",4
"19",4
"20",4
"21",4
"22",4
"23",4
"24",4
"25",3
"26",3
"27",3
"28",3
"29",5
"30",5
"31",5
"32",5
"33",5
"34",5
"35",5
"36",5
"37",9
"38",9
"39",9
"40",9
"41",9
"42",9
"43",9
"44",9
"45",10
"46",10
"47",8
"48",10
"49",10
"50",10
"51",10
"52",8
"53",10
"54",10
"55",6
"56",10
"57",10
"58",10
"59",10
"60",10
"61",11
"62",11
"63",11
"64",2
"65",11
"66",11
"67",11
"68",11
"69",11
"70",11
"71",11
"72",11
"73",11
"74",8
"75",8
"76",2
"77",2
"78",2
"79",2
"80",8
"81",8
"82",2
"83",8
"84",8
"85",2
"86",8
"87",8
"88",8
"89",2
"90",8
