"","x"
"1",10
"2",8
"3",10
"4",5
"5",10
"6",10
"7",10
"8",10
"9",8
"10",10
"11",10
"12",10
"13",10
"14",10
"15",10
"16",10
"17",6
"18",10
"19",10
"20",5
"21",6
"22",10
"23",8
"24",9
"25",10
"26",10
"27",10
"28",8
"29",10
"30",9
"31",9
"32",10
"33",3
"34",8
"35",5
"36",10
"37",5
"38",10
"39",10
"40",10
"41",10
"42",10
"43",10
"44",4
"45",10
"46",3
"47",8
"48",10
"49",8
"50",8
"51",8
"52",8
"53",4
"54",8
"55",10
"56",10
"57",10
"58",8
"59",10
"60",5
"61",10
"62",4
"63",10
"64",4
"65",8
"66",10
"67",10
"68",9
"69",10
"70",4
"71",10
"72",10
"73",10
"74",10
"75",10
"76",10
"77",8
"78",10
"79",10
"80",8
"81",10
"82",10
"83",4
"84",8
"85",4
"86",8
"87",10
"88",10
"89",10
"90",10
"91",10
"92",10
"93",4
"94",8
"95",10
"96",8
"97",8
"98",8
"99",5
"100",4
"101",5
"102",5
"103",5
"104",1
"105",8
"106",1
"107",4
"108",5
"109",5
"110",5
"111",5
"112",5
"113",5
"114",5
"115",4
"116",4
"117",4
"118",5
"119",9
"120",1
"121",6
"122",10
"123",10
"124",10
"125",5
"126",5
"127",10
"128",4
"129",5
"130",5
"131",8
"132",7
"133",5
"134",4
"135",8
"136",4
"137",5
"138",9
"139",4
"140",8
"141",4
"142",5
"143",5
"144",5
"145",4
"146",4
"147",4
"148",4
"149",5
"150",4
"151",5
"152",5
"153",4
"154",4
"155",4
"156",4
"157",8
"158",5
"159",5
"160",10
"161",8
"162",5
"163",10
"164",10
"165",5
"166",5
"167",5
"168",5
"169",5
"170",5
"171",5
"172",5
"173",5
"174",5
"175",5
"176",5
"177",9
"178",5
"179",5
"180",5
"181",5
"182",10
"183",4
"184",5
"185",5
"186",9
"187",1
"188",4
"189",8
"190",4
"191",5
"192",4
"193",5
"194",5
"195",5
"196",4
"197",5
"198",5
"199",5
"200",4
"201",8
"202",8
"203",1
"204",7
"205",6
"206",8
"207",8
"208",5
"209",8
"210",8
"211",1
"212",3
"213",1
"214",10
"215",4
"216",4
"217",4
"218",10
"219",4
"220",10
"221",8
"222",1
"223",7
"224",8
"225",8
"226",8
"227",1
"228",8
"229",7
"230",6
"231",10
"232",10
"233",6
"234",4
"235",8
"236",4
"237",8
"238",8
"239",6
"240",10
"241",10
"242",8
"243",7
"244",4
"245",8
"246",4
"247",8
"248",4
"249",7
"250",8
"251",3
"252",8
"253",7
"254",4
"255",2
"256",4
"257",4
"258",10
"259",7
"260",7
"261",1
"262",6
"263",7
"264",8
"265",4
"266",3
"267",8
"268",6
"269",10
"270",8
"271",10
"272",6
"273",6
"274",8
"275",10
"276",6
"277",6
"278",7
"279",6
"280",6
"281",4
"282",10
"283",4
"284",4
"285",8
"286",8
"287",8
"288",10
"289",8
"290",8
"291",2
"292",10
"293",10
"294",9
"295",10
"296",9
"297",10
"298",9
"299",10
"300",10
"301",5
"302",8
"303",10
"304",8
"305",10
"306",10
"307",9
"308",8
"309",10
"310",5
"311",10
"312",8
"313",10
"314",8
"315",10
"316",10
"317",10
"318",10
"319",10
"320",9
"321",10
"322",10
"323",4
"324",8
"325",8
"326",9
"327",9
"328",10
"329",3
"330",10
"331",10
"332",10
"333",10
"334",8
"335",5
"336",9
"337",6
"338",8
"339",9
"340",10
"341",10
"342",8
"343",8
"344",10
"345",8
"346",10
"347",10
"348",10
"349",10
"350",8
"351",8
"352",10
"353",8
"354",10
"355",7
"356",10
"357",10
"358",8
"359",1
"360",7
"361",4
"362",7
"363",10
"364",8
"365",1
"366",10
"367",4
"368",8
"369",10
"370",10
"371",10
"372",10
"373",4
"374",6
"375",10
"376",4
"377",4
"378",10
"379",8
"380",10
"381",8
"382",4
"383",4
"384",10
"385",8
"386",10
"387",9
"388",4
"389",1
"390",4
"391",8
"392",10
"393",5
"394",4
"395",4
"396",8
"397",6
"398",5
"399",4
"400",6
"401",4
"402",10
"403",5
"404",8
"405",8
"406",8
"407",4
"408",4
"409",8
"410",5
"411",4
"412",8
"413",8
"414",4
"415",7
"416",4
"417",4
"418",6
"419",4
"420",10
"421",8
"422",8
"423",8
"424",4
"425",10
"426",4
"427",4
"428",1
"429",5
"430",4
"431",10
"432",4
"433",10
"434",4
"435",5
"436",5
"437",8
"438",8
"439",8
"440",5
"441",8
"442",4
"443",4
"444",8
"445",10
"446",4
"447",4
"448",4
"449",8
"450",8
"451",5
"452",8
"453",2
"454",8
"455",4
"456",4
"457",6
"458",8
"459",8
"460",4
"461",8
"462",8
"463",8
"464",4
"465",6
"466",7
"467",4
"468",2
"469",10
"470",10
"471",10
"472",8
"473",8
"474",10
"475",5
"476",3
"477",10
"478",1
"479",4
"480",9
"481",6
"482",4
"483",10
"484",10
"485",8
"486",10
"487",5
"488",6
"489",4
"490",6
"491",7
"492",9
"493",5
"494",5
"495",10
"496",10
"497",10
"498",6
"499",9
"500",8
"501",9
"502",9
"503",9
"504",5
"505",10
"506",10
"507",10
"508",10
"509",10
"510",10
"511",10
"512",4
"513",10
"514",8
"515",10
"516",9
"517",8
"518",10
"519",10
"520",10
"521",10
"522",7
"523",4
"524",1
"525",2
"526",8
"527",8
"528",4
"529",5
"530",10
"531",4
"532",8
"533",8
"534",7
"535",8
"536",8
"537",8
"538",7
"539",6
"540",6
"541",4
"542",9
"543",5
"544",8
"545",8
"546",8
"547",4
"548",5
"549",4
"550",4
"551",10
"552",10
"553",5
"554",5
"555",9
"556",5
"557",4
"558",5
"559",4
"560",5
"561",4
"562",8
"563",4
"564",4
"565",4
"566",7
"567",10
"568",4
"569",5
"570",8
"571",5
"572",4
"573",5
"574",10
"575",10
"576",8
"577",4
"578",10
"579",4
"580",8
"581",4
"582",4
"583",4
"584",5
"585",5
"586",8
"587",5
"588",8
"589",4
"590",5
"591",5
"592",7
"593",5
"594",4
"595",10
"596",9
"597",4
"598",5
"599",5
"600",4
"601",8
"602",4
"603",9
"604",10
"605",4
"606",8
"607",9
"608",5
"609",5
"610",4
"611",10
"612",9
"613",1
"614",4
"615",5
"616",4
"617",9
"618",8
"619",10
"620",4
"621",5
"622",8
"623",4
"624",4
"625",7
"626",10
"627",8
"628",8
"629",8
"630",4
"631",4
"632",4
"633",4
"634",4
"635",8
"636",8
"637",8
"638",7
"639",1
"640",4
"641",8
"642",8
"643",4
"644",4
"645",5
"646",9
"647",4
"648",4
"649",10
"650",5
"651",4
"652",4
"653",5
"654",4
"655",4
"656",4
"657",4
"658",1
"659",7
"660",4
"661",2
"662",5
"663",5
"664",9
"665",5
"666",8
"667",8
"668",4
"669",10
"670",5
"671",8
"672",9
"673",4
"674",6
"675",5
"676",4
"677",4
"678",9
"679",8
"680",5
"681",8
"682",8
"683",10
"684",8
"685",8
"686",8
"687",8
"688",8
"689",8
"690",10
"691",3
"692",3
"693",3
"694",3
"695",10
"696",10
"697",10
"698",8
"699",3
"700",3
"701",8
"702",3
"703",10
"704",3
"705",10
"706",8
"707",6
"708",3
"709",8
"710",8
"711",9
"712",8
"713",3
"714",8
"715",3
"716",3
"717",10
"718",3
"719",10
"720",8
"721",8
"722",8
"723",6
"724",3
"725",10
"726",3
"727",3
"728",3
"729",10
"730",3
"731",10
"732",10
"733",3
"734",10
"735",8
"736",8
"737",10
"738",10
"739",8
"740",6
"741",6
"742",3
"743",10
"744",6
"745",6
"746",3
"747",3
"748",3
"749",6
"750",8
"751",8
"752",3
"753",3
"754",10
"755",3
"756",3
"757",3
"758",3
"759",3
"760",3
"761",10
"762",3
"763",3
"764",3
"765",10
"766",3
"767",3
"768",3
"769",3
"770",3
"771",3
"772",9
"773",3
"774",6
"775",3
"776",3
"777",6
"778",3
"779",9
"780",3
"781",3
"782",8
"783",10
"784",3
"785",8
"786",8
"787",3
"788",10
"789",4
"790",10
"791",8
"792",3
"793",6
"794",8
"795",4
"796",3
"797",6
"798",10
"799",7
"800",9
"801",8
"802",8
"803",3
"804",3
"805",10
"806",9
"807",3
"808",10
"809",10
"810",8
"811",8
"812",10
"813",3
"814",8
"815",10
"816",5
"817",6
"818",10
"819",3
"820",8
"821",10
"822",8
"823",3
"824",8
"825",3
"826",8
"827",5
"828",3
"829",3
"830",3
"831",10
"832",10
"833",10
"834",3
"835",8
"836",6
"837",3
"838",3
"839",6
"840",3
"841",3
"842",10
"843",3
"844",3
"845",10
"846",3
"847",3
"848",10
"849",5
"850",10
"851",8
"852",3
"853",3
"854",8
"855",10
"856",3
"857",3
"858",3
"859",6
"860",4
"861",3
"862",3
"863",3
"864",10
"865",3
"866",10
"867",6
"868",3
"869",3
"870",3
"871",10
"872",10
"873",3
"874",6
"875",3
"876",8
"877",9
"878",8
"879",8
"880",9
"881",8
"882",9
"883",8
"884",9
"885",8
"886",10
"887",10
"888",9
"889",3
"890",10
"891",5
"892",10
"893",10
"894",9
"895",10
"896",8
"897",10
"898",6
"899",3
"900",3
"901",10
"902",10
"903",10
"904",8
"905",10
"906",8
"907",10
"908",10
"909",10
"910",8
"911",8
"912",10
"913",10
"914",8
"915",8
"916",8
"917",9
"918",10
"919",9
"920",9
"921",9
"922",10
"923",10
"924",6
"925",8
"926",3
"927",9
"928",9
"929",3
"930",10
"931",6
"932",8
"933",10
"934",10
"935",10
"936",10
"937",8
"938",10
"939",9
"940",10
"941",10
"942",5
"943",8
"944",10
"945",9
"946",9
"947",5
"948",10
"949",9
"950",10
"951",10
"952",10
"953",8
"954",10
"955",9
"956",9
"957",10
"958",10
"959",3
"960",9
"961",9
"962",10
"963",10
"964",10
"965",10
"966",10
"967",10
"968",9
"969",9
"970",10
"971",3
"972",10
"973",10
"974",10
"975",9
"976",3
"977",10
"978",8
"979",9
"980",9
"981",10
"982",9
"983",10
"984",9
"985",9
"986",10
"987",3
"988",8
"989",10
"990",10
"991",9
"992",10
"993",5
"994",10
"995",10
"996",10
"997",10
"998",3
"999",10
"1000",10
"1001",8
"1002",10
"1003",10
"1004",8
"1005",10
"1006",8
"1007",10
"1008",10
"1009",10
"1010",9
"1011",9
"1012",10
"1013",10
"1014",10
"1015",10
"1016",3
"1017",3
"1018",10
"1019",10
"1020",3
"1021",10
"1022",10
"1023",3
"1024",10
"1025",10
"1026",3
"1027",10
"1028",10
"1029",8
"1030",10
"1031",9
"1032",3
"1033",10
"1034",10
"1035",8
"1036",8
"1037",10
"1038",10
"1039",3
"1040",3
"1041",9
"1042",10
"1043",10
"1044",9
"1045",10
"1046",10
"1047",3
"1048",9
"1049",10
"1050",10
"1051",9
"1052",3
"1053",10
"1054",9
"1055",10
"1056",10
"1057",3
"1058",10
"1059",10
"1060",10
"1061",8
"1062",10
"1063",10
"1064",10
"1065",9
"1066",10
"1067",10
"1068",3
"1069",10
"1070",10
"1071",9
"1072",3
"1073",10
"1074",10
"1075",10
"1076",10
"1077",9
"1078",8
"1079",9
"1080",8
"1081",8
"1082",9
"1083",9
"1084",10
"1085",8
"1086",8
"1087",4
"1088",6
"1089",9
"1090",9
"1091",9
"1092",8
"1093",8
"1094",10
"1095",5
"1096",5
"1097",10
"1098",8
"1099",10
"1100",3
"1101",8
"1102",8
"1103",8
"1104",9
"1105",8
"1106",9
"1107",9
"1108",10
"1109",6
"1110",10
"1111",3
"1112",5
"1113",9
"1114",5
"1115",5
"1116",8
"1117",5
"1118",4
"1119",8
"1120",8
"1121",10
"1122",9
"1123",8
"1124",8
"1125",8
"1126",5
"1127",5
"1128",9
"1129",9
"1130",5
"1131",9
"1132",8
"1133",5
"1134",5
"1135",10
"1136",5
"1137",4
"1138",5
"1139",8
"1140",8
"1141",4
"1142",5
"1143",5
"1144",4
"1145",10
"1146",8
"1147",8
"1148",9
"1149",4
"1150",8
"1151",4
"1152",9
"1153",9
"1154",8
"1155",8
"1156",8
"1157",8
"1158",4
"1159",8
"1160",5
"1161",8
"1162",5
"1163",4
"1164",10
"1165",9
"1166",8
"1167",5
"1168",5
"1169",5
"1170",8
"1171",1
"1172",8
"1173",5
"1174",4
"1175",5
"1176",5
"1177",4
"1178",5
"1179",9
"1180",8
"1181",8
"1182",5
"1183",4
"1184",8
"1185",4
"1186",4
"1187",10
"1188",5
"1189",4
"1190",4
"1191",8
"1192",8
"1193",10
"1194",10
"1195",8
"1196",8
"1197",5
"1198",1
"1199",10
"1200",9
"1201",5
"1202",9
"1203",5
"1204",5
"1205",8
"1206",8
"1207",9
"1208",9
"1209",9
"1210",5
"1211",10
"1212",5
"1213",9
"1214",10
"1215",5
"1216",5
"1217",9
"1218",4
"1219",5
"1220",5
"1221",4
"1222",9
"1223",9
"1224",5
"1225",5
"1226",9
"1227",5
"1228",5
"1229",5
"1230",5
"1231",5
"1232",9
"1233",5
"1234",5
"1235",5
"1236",5
"1237",5
"1238",5
"1239",5
"1240",5
"1241",5
"1242",5
"1243",5
"1244",10
"1245",9
"1246",5
"1247",5
"1248",10
"1249",4
"1250",5
"1251",9
"1252",8
"1253",9
"1254",10
"1255",9
"1256",9
"1257",9
"1258",9
"1259",9
"1260",5
"1261",9
"1262",9
"1263",10
"1264",5
"1265",8
"1266",5
"1267",5
"1268",5
"1269",5
"1270",5
"1271",9
"1272",4
"1273",5
"1274",5
"1275",5
"1276",4
"1277",4
"1278",8
"1279",5
"1280",5
"1281",8
"1282",8
"1283",5
"1284",5
"1285",5
"1286",5
"1287",5
"1288",8
"1289",8
"1290",9
"1291",8
"1292",9
"1293",5
"1294",8
"1295",5
"1296",5
"1297",5
"1298",8
"1299",9
"1300",8
"1301",5
"1302",5
"1303",9
"1304",10
"1305",5
"1306",5
"1307",5
"1308",5
"1309",10
"1310",4
"1311",8
"1312",5
"1313",4
"1314",9
"1315",8
"1316",5
"1317",5
"1318",5
"1319",5
"1320",8
"1321",9
"1322",5
"1323",5
"1324",5
"1325",5
"1326",5
"1327",8
"1328",5
"1329",5
"1330",5
"1331",5
"1332",5
"1333",5
"1334",4
"1335",5
"1336",8
"1337",9
"1338",5
"1339",9
"1340",5
"1341",5
"1342",9
"1343",9
"1344",9
"1345",9
"1346",8
"1347",8
"1348",8
"1349",7
"1350",8
"1351",8
"1352",8
"1353",8
"1354",8
"1355",10
"1356",8
"1357",2
"1358",8
"1359",10
"1360",4
"1361",8
"1362",6
"1363",8
"1364",3
"1365",8
"1366",8
"1367",7
"1368",10
"1369",6
"1370",8
"1371",6
"1372",8
"1373",8
"1374",6
"1375",8
"1376",8
"1377",8
"1378",5
"1379",6
"1380",4
"1381",4
"1382",8
"1383",6
"1384",8
"1385",7
"1386",8
"1387",7
"1388",8
"1389",8
"1390",8
"1391",6
"1392",10
"1393",8
"1394",8
"1395",8
"1396",8
"1397",8
"1398",3
"1399",8
"1400",8
"1401",8
"1402",1
"1403",8
"1404",8
"1405",8
"1406",10
"1407",8
"1408",8
"1409",3
"1410",7
"1411",7
"1412",8
"1413",8
"1414",8
"1415",8
"1416",5
"1417",4
"1418",8
"1419",4
"1420",8
"1421",8
"1422",4
"1423",8
"1424",8
"1425",8
"1426",4
"1427",8
"1428",8
"1429",6
"1430",8
"1431",8
"1432",8
"1433",8
"1434",4
"1435",8
"1436",6
"1437",8
"1438",8
"1439",4
"1440",8
"1441",8
"1442",4
"1443",5
"1444",5
"1445",8
"1446",4
"1447",4
"1448",4
"1449",1
"1450",10
"1451",4
"1452",5
"1453",8
"1454",10
"1455",6
"1456",8
"1457",8
"1458",8
"1459",5
"1460",6
"1461",8
"1462",5
"1463",4
"1464",8
"1465",4
"1466",8
"1467",8
"1468",8
"1469",4
"1470",10
"1471",4
"1472",8
"1473",4
"1474",9
"1475",5
"1476",7
"1477",5
"1478",4
"1479",8
"1480",8
"1481",5
"1482",8
"1483",4
"1484",8
"1485",5
"1486",8
"1487",4
"1488",8
"1489",4
"1490",8
"1491",8
"1492",4
"1493",4
"1494",9
"1495",10
"1496",4
"1497",5
"1498",4
"1499",8
"1500",8
"1501",4
"1502",8
"1503",1
"1504",10
"1505",5
"1506",5
"1507",8
"1508",8
"1509",8
"1510",8
"1511",5
"1512",9
"1513",8
"1514",4
"1515",8
"1516",4
"1517",8
"1518",4
"1519",4
"1520",5
"1521",4
"1522",4
"1523",9
"1524",8
"1525",4
"1526",5
"1527",4
"1528",5
"1529",8
"1530",5
"1531",5
"1532",4
"1533",4
"1534",8
"1535",8
"1536",8
"1537",5
"1538",6
"1539",5
"1540",4
"1541",4
"1542",1
"1543",5
"1544",4
"1545",4
"1546",4
"1547",8
"1548",9
"1549",6
"1550",4
"1551",8
"1552",8
"1553",10
"1554",1
"1555",3
"1556",5
"1557",4
"1558",4
"1559",4
"1560",8
"1561",9
"1562",5
"1563",4
"1564",5
"1565",5
"1566",10
"1567",4
"1568",8
"1569",5
"1570",8
"1571",8
"1572",5
"1573",8
"1574",8
"1575",4
"1576",9
"1577",5
"1578",5
"1579",8
"1580",5
"1581",5
"1582",5
"1583",1
"1584",4
"1585",4
"1586",5
"1587",4
"1588",4
"1589",8
"1590",4
"1591",8
"1592",4
"1593",5
"1594",5
"1595",5
"1596",5
"1597",4
"1598",5
"1599",9
"1600",5
"1601",8
"1602",4
"1603",4
"1604",4
"1605",5
"1606",4
"1607",4
"1608",4
"1609",10
"1610",8
"1611",4
"1612",5
"1613",5
"1614",9
"1615",5
"1616",5
"1617",4
"1618",5
"1619",8
"1620",5
"1621",8
"1622",4
"1623",4
"1624",4
"1625",8
"1626",1
"1627",5
"1628",4
"1629",6
"1630",1
"1631",6
"1632",8
"1633",1
"1634",1
"1635",1
"1636",2
"1637",10
"1638",1
"1639",1
"1640",1
"1641",1
"1642",1
"1643",2
"1644",1
"1645",1
"1646",7
"1647",1
"1648",1
"1649",2
"1650",1
"1651",7
"1652",1
"1653",7
"1654",1
"1655",1
"1656",1
"1657",1
"1658",1
"1659",1
"1660",7
"1661",2
"1662",1
"1663",1
"1664",1
"1665",2
"1666",1
"1667",1
"1668",2
"1669",1
"1670",1
"1671",1
"1672",2
"1673",2
"1674",1
"1675",1
"1676",1
"1677",1
"1678",1
"1679",2
"1680",4
"1681",1
"1682",10
"1683",1
"1684",1
"1685",1
"1686",6
"1687",1
"1688",6
"1689",10
"1690",6
"1691",2
"1692",1
"1693",7
"1694",10
"1695",7
"1696",1
"1697",1
"1698",2
"1699",6
"1700",1
"1701",2
"1702",2
"1703",1
"1704",2
"1705",1
"1706",6
"1707",2
"1708",2
"1709",2
"1710",4
"1711",6
"1712",6
"1713",1
"1714",2
"1715",2
"1716",1
"1717",1
"1718",1
"1719",1
"1720",1
"1721",1
"1722",1
"1723",2
"1724",9
"1725",1
"1726",1
"1727",2
"1728",1
"1729",2
"1730",2
"1731",1
"1732",1
"1733",1
"1734",1
"1735",1
"1736",1
"1737",1
"1738",1
"1739",1
"1740",1
"1741",1
"1742",1
"1743",1
"1744",1
"1745",5
"1746",1
"1747",1
"1748",1
"1749",1
"1750",1
"1751",1
"1752",2
"1753",10
"1754",1
"1755",1
"1756",2
"1757",1
"1758",1
"1759",1
"1760",1
"1761",1
"1762",6
"1763",7
"1764",2
"1765",2
"1766",2
"1767",2
"1768",2
"1769",2
"1770",1
"1771",6
"1772",2
"1773",1
"1774",6
"1775",2
"1776",1
"1777",2
"1778",1
"1779",2
"1780",6
"1781",6
"1782",2
"1783",6
"1784",2
"1785",6
"1786",3
"1787",2
"1788",1
"1789",2
"1790",2
"1791",2
"1792",6
"1793",6
"1794",6
"1795",1
"1796",2
"1797",6
"1798",2
"1799",2
"1800",6
"1801",2
"1802",2
"1803",1
"1804",6
"1805",2
"1806",6
"1807",1
"1808",2
"1809",1
"1810",6
"1811",1
"1812",1
"1813",9
"1814",1
"1815",2
"1816",1
"1817",1
"1818",6
"1819",2
"1820",2
"1821",6
"1822",2
"1823",1
"1824",2
"1825",2
"1826",2
"1827",2
"1828",2
"1829",2
"1830",2
"1831",7
"1832",1
"1833",1
"1834",2
"1835",1
"1836",1
"1837",6
"1838",1
"1839",1
"1840",2
"1841",7
"1842",2
"1843",2
"1844",6
"1845",1
"1846",2
"1847",1
"1848",2
"1849",2
"1850",1
"1851",7
"1852",1
"1853",7
"1854",1
"1855",6
"1856",1
"1857",1
"1858",2
"1859",1
"1860",7
"1861",1
"1862",1
"1863",1
"1864",4
"1865",1
"1866",2
"1867",1
"1868",1
"1869",2
"1870",1
"1871",1
"1872",2
"1873",2
"1874",4
"1875",1
"1876",1
"1877",1
"1878",1
"1879",2
"1880",1
"1881",1
"1882",1
"1883",7
"1884",1
"1885",1
"1886",6
"1887",1
"1888",1
"1889",7
"1890",1
"1891",2
"1892",1
"1893",1
"1894",2
"1895",2
"1896",4
"1897",10
"1898",6
"1899",2
"1900",4
"1901",2
"1902",6
"1903",1
"1904",2
"1905",7
"1906",2
"1907",2
"1908",1
"1909",1
"1910",6
"1911",4
"1912",2
"1913",2
"1914",2
"1915",5
"1916",1
"1917",6
"1918",1
"1919",2
"1920",2
"1921",1
"1922",10
"1923",2
"1924",7
"1925",8
"1926",8
"1927",1
"1928",6
"1929",1
"1930",1
"1931",1
"1932",2
"1933",1
"1934",2
"1935",2
"1936",7
"1937",7
"1938",2
"1939",2
"1940",5
"1941",2
"1942",2
"1943",2
"1944",2
"1945",4
"1946",1
"1947",2
"1948",1
"1949",7
"1950",1
"1951",1
"1952",7
"1953",2
"1954",2
"1955",1
"1956",1
"1957",2
"1958",1
"1959",7
"1960",4
"1961",1
"1962",8
"1963",7
"1964",2
"1965",2
"1966",2
"1967",1
"1968",1
"1969",1
"1970",1
"1971",2
"1972",1
"1973",8
"1974",2
"1975",6
"1976",1
"1977",2
"1978",2
"1979",2
"1980",1
