"","x"
"1",3
"2",3
"3",7
"4",3
"5",7
"6",7
"7",2
"8",7
"9",3
"10",3
"11",3
"12",7
"13",5
"14",5
"15",2
"16",4
"17",2
"18",3
"19",6
"20",2
"21",2
"22",1
"23",6
"24",2
"25",5
"26",1
"27",2
"28",6
"29",7
"30",1
"31",5
"32",5
"33",5
"34",5
"35",2
"36",3
"37",2
"38",1
"39",2
"40",5
"41",4
"42",2
"43",5
"44",4
"45",4
"46",4
"47",3
"48",4
"49",5
"50",2
"51",5
"52",2
"53",3
"54",2
"55",2
"56",4
"57",2
"58",2
"59",1
"60",2
"61",6
"62",1
"63",2
"64",4
"65",2
"66",7
"67",1
"68",2
"69",5
"70",1
"71",2
"72",2
"73",5
"74",1
"75",2
"76",2
"77",5
"78",2
"79",2
"80",2
"81",2
"82",2
"83",2
"84",7
"85",4
"86",5
"87",5
"88",2
"89",2
"90",2
"91",2
"92",2
"93",1
"94",2
"95",2
"96",2
"97",2
"98",5
"99",5
"100",2
"101",5
"102",1
"103",1
"104",5
"105",2
"106",2
"107",2
"108",2
"109",3
"110",5
"111",2
"112",2
"113",1
"114",2
"115",2
"116",2
"117",5
"118",2
"119",5
"120",2
"121",2
"122",2
"123",5
"124",2
"125",2
"126",2
"127",1
"128",2
"129",5
"130",2
"131",1
"132",1
"133",2
"134",7
"135",1
"136",2
"137",2
"138",1
"139",2
"140",5
"141",2
"142",2
"143",2
"144",1
"145",2
"146",2
"147",4
"148",6
"149",2
"150",2
"151",2
"152",2
"153",5
"154",2
"155",4
"156",2
"157",1
"158",2
"159",1
"160",2
"161",2
"162",2
"163",2
"164",2
"165",2
"166",2
"167",2
"168",7
"169",2
"170",3
"171",2
"172",2
"173",7
"174",5
"175",2
"176",5
"177",5
"178",7
"179",1
"180",2
"181",1
"182",2
"183",1
"184",4
"185",2
"186",2
"187",1
"188",5
"189",2
"190",5
"191",2
"192",1
"193",2
"194",2
"195",5
"196",1
"197",6
"198",2
"199",1
"200",2
"201",1
"202",6
"203",2
"204",2
"205",2
"206",4
"207",6
"208",4
"209",4
"210",4
"211",2
"212",5
"213",2
"214",2
"215",2
"216",5
"217",5
"218",6
"219",2
"220",5
"221",2
"222",5
"223",2
"224",4
"225",2
"226",5
"227",5
"228",2
"229",4
"230",5
"231",3
"232",5
"233",2
"234",1
"235",2
"236",4
"237",2
"238",5
"239",2
"240",2
"241",1
"242",6
"243",1
"244",5
"245",2
"246",2
"247",2
"248",4
"249",1
"250",5
"251",1
"252",1
"253",2
"254",5
"255",6
"256",5
"257",5
"258",2
"259",2
"260",6
"261",5
"262",4
"263",4
"264",2
"265",2
"266",5
"267",2
"268",2
"269",2
"270",2
"271",2
"272",2
"273",5
"274",1
"275",2
"276",2
"277",2
"278",4
"279",2
"280",1
"281",1
"282",6
"283",2
"284",7
"285",1
"286",2
"287",7
"288",7
"289",7
"290",2
"291",5
"292",5
"293",3
"294",5
"295",5
"296",3
"297",3
"298",3
"299",7
"300",5
"301",3
"302",6
"303",1
"304",5
"305",5
"306",5
"307",5
"308",3
"309",2
"310",3
"311",4
"312",5
"313",2
"314",5
"315",1
"316",6
"317",5
"318",5
"319",2
"320",5
"321",2
"322",2
"323",5
"324",1
"325",2
"326",5
"327",2
"328",5
"329",2
"330",1
"331",2
"332",5
"333",5
"334",2
"335",5
"336",5
"337",6
"338",5
"339",5
"340",1
"341",2
"342",1
"343",1
"344",2
"345",3
"346",2
"347",2
"348",5
"349",5
"350",4
"351",2
"352",2
"353",2
"354",5
"355",1
"356",1
"357",3
"358",5
"359",2
"360",2
"361",2
"362",3
"363",2
"364",5
"365",2
"366",2
"367",2
"368",5
"369",1
"370",2
"371",5
"372",2
"373",2
"374",2
"375",2
"376",2
"377",2
"378",6
"379",2
"380",2
"381",2
"382",1
"383",2
"384",2
"385",5
"386",2
"387",5
"388",2
"389",5
"390",2
"391",5
"392",6
"393",2
"394",2
"395",6
"396",2
"397",5
"398",2
"399",2
"400",3
"401",7
"402",2
"403",1
"404",2
"405",5
"406",2
"407",2
"408",2
"409",2
"410",4
"411",7
"412",2
"413",7
"414",2
"415",6
"416",2
"417",4
"418",1
"419",2
"420",5
"421",5
"422",2
"423",5
"424",2
"425",2
"426",7
"427",2
"428",2
"429",2
"430",5
"431",2
"432",6
"433",2
"434",2
"435",6
"436",4
"437",2
"438",5
"439",2
"440",2
"441",2
"442",2
"443",2
"444",4
"445",2
"446",2
"447",6
"448",2
"449",2
"450",2
"451",2
"452",2
"453",5
"454",2
"455",2
"456",5
"457",2
"458",2
"459",2
"460",2
"461",1
"462",2
"463",2
"464",3
"465",2
"466",2
"467",2
"468",2
"469",6
"470",2
"471",2
"472",1
"473",2
"474",2
"475",2
"476",5
"477",5
"478",2
"479",2
"480",2
"481",2
"482",2
"483",2
"484",2
"485",2
"486",5
"487",1
"488",2
"489",1
"490",2
"491",2
"492",2
