"","x"
"1",3
"2",3
"3",3
"4",3
"5",6
"6",6
"7",1
"8",1
"9",1
"10",1
"11",1
"12",6
"13",7
"14",7
"15",7
"16",7
"17",7
"18",7
"19",7
"20",7
"21",7
"22",7
"23",7
"24",7
"25",11
"26",11
"27",11
"28",7
"29",11
"30",11
"31",11
"32",7
"33",11
"34",11
"35",10
"36",10
"37",10
"38",10
"39",10
"40",10
"41",10
"42",10
"43",10
"44",10
"45",10
"46",10
"47",10
"48",10
"49",9
"50",9
"51",9
"52",9
"53",9
"54",9
"55",9
"56",9
"57",9
"58",9
"59",9
"60",9
"61",9
"62",9
"63",9
"64",9
"65",9
"66",9
"67",9
"68",9
"69",9
"70",9
"71",9
"72",4
"73",9
"74",9
"75",9
"76",9
"77",13
"78",13
"79",13
"80",13
"81",13
"82",13
"83",13
"84",13
"85",13
"86",9
"87",9
"88",9
"89",9
"90",9
"91",9
"92",9
"93",9
"94",9
"95",9
"96",9
"97",9
"98",10
"99",9
"100",9
"101",9
"102",9
"103",8
"104",9
"105",9
"106",9
"107",9
"108",9
"109",9
"110",9
"111",9
"112",9
"113",9
"114",9
"115",9
"116",9
"117",9
"118",9
"119",9
"120",9
"121",9
"122",9
"123",9
"124",9
"125",9
"126",9
"127",9
"128",9
"129",9
"130",9
"131",9
"132",9
"133",9
"134",9
"135",9
"136",12
"137",2
"138",2
"139",2
"140",2
"141",12
"142",2
"143",4
"144",2
"145",4
"146",4
"147",2
"148",2
"149",2
"150",8
"151",2
"152",12
"153",5
"154",2
"155",4
"156",2
"157",12
"158",12
"159",2
"160",12
"161",2
"162",2
"163",2
"164",2
"165",12
"166",2
"167",2
"168",2
"169",2
"170",2
"171",12
"172",4
"173",2
"174",4
"175",2
"176",2
"177",2
"178",2
"179",12
"180",4
"181",4
"182",12
"183",12
"184",4
"185",4
"186",4
"187",12
"188",4
"189",12
"190",12
"191",12
"192",2
"193",12
"194",12
"195",2
"196",12
"197",12
"198",12
"199",12
"200",12
"201",12
"202",12
"203",4
"204",4
"205",12
"206",12
"207",12
"208",12
"209",4
"210",12
"211",4
"212",12
"213",12
"214",12
"215",4
"216",12
"217",4
"218",4
"219",2
"220",12
"221",4
"222",4
"223",2
"224",4
"225",12
"226",2
"227",2
"228",12
"229",2
"230",4
"231",4
"232",4
"233",4
"234",4
"235",4
"236",4
"237",4
"238",4
"239",4
"240",12
"241",8
"242",8
"243",8
"244",8
"245",4
"246",8
"247",8
"248",4
"249",12
"250",8
"251",12
"252",4
"253",12
"254",8
"255",8
"256",8
"257",8
"258",2
"259",8
"260",8
"261",8
"262",2
"263",8
"264",8
"265",8
"266",8
"267",8
"268",8
