"","x"
"1",9
"2",9
"3",9
"4",9
"5",9
"6",9
"7",6
"8",9
"9",9
"10",1
"11",9
"12",9
"13",1
"14",9
"15",8
"16",9
"17",8
"18",9
"19",9
"20",9
"21",9
"22",5
"23",9
"24",9
"25",9
"26",9
"27",8
"28",5
"29",9
"30",6
"31",9
"32",9
"33",9
"34",9
"35",9
"36",9
"37",9
"38",9
"39",1
"40",9
"41",9
"42",1
"43",9
"44",1
"45",9
"46",1
"47",6
"48",9
"49",1
"50",9
"51",9
"52",9
"53",9
"54",9
"55",1
"56",9
"57",9
"58",9
"59",9
"60",9
"61",9
"62",9
"63",9
"64",9
"65",9
"66",9
"67",9
"68",1
"69",9
"70",9
"71",9
"72",9
"73",9
"74",1
"75",9
"76",6
"77",9
"78",9
"79",1
"80",9
"81",9
"82",9
"83",6
"84",1
"85",6
"86",6
"87",4
"88",8
"89",6
"90",6
"91",8
"92",6
"93",8
"94",4
"95",1
"96",6
"97",6
"98",6
"99",6
"100",6
"101",6
"102",6
"103",6
"104",6
"105",6
"106",8
"107",6
"108",6
"109",6
"110",6
"111",6
"112",4
"113",1
"114",6
"115",8
"116",6
"117",1
"118",6
"119",6
"120",9
"121",6
"122",6
"123",6
"124",6
"125",6
"126",6
"127",1
"128",6
"129",6
"130",6
"131",1
"132",6
"133",4
"134",6
"135",8
"136",8
"137",6
"138",6
"139",6
"140",6
"141",1
"142",9
"143",6
"144",8
"145",8
"146",8
"147",8
"148",8
"149",8
"150",6
"151",8
"152",9
"153",8
"154",6
"155",3
"156",2
"157",8
"158",8
"159",1
"160",9
"161",8
"162",8
"163",6
"164",8
"165",8
"166",8
"167",8
"168",8
"169",8
"170",6
"171",8
"172",8
"173",8
"174",9
"175",8
"176",9
"177",8
"178",1
"179",8
"180",8
"181",8
"182",8
"183",8
"184",6
"185",8
"186",8
"187",8
"188",6
"189",8
"190",8
"191",8
"192",8
"193",9
"194",6
"195",8
"196",8
"197",1
"198",6
"199",8
"200",8
"201",8
"202",6
"203",8
"204",6
"205",8
"206",2
"207",8
"208",9
"209",8
"210",1
"211",9
"212",9
"213",1
"214",9
"215",9
"216",8
"217",8
"218",8
"219",8
"220",8
"221",9
"222",8
"223",1
"224",8
"225",8
"226",8
"227",8
"228",8
"229",9
"230",8
"231",6
"232",8
"233",6
"234",6
"235",8
"236",1
"237",8
"238",6
"239",9
"240",8
"241",9
"242",9
"243",6
"244",8
"245",8
"246",8
"247",9
"248",8
"249",9
"250",6
"251",1
"252",9
"253",8
"254",8
"255",9
"256",8
"257",8
"258",8
"259",6
"260",9
"261",1
"262",8
"263",1
"264",8
"265",8
"266",8
"267",2
"268",8
"269",9
"270",8
"271",8
"272",1
"273",9
"274",6
"275",8
"276",6
"277",8
"278",8
"279",8
"280",6
"281",8
"282",9
"283",8
"284",1
"285",8
"286",8
"287",2
"288",8
"289",8
"290",1
"291",8
"292",9
"293",1
"294",8
"295",8
"296",1
"297",1
"298",1
"299",1
"300",1
"301",8
"302",2
"303",1
"304",1
"305",1
"306",1
"307",3
"308",1
"309",8
"310",1
"311",1
"312",1
"313",9
"314",1
"315",1
"316",9
"317",6
"318",1
"319",9
"320",9
"321",1
"322",1
"323",1
"324",1
"325",1
"326",1
"327",2
"328",1
"329",1
"330",9
"331",1
"332",1
"333",1
"334",9
"335",1
"336",1
"337",6
"338",9
"339",1
"340",9
"341",1
"342",9
"343",3
"344",1
"345",1
"346",1
"347",1
"348",1
"349",9
"350",1
"351",1
"352",6
"353",9
"354",1
"355",1
"356",8
"357",9
"358",1
"359",1
"360",8
"361",1
"362",1
"363",9
"364",9
"365",6
"366",1
"367",6
"368",1
"369",1
"370",1
"371",1
"372",1
"373",3
"374",9
"375",2
"376",1
"377",1
"378",1
"379",1
"380",1
"381",8
"382",1
"383",9
"384",1
"385",1
"386",1
"387",1
"388",1
"389",6
"390",1
"391",6
"392",1
"393",1
"394",1
"395",2
"396",6
"397",6
"398",1
"399",1
"400",2
"401",8
"402",1
"403",1
"404",1
"405",1
"406",1
"407",6
"408",1
"409",1
"410",1
"411",6
"412",1
"413",1
"414",1
"415",1
"416",1
"417",6
"418",1
"419",6
"420",1
"421",1
"422",6
"423",1
"424",6
"425",6
"426",1
"427",4
"428",6
"429",1
"430",2
"431",1
"432",4
"433",1
"434",4
"435",4
"436",1
"437",1
"438",1
"439",6
"440",6
"441",1
"442",1
"443",1
"444",6
"445",1
"446",1
"447",7
"448",8
"449",1
"450",6
"451",9
"452",9
"453",1
"454",1
"455",3
"456",5
"457",3
"458",7
"459",3
"460",3
"461",5
"462",5
"463",2
"464",3
"465",3
"466",3
"467",2
"468",5
"469",5
"470",3
"471",3
"472",3
"473",7
"474",3
"475",3
"476",3
"477",3
"478",3
"479",3
"480",5
"481",5
"482",5
"483",4
"484",4
"485",3
"486",5
"487",2
"488",8
"489",4
"490",3
"491",2
"492",3
"493",1
"494",2
"495",5
"496",2
"497",2
"498",3
"499",4
"500",3
"501",4
