"","x"
"1",5
"2",5
"3",5
"4",5
"5",5
"6",5
"7",5
"8",5
"9",5
"10",5
"11",5
"12",5
"13",3
"14",3
"15",3
"16",3
"17",4
"18",3
"19",3
"20",3
"21",3
"22",6
"23",3
"24",3
"25",6
"26",4
"27",4
"28",4
"29",4
"30",4
"31",2
"32",4
"33",4
"34",2
"35",2
"36",2
"37",2
"38",2
"39",2
"40",3
"41",2
"42",2
"43",2
"44",6
"45",2
"46",2
"47",2
"48",2
"49",2
"50",2
"51",3
"52",3
"53",8
"54",2
"55",8
"56",4
"57",2
"58",2
"59",4
"60",2
"61",2
"62",2
"63",8
"64",2
"65",2
"66",3
"67",3
"68",3
"69",3
"70",3
"71",3
"72",3
"73",8
"74",3
"75",3
"76",3
"77",3
"78",3
"79",3
"80",3
"81",3
"82",3
"83",3
"84",3
"85",3
"86",3
"87",3
"88",4
"89",7
"90",7
"91",7
"92",7
"93",7
"94",7
"95",7
"96",7
"97",4
"98",4
"99",7
"100",7
"101",7
"102",7
"103",7
"104",1
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",1
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",1
"122",4
"123",1
"124",1
"125",1
"126",1
"127",1
"128",1
"129",1
"130",1
"131",1
"132",1
"133",1
"134",4
"135",1
"136",1
"137",1
"138",6
"139",6
"140",6
"141",6
"142",6
"143",6
"144",6
"145",6
"146",6
"147",6
"148",6
"149",2
