"","x"
"1",3
"2",1
"3",2
"4",1
"5",3
"6",1
"7",1
"8",3
"9",3
"10",1
"11",1
"12",1
"13",3
"14",3
"15",1
"16",1
"17",1
"18",3
"19",3
"20",3
"21",1
"22",3
"23",3
"24",3
"25",3
"26",2
"27",3
"28",1
"29",2
"30",2
"31",2
"32",3
"33",1
"34",3
"35",1
"36",1
"37",2
"38",2
"39",2
"40",1
"41",1
"42",2
"43",3
"44",2
"45",2
"46",3
"47",2
"48",1
"49",1
"50",1
"51",2
"52",2
"53",1
"54",3
"55",3
"56",2
"57",2
"58",2
"59",1
"60",2
"61",2
"62",2
"63",2
"64",2
"65",2
"66",2
"67",1
"68",3
"69",1
"70",3
"71",2
"72",2
"73",2
"74",2
"75",3
"76",2
"77",3
"78",2
"79",3
"80",3
