"","x"
"1",11
"2",11
"3",2
"4",2
"5",6
"6",6
"7",7
"8",6
"9",6
"10",11
"11",11
"12",11
"13",2
"14",13
"15",6
"16",11
"17",6
"18",7
"19",6
"20",6
"21",7
"22",7
"23",7
"24",11
"25",7
"26",11
"27",11
"28",8
"29",2
"30",2
"31",12
"32",14
"33",14
"34",14
"35",2
"36",14
"37",11
"38",10
"39",10
"40",11
"41",15
"42",2
"43",7
"44",6
"45",14
"46",2
"47",3
"48",11
"49",14
"50",11
"51",2
"52",6
"53",10
"54",12
"55",10
"56",8
"57",2
"58",11
"59",14
"60",6
"61",11
"62",11
"63",2
"64",12
"65",11
"66",2
"67",6
"68",2
"69",11
"70",2
"71",2
"72",11
"73",14
"74",14
"75",3
"76",11
"77",2
"78",11
"79",3
"80",3
"81",11
"82",11
"83",11
"84",1
"85",11
"86",14
"87",10
"88",6
"89",3
"90",12
"91",2
"92",3
"93",11
"94",5
"95",2
"96",3
"97",3
"98",1
"99",1
"100",11
"101",3
"102",3
"103",3
"104",3
"105",1
"106",15
"107",15
"108",12
"109",14
"110",15
"111",3
"112",11
"113",3
"114",1
"115",11
"116",7
"117",11
"118",5
"119",11
"120",11
"121",7
"122",11
"123",5
"124",11
"125",6
"126",11
"127",7
"128",7
"129",1
"130",2
"131",11
"132",11
"133",11
"134",7
"135",2
"136",7
"137",11
"138",7
"139",11
"140",4
"141",12
"142",4
"143",4
"144",10
"145",13
"146",10
"147",4
"148",4
"149",8
"150",4
"151",8
"152",4
"153",4
"154",8
"155",4
"156",4
"157",4
"158",8
"159",4
"160",4
"161",8
"162",4
"163",9
"164",4
"165",12
"166",4
"167",4
"168",4
"169",12
"170",4
"171",4
"172",4
"173",10
"174",13
"175",13
"176",12
"177",12
"178",9
"179",9
"180",12
"181",12
"182",12
"183",12
"184",9
"185",12
"186",8
"187",10
"188",12
"189",12
"190",12
"191",4
"192",10
"193",13
"194",8
"195",13
"196",4
"197",13
"198",12
"199",12
"200",4
"201",12
"202",8
"203",12
"204",12
"205",10
"206",8
"207",8
"208",13
"209",12
"210",4
"211",12
"212",4
"213",4
"214",8
"215",15
"216",10
"217",9
"218",4
"219",5
"220",9
"221",9
"222",9
"223",4
"224",4
"225",9
"226",12
"227",9
"228",13
"229",9
"230",12
"231",12
"232",12
"233",9
"234",9
"235",12
"236",9
"237",9
"238",9
"239",9
"240",9
"241",4
"242",9
"243",12
"244",9
"245",14
"246",12
"247",14
"248",9
"249",4
"250",12
"251",5
"252",4
"253",4
"254",12
"255",13
"256",4
"257",4
"258",4
"259",4
"260",4
"261",12
"262",9
"263",9
"264",4
"265",10
"266",12
"267",4
"268",8
"269",4
"270",12
"271",5
"272",9
"273",4
"274",12
"275",4
"276",9
"277",9
"278",10
"279",5
"280",12
"281",5
"282",8
"283",9
"284",4
"285",8
"286",8
"287",8
"288",8
"289",12
"290",9
"291",12
"292",9
"293",9
"294",9
"295",9
"296",4
"297",4
"298",9
"299",12
"300",5
"301",9
"302",9
"303",12
"304",12
"305",9
"306",12
"307",12
"308",12
"309",12
"310",4
"311",8
"312",15
"313",12
"314",15
"315",13
"316",4
"317",12
"318",10
"319",8
"320",12
"321",8
"322",8
"323",12
"324",8
"325",8
"326",10
"327",8
"328",8
"329",8
"330",8
"331",8
"332",12
"333",5
"334",8
"335",12
"336",12
"337",12
"338",15
"339",12
"340",8
"341",10
"342",15
"343",12
"344",8
"345",12
"346",8
"347",10
"348",12
"349",5
"350",12
"351",12
"352",15
"353",15
"354",15
"355",15
"356",12
"357",8
"358",12
"359",12
"360",12
"361",8
"362",12
"363",15
"364",8
"365",12
"366",8
"367",12
"368",12
"369",12
"370",12
"371",12
"372",8
"373",10
"374",4
"375",8
"376",12
"377",7
"378",5
"379",8
"380",8
"381",8
"382",8
"383",8
"384",15
"385",10
"386",12
"387",15
"388",8
"389",7
"390",13
"391",13
"392",8
"393",13
"394",4
"395",13
"396",13
"397",13
"398",13
"399",7
"400",13
"401",13
"402",5
"403",5
"404",10
"405",8
"406",7
"407",13
"408",8
"409",13
"410",13
"411",13
"412",13
