"","x"
"1",6
"2",6
"3",6
"4",11
"5",11
"6",11
"7",11
"8",11
"9",11
"10",11
"11",11
"12",11
"13",3
"14",3
"15",3
"16",3
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",4
"26",4
"27",4
"28",10
"29",9
"30",9
"31",9
"32",9
"33",9
"34",9
"35",9
"36",9
"37",9
"38",9
"39",9
"40",9
"41",9
"42",9
"43",9
"44",9
"45",5
"46",5
"47",6
"48",5
"49",5
"50",5
"51",5
"52",6
"53",5
"54",5
"55",5
"56",5
"57",5
"58",5
"59",5
"60",5
"61",8
"62",2
"63",8
"64",8
"65",8
"66",8
"67",8
"68",2
"69",8
"70",8
"71",8
"72",8
"73",2
"74",7
"75",7
"76",8
"77",7
"78",8
"79",8
"80",7
"81",7
"82",8
"83",7
"84",7
"85",8
"86",7
"87",7
"88",7
"89",8
"90",7
