"","x"
"Var1_1","8"
"Var1_2","8"
"Var1_3","8"
"Var1_4","8"
"Var1_5","8"
"Var1_6","8"
"Var1_7","1"
"Var1_8","8"
"Var1_9","8"
"Var1_10","8"
"Var1_11","8"
"Var1_12","8"
"Var1_13","3"
"Var1_14","3"
"Var1_15","6"
"Var1_16","11"
"Var1_17","1"
"Var1_18","8"
"Var1_19","7"
"Var1_20","1"
"Var1_21","1"
"Var1_22","2"
"Var1_23","7"
"Var1_24","1"
"Var1_25","3"
"Var1_26","2"
"Var1_27","0"
"Var1_28","8"
"Var1_29","8"
"Var1_30","1"
"Var1_31","3"
"Var1_32","3"
"Var1_33","3"
"Var1_34","3"
"Var1_35","1"
"Var1_36","8"
"Var1_37","1"
"Var1_38","1"
"Var1_39","6"
"Var1_40","3"
"Var1_41","11"
"Var1_42","1"
"Var1_43","3"
"Var1_44","11"
"Var1_45","11"
"Var1_46","11"
"Var1_47","8"
"Var1_48","11"
"Var1_49","3"
"Var1_50","0"
"Var1_51","3"
"Var1_52","1"
"Var1_53","8"
"Var1_54","1"
"Var1_55","1"
"Var1_56","11"
"Var1_57","1"
"Var1_58","1"
"Var1_59","1"
"Var1_60","6"
"Var1_61","7"
"Var1_62","2"
"Var1_63","6"
"Var1_64","7"
"Var1_65","1"
"Var1_66","8"
"Var1_67","2"
"Var1_68","1"
"Var1_69","3"
"Var1_70","2"
"Var1_71","6"
"Var1_72","6"
"Var1_73","1"
"Var1_74","3"
"Var1_75","0"
"Var1_76","1"
"Var1_77","3"
"Var1_78","1"
"Var1_79","0"
"Var1_80","1"
"Var1_81","1"
"Var1_82","1"
"Var1_83","1"
"Var1_84","8"
"Var1_85","11"
"Var1_86","3"
"Var1_87","3"
"Var1_88","1"
"Var1_89","6"
"Var1_90","1"
"Var1_91","1"
"Var1_92","1"
"Var1_93","1"
"Var1_94","1"
"Var1_95","1"
"Var1_96","6"
"Var1_97","1"
"Var1_98","3"
"Var1_99","3"
"Var1_100","1"
"Var1_101","3"
"Var1_102","2"
"Var1_103","2"
"Var1_104","3"
"Var1_105","0"
"Var1_106","0"
"Var1_107","6"
"Var1_108","1"
"Var1_109","8"
"Var1_110","3"
"Var1_111","1"
"Var1_112","1"
"Var1_113","3"
"Var1_114","1"
"Var1_115","1"
"Var1_116","0"
"Var1_117","3"
"Var1_118","1"
"Var1_119","3"
"Var1_120","1"
"Var1_121","0"
"Var1_122","1"
"Var1_123","3"
"Var1_124","1"
"Var1_125","1"
"Var1_126","1"
"Var1_127","2"
"Var1_128","0"
"Var1_129","3"
"Var1_130","0"
"Var1_131","2"
"Var1_132","2"
"Var1_133","1"
