"","x"
"Var1_1","0"
"Var1_2","0"
"Var1_3","0"
"Var1_4","0"
"Var1_5","0"
"Var1_6","0"
"Var1_7","0"
"Var1_8","0"
"Var1_9","0"
"Var1_10","0"
"Var1_11","0"
"Var1_12","0"
"Var1_13","0"
"Var1_14","0"
"Var1_15","0"
"Var1_16","0"
"Var1_17","0"
"Var1_18","0"
"Var1_19","0"
"Var1_20","0"
"Var1_21","0"
"Var1_22","0"
"Var1_23","0"
"Var1_24","0"
"Var1_25","0"
"Var1_26","0"
"Var1_27","0"
"Var1_28","0"
"Var1_29","0"
"Var1_30","1"
"Var1_31","1"
"Var1_32","1"
"Var1_33","1"
"Var1_34","1"
"Var1_35","1"
"Var1_36","1"
"Var1_37","1"
"Var1_38","1"
"Var1_39","1"
"Var1_40","1"
"Var1_41","1"
"Var1_42","1"
"Var1_43","1"
"Var1_44","1"
"Var1_45","1"
"Var1_46","1"
"Var1_47","1"
"Var1_48","1"
"Var1_49","1"
