"","x"
"Var1_1","3"
"Var1_2","3"
"Var1_3","3"
"Var1_4","3"
"Var1_5","3"
"Var1_6","3"
"Var1_7","3"
"Var1_8","3"
"Var1_9","3"
"Var1_10","3"
"Var1_11","3"
"Var1_12","3"
"Var1_13","3"
"Var1_14","3"
"Var1_15","3"
"Var1_16","3"
"Var1_17","3"
"Var1_18","3"
"Var1_19","3"
"Var1_20","3"
"Var1_21","3"
"Var1_22","3"
"Var1_23","3"
"Var1_24","3"
"Var1_25","3"
"Var1_26","3"
"Var1_27","3"
"Var1_28","3"
"Var1_29","3"
"Var1_30","3"
"Var1_31","3"
"Var1_32","3"
"Var1_33","3"
"Var1_34","3"
"Var1_35","3"
"Var1_36","3"
"Var1_37","3"
"Var1_38","3"
"Var1_39","3"
"Var1_40","3"
"Var1_41","3"
"Var1_42","3"
"Var1_43","9"
"Var1_44","3"
"Var1_45","3"
"Var1_46","3"
"Var1_47","3"
"Var1_48","3"
"Var1_49","3"
"Var1_50","3"
"Var1_51","3"
"Var1_52","3"
"Var1_53","3"
"Var1_54","3"
"Var1_55","3"
"Var1_56","3"
"Var1_57","3"
"Var1_58","3"
"Var1_59","3"
"Var1_60","3"
"Var1_61","3"
"Var1_62","3"
"Var1_63","3"
"Var1_64","3"
"Var1_65","3"
"Var1_66","3"
"Var1_67","3"
"Var1_68","3"
"Var1_69","3"
"Var1_70","3"
"Var1_71","3"
"Var1_72","3"
"Var1_73","3"
"Var1_74","3"
"Var1_75","3"
"Var1_76","3"
"Var1_77","3"
"Var1_78","3"
"Var1_79","3"
"Var1_80","3"
"Var1_81","3"
"Var1_82","3"
"Var1_83","3"
"Var1_84","3"
"Var1_85","3"
"Var1_86","3"
"Var1_87","3"
"Var1_88","3"
"Var1_89","3"
"Var1_90","3"
"Var1_91","3"
"Var1_92","3"
"Var1_93","3"
"Var1_94","3"
"Var1_95","3"
"Var1_96","3"
"Var1_97","3"
"Var1_98","3"
"Var1_99","3"
"Var1_100","3"
"Var1_101","3"
"Var1_102","3"
"Var1_103","3"
"Var1_104","3"
"Var1_105","3"
"Var1_106","3"
"Var1_107","3"
"Var1_108","3"
"Var1_109","3"
"Var1_110","3"
"Var1_111","3"
"Var1_112","3"
"Var1_113","3"
"Var1_114","3"
"Var1_115","3"
"Var1_116","3"
"Var1_117","3"
"Var1_118","3"
"Var1_119","3"
"Var1_120","3"
"Var1_121","3"
"Var1_122","3"
"Var1_123","3"
"Var1_124","3"
"Var1_125","3"
"Var1_126","3"
"Var1_127","3"
"Var1_128","3"
"Var1_129","3"
"Var1_130","3"
"Var1_131","3"
"Var1_132","3"
"Var1_133","3"
"Var1_134","3"
"Var1_135","3"
"Var1_136","3"
"Var1_137","3"
"Var1_138","3"
"Var1_139","3"
"Var1_140","3"
"Var1_141","3"
"Var1_142","3"
"Var1_143","3"
"Var1_144","3"
"Var1_145","3"
"Var1_146","3"
"Var1_147","3"
"Var1_148","3"
"Var1_149","3"
"Var1_150","3"
"Var1_151","3"
"Var1_152","3"
"Var1_153","3"
"Var1_154","3"
"Var1_155","3"
"Var1_156","3"
"Var1_157","3"
"Var1_158","3"
"Var1_159","3"
"Var1_160","3"
"Var1_161","3"
"Var1_162","3"
"Var1_163","3"
"Var1_164","3"
"Var1_165","3"
"Var1_166","3"
"Var1_167","3"
"Var1_168","3"
"Var1_169","3"
"Var1_170","3"
"Var1_171","3"
"Var1_172","3"
"Var1_173","3"
"Var1_174","3"
"Var1_175","3"
"Var1_176","3"
"Var1_177","3"
"Var1_178","3"
"Var1_179","3"
"Var1_180","3"
"Var1_181","3"
"Var1_182","3"
"Var1_183","3"
"Var1_184","3"
"Var1_185","3"
"Var1_186","3"
"Var1_187","3"
"Var1_188","3"
"Var1_189","3"
"Var1_190","3"
"Var1_191","3"
"Var1_192","3"
"Var1_193","3"
"Var1_194","3"
"Var1_195","3"
"Var1_196","3"
"Var1_197","3"
"Var1_198","3"
"Var1_199","3"
"Var1_200","3"
"Var1_201","3"
"Var1_202","3"
"Var1_203","3"
"Var1_204","3"
"Var1_205","3"
"Var1_206","3"
"Var1_207","3"
"Var1_208","3"
"Var1_209","3"
"Var1_210","3"
"Var1_211","3"
"Var1_212","3"
"Var1_213","3"
"Var1_214","3"
"Var1_215","3"
"Var1_216","3"
"Var1_217","3"
"Var1_218","3"
"Var1_219","3"
"Var1_220","3"
"Var1_221","3"
"Var1_222","3"
"Var1_223","3"
"Var1_224","3"
"Var1_225","3"
"Var1_226","3"
"Var1_227","3"
"Var1_228","3"
"Var1_229","3"
"Var1_230","3"
"Var1_231","3"
"Var1_232","3"
"Var1_233","3"
"Var1_234","3"
"Var1_235","3"
"Var1_236","3"
"Var1_237","3"
"Var1_238","3"
"Var1_239","3"
"Var1_240","3"
"Var1_241","3"
"Var1_242","3"
"Var1_243","3"
"Var1_244","3"
"Var1_245","3"
"Var1_246","3"
"Var1_247","3"
"Var1_248","3"
"Var1_249","3"
"Var1_250","3"
"Var1_251","3"
"Var1_252","3"
"Var1_253","3"
"Var1_254","3"
"Var1_255","3"
"Var1_256","3"
"Var1_257","3"
"Var1_258","3"
"Var1_259","3"
"Var1_260","3"
"Var1_261","3"
"Var1_262","3"
"Var1_263","3"
"Var1_264","3"
"Var1_265","3"
"Var1_266","3"
"Var1_267","3"
"Var1_268","3"
"Var1_269","3"
"Var1_270","3"
"Var1_271","3"
"Var1_272","3"
"Var1_273","3"
"Var1_274","3"
"Var1_275","3"
"Var1_276","3"
"Var1_277","3"
"Var1_278","3"
"Var1_279","3"
"Var1_280","3"
"Var1_281","3"
"Var1_282","3"
"Var1_283","3"
"Var1_284","3"
"Var1_285","3"
"Var1_286","3"
"Var1_287","3"
"Var1_288","3"
"Var1_289","3"
"Var1_290","3"
"Var1_291","3"
"Var1_292","3"
"Var1_293","3"
"Var1_294","3"
"Var1_295","3"
"Var1_296","3"
"Var1_297","3"
"Var1_298","3"
"Var1_299","3"
"Var1_300","3"
"Var1_301","3"
"Var1_302","3"
"Var1_303","3"
"Var1_304","3"
"Var1_305","3"
"Var1_306","3"
"Var1_307","3"
"Var1_308","3"
"Var1_309","3"
"Var1_310","3"
"Var1_311","3"
"Var1_312","3"
"Var1_313","3"
"Var1_314","3"
"Var1_315","3"
"Var1_316","3"
"Var1_317","3"
"Var1_318","3"
"Var1_319","3"
"Var1_320","3"
"Var1_321","3"
"Var1_322","3"
"Var1_323","3"
"Var1_324","3"
"Var1_325","3"
"Var1_326","3"
"Var1_327","3"
"Var1_328","3"
"Var1_329","3"
"Var1_330","3"
"Var1_331","3"
"Var1_332","7"
"Var1_333","3"
"Var1_334","3"
"Var1_335","3"
"Var1_336","3"
"Var1_337","3"
"Var1_338","3"
"Var1_339","3"
"Var1_340","3"
"Var1_341","3"
"Var1_342","3"
"Var1_343","3"
"Var1_344","3"
"Var1_345","3"
"Var1_346","3"
"Var1_347","3"
"Var1_348","3"
"Var1_349","3"
"Var1_350","3"
"Var1_351","3"
"Var1_352","3"
"Var1_353","3"
"Var1_354","3"
"Var1_355","3"
"Var1_356","3"
"Var1_357","3"
"Var1_358","3"
"Var1_359","3"
"Var1_360","3"
"Var1_361","3"
"Var1_362","3"
"Var1_363","3"
"Var1_364","3"
"Var1_365","3"
"Var1_366","3"
"Var1_367","3"
"Var1_368","3"
"Var1_369","3"
"Var1_370","3"
"Var1_371","3"
"Var1_372","3"
"Var1_373","3"
"Var1_374","3"
"Var1_375","3"
"Var1_376","3"
"Var1_377","3"
"Var1_378","3"
"Var1_379","3"
"Var1_380","3"
"Var1_381","3"
"Var1_382","3"
"Var1_383","3"
"Var1_384","3"
"Var1_385","3"
"Var1_386","3"
"Var1_387","3"
"Var1_388","3"
"Var1_389","3"
"Var1_390","3"
"Var1_391","3"
"Var1_392","3"
"Var1_393","3"
"Var1_394","3"
"Var1_395","3"
"Var1_396","3"
"Var1_397","3"
"Var1_398","3"
"Var1_399","3"
"Var1_400","3"
"Var1_401","3"
"Var1_402","3"
"Var1_403","3"
"Var1_404","3"
"Var1_405","3"
"Var1_406","3"
"Var1_407","3"
"Var1_408","3"
"Var1_409","3"
"Var1_410","3"
"Var1_411","3"
"Var1_412","3"
"Var1_413","3"
"Var1_414","3"
"Var1_415","3"
"Var1_416","3"
"Var1_417","3"
"Var1_418","3"
"Var1_419","3"
"Var1_420","3"
"Var1_421","3"
"Var1_422","3"
"Var1_423","3"
"Var1_424","3"
"Var1_425","3"
"Var1_426","3"
"Var1_427","3"
"Var1_428","3"
"Var1_429","3"
"Var1_430","3"
"Var1_431","3"
"Var1_432","3"
"Var1_433","3"
"Var1_434","3"
"Var1_435","3"
"Var1_436","3"
"Var1_437","3"
"Var1_438","3"
"Var1_439","3"
"Var1_440","3"
"Var1_441","3"
"Var1_442","3"
"Var1_443","3"
"Var1_444","3"
"Var1_445","3"
"Var1_446","3"
"Var1_447","3"
"Var1_448","3"
"Var1_449","3"
"Var1_450","3"
"Var1_451","3"
"Var1_452","3"
"Var1_453","3"
"Var1_454","3"
"Var1_455","3"
"Var1_456","3"
"Var1_457","3"
"Var1_458","3"
"Var1_459","3"
"Var1_460","3"
"Var1_461","3"
"Var1_462","3"
"Var1_463","3"
"Var1_464","3"
"Var1_465","3"
"Var1_466","3"
"Var1_467","3"
"Var1_468","3"
"Var1_469","3"
"Var1_470","3"
"Var1_471","3"
"Var1_472","3"
"Var1_473","3"
"Var1_474","3"
"Var1_475","3"
"Var1_476","3"
"Var1_477","3"
"Var1_478","3"
"Var1_479","3"
"Var1_480","3"
"Var1_481","3"
"Var1_482","3"
"Var1_483","3"
"Var1_484","3"
"Var1_485","3"
"Var1_486","3"
"Var1_487","3"
"Var1_488","3"
"Var1_489","3"
"Var1_490","3"
"Var1_491","3"
"Var1_492","3"
"Var1_493","3"
"Var1_494","3"
"Var1_495","3"
"Var1_496","3"
"Var1_497","3"
"Var1_498","3"
"Var1_499","3"
"Var1_500","3"
"Var1_501","3"
"Var1_502","3"
"Var1_503","3"
"Var1_504","3"
"Var1_505","3"
"Var1_506","3"
"Var1_507","3"
"Var1_508","3"
"Var1_509","3"
"Var1_510","3"
"Var1_511","3"
"Var1_512","3"
"Var1_513","3"
"Var1_514","3"
"Var1_515","3"
"Var1_516","3"
"Var1_517","3"
"Var1_518","3"
"Var1_519","3"
"Var1_520","3"
"Var1_521","3"
"Var1_522","3"
"Var1_523","3"
"Var1_524","3"
"Var1_525","3"
"Var1_526","3"
"Var1_527","3"
"Var1_528","3"
"Var1_529","3"
"Var1_530","3"
"Var1_531","3"
"Var1_532","3"
"Var1_533","3"
"Var1_534","3"
"Var1_535","3"
"Var1_536","3"
"Var1_537","3"
"Var1_538","3"
"Var1_539","3"
"Var1_540","3"
"Var1_541","3"
"Var1_542","3"
"Var1_543","3"
"Var1_544","3"
"Var1_545","3"
"Var1_546","3"
"Var1_547","3"
"Var1_548","3"
"Var1_549","3"
"Var1_550","3"
"Var1_551","3"
"Var1_552","3"
"Var1_553","3"
"Var1_554","3"
"Var1_555","3"
"Var1_556","3"
"Var1_557","3"
"Var1_558","3"
"Var1_559","3"
"Var1_560","3"
"Var1_561","3"
"Var1_562","3"
"Var1_563","3"
"Var1_564","3"
"Var1_565","3"
"Var1_566","3"
"Var1_567","3"
"Var1_568","3"
"Var1_569","3"
"Var1_570","3"
"Var1_571","3"
"Var1_572","3"
"Var1_573","3"
"Var1_574","3"
"Var1_575","3"
"Var1_576","3"
"Var1_577","3"
"Var1_578","2"
"Var1_579","3"
"Var1_580","3"
"Var1_581","3"
"Var1_582","3"
"Var1_583","3"
"Var1_584","3"
"Var1_585","3"
"Var1_586","3"
"Var1_587","3"
"Var1_588","3"
"Var1_589","3"
"Var1_590","3"
"Var1_591","3"
"Var1_592","3"
"Var1_593","3"
"Var1_594","3"
"Var1_595","3"
"Var1_596","3"
"Var1_597","3"
"Var1_598","3"
"Var1_599","3"
"Var1_600","3"
"Var1_601","3"
"Var1_602","3"
"Var1_603","3"
"Var1_604","3"
"Var1_605","3"
"Var1_606","3"
"Var1_607","3"
"Var1_608","3"
"Var1_609","3"
"Var1_610","3"
"Var1_611","3"
"Var1_612","3"
"Var1_613","3"
"Var1_614","3"
"Var1_615","3"
"Var1_616","3"
"Var1_617","3"
"Var1_618","3"
"Var1_619","3"
"Var1_620","3"
"Var1_621","3"
"Var1_622","3"
"Var1_623","3"
"Var1_624","3"
"Var1_625","3"
"Var1_626","3"
"Var1_627","3"
"Var1_628","3"
"Var1_629","3"
"Var1_630","3"
"Var1_631","3"
"Var1_632","3"
"Var1_633","3"
"Var1_634","3"
"Var1_635","3"
"Var1_636","3"
"Var1_637","3"
"Var1_638","3"
"Var1_639","3"
"Var1_640","3"
"Var1_641","3"
"Var1_642","3"
"Var1_643","3"
"Var1_644","3"
