"","x"
"Var1_1","3"
"Var1_2","3"
"Var1_3","3"
"Var1_4","3"
"Var1_5","3"
"Var1_6","3"
"Var1_7","3"
"Var1_8","3"
"Var1_9","3"
"Var1_10","3"
"Var1_11","3"
"Var1_12","3"
"Var1_13","3"
"Var1_14","3"
"Var1_15","3"
"Var1_16","3"
"Var1_17","3"
"Var1_18","3"
"Var1_19","3"
"Var1_20","3"
"Var1_21","3"
"Var1_22","3"
"Var1_23","3"
"Var1_24","3"
"Var1_25","3"
"Var1_26","3"
"Var1_27","3"
"Var1_28","3"
"Var1_29","3"
"Var1_30","3"
"Var1_31","3"
"Var1_32","3"
"Var1_33","3"
"Var1_34","3"
"Var1_35","3"
"Var1_36","3"
"Var1_37","3"
"Var1_38","3"
"Var1_39","3"
"Var1_40","3"
"Var1_41","3"
"Var1_42","3"
"Var1_43","3"
"Var1_44","3"
"Var1_45","3"
"Var1_46","3"
"Var1_47","3"
"Var1_48","3"
"Var1_49","3"
"Var1_50","3"
"Var1_51","3"
"Var1_52","3"
"Var1_53","3"
"Var1_54","3"
"Var1_55","3"
"Var1_56","3"
"Var1_57","3"
"Var1_58","3"
"Var1_59","3"
"Var1_60","3"
"Var1_61","3"
"Var1_62","3"
"Var1_63","3"
"Var1_64","3"
"Var1_65","3"
"Var1_66","3"
"Var1_67","3"
"Var1_68","3"
"Var1_69","3"
"Var1_70","3"
"Var1_71","3"
"Var1_72","3"
"Var1_73","3"
"Var1_74","3"
"Var1_75","3"
"Var1_76","3"
"Var1_77","3"
"Var1_78","3"
"Var1_79","3"
"Var1_80","3"
"Var1_81","3"
"Var1_82","3"
"Var1_83","6"
"Var1_84","6"
"Var1_85","6"
"Var1_86","6"
"Var1_87","6"
"Var1_88","6"
"Var1_89","6"
"Var1_90","6"
"Var1_91","6"
"Var1_92","6"
"Var1_93","6"
"Var1_94","6"
"Var1_95","6"
"Var1_96","6"
"Var1_97","6"
"Var1_98","6"
"Var1_99","6"
"Var1_100","6"
"Var1_101","6"
"Var1_102","6"
"Var1_103","6"
"Var1_104","6"
"Var1_105","6"
"Var1_106","6"
"Var1_107","6"
"Var1_108","6"
"Var1_109","6"
"Var1_110","6"
"Var1_111","6"
"Var1_112","6"
"Var1_113","6"
"Var1_114","6"
"Var1_115","6"
"Var1_116","6"
"Var1_117","6"
"Var1_118","6"
"Var1_119","6"
"Var1_120","6"
"Var1_121","6"
"Var1_122","6"
"Var1_123","6"
"Var1_124","6"
"Var1_125","6"
"Var1_126","6"
"Var1_127","6"
"Var1_128","6"
"Var1_129","6"
"Var1_130","6"
"Var1_131","6"
"Var1_132","6"
"Var1_133","6"
"Var1_134","6"
"Var1_135","6"
"Var1_136","6"
"Var1_137","6"
"Var1_138","6"
"Var1_139","6"
"Var1_140","6"
"Var1_141","0"
"Var1_142","1"
"Var1_143","1"
"Var1_144","1"
"Var1_145","1"
"Var1_146","1"
"Var1_147","1"
"Var1_148","1"
"Var1_149","1"
"Var1_150","1"
"Var1_151","1"
"Var1_152","1"
"Var1_153","1"
"Var1_154","1"
"Var1_155","1"
"Var1_156","1"
"Var1_157","1"
"Var1_158","1"
"Var1_159","1"
"Var1_160","1"
"Var1_161","1"
"Var1_162","1"
"Var1_163","1"
"Var1_164","1"
"Var1_165","1"
"Var1_166","1"
"Var1_167","1"
"Var1_168","1"
"Var1_169","1"
"Var1_170","1"
"Var1_171","1"
"Var1_172","1"
"Var1_173","1"
"Var1_174","1"
"Var1_175","1"
"Var1_176","1"
"Var1_177","1"
"Var1_178","1"
"Var1_179","1"
"Var1_180","1"
"Var1_181","1"
"Var1_182","1"
"Var1_183","1"
"Var1_184","1"
"Var1_185","1"
"Var1_186","1"
"Var1_187","1"
"Var1_188","1"
"Var1_189","1"
"Var1_190","1"
"Var1_191","1"
"Var1_192","1"
"Var1_193","1"
"Var1_194","1"
"Var1_195","1"
"Var1_196","1"
"Var1_197","1"
"Var1_198","1"
"Var1_199","1"
"Var1_200","1"
"Var1_201","1"
"Var1_202","1"
"Var1_203","1"
"Var1_204","1"
"Var1_205","1"
"Var1_206","1"
"Var1_207","1"
"Var1_208","1"
"Var1_209","1"
"Var1_210","1"
"Var1_211","1"
"Var1_212","1"
"Var1_213","1"
"Var1_214","1"
"Var1_215","1"
"Var1_216","1"
"Var1_217","1"
"Var1_218","1"
"Var1_219","1"
"Var1_220","1"
"Var1_221","1"
"Var1_222","1"
"Var1_223","1"
"Var1_224","1"
"Var1_225","1"
"Var1_226","1"
"Var1_227","1"
"Var1_228","1"
"Var1_229","1"
"Var1_230","1"
"Var1_231","1"
"Var1_232","1"
"Var1_233","1"
"Var1_234","1"
"Var1_235","1"
"Var1_236","1"
"Var1_237","1"
"Var1_238","1"
"Var1_239","1"
"Var1_240","1"
"Var1_241","1"
"Var1_242","1"
"Var1_243","1"
"Var1_244","1"
"Var1_245","1"
"Var1_246","1"
"Var1_247","1"
"Var1_248","1"
"Var1_249","1"
"Var1_250","1"
"Var1_251","1"
"Var1_252","1"
"Var1_253","1"
"Var1_254","1"
"Var1_255","1"
"Var1_256","1"
"Var1_257","1"
"Var1_258","1"
"Var1_259","1"
"Var1_260","1"
"Var1_261","1"
"Var1_262","1"
"Var1_263","1"
"Var1_264","1"
"Var1_265","1"
"Var1_266","1"
"Var1_267","1"
"Var1_268","1"
"Var1_269","1"
"Var1_270","1"
"Var1_271","1"
"Var1_272","1"
"Var1_273","1"
"Var1_274","1"
"Var1_275","1"
"Var1_276","1"
"Var1_277","1"
"Var1_278","1"
"Var1_279","1"
"Var1_280","1"
"Var1_281","1"
"Var1_282","1"
"Var1_283","1"
"Var1_284","1"
"Var1_285","1"
"Var1_286","1"
"Var1_287","1"
"Var1_288","1"
"Var1_289","1"
"Var1_290","1"
"Var1_291","1"
"Var1_292","1"
"Var1_293","1"
"Var1_294","1"
"Var1_295","1"
"Var1_296","0"
"Var1_297","0"
"Var1_298","0"
"Var1_299","0"
"Var1_300","0"
"Var1_301","0"
"Var1_302","0"
"Var1_303","0"
"Var1_304","0"
"Var1_305","0"
"Var1_306","0"
"Var1_307","0"
"Var1_308","0"
"Var1_309","0"
"Var1_310","0"
"Var1_311","0"
"Var1_312","0"
"Var1_313","0"
"Var1_314","0"
"Var1_315","0"
"Var1_316","0"
"Var1_317","0"
"Var1_318","0"
"Var1_319","0"
"Var1_320","0"
"Var1_321","0"
"Var1_322","0"
"Var1_323","0"
"Var1_324","0"
"Var1_325","0"
"Var1_326","0"
"Var1_327","0"
"Var1_328","0"
"Var1_329","0"
"Var1_330","0"
"Var1_331","0"
"Var1_332","0"
"Var1_333","0"
"Var1_334","0"
"Var1_335","0"
"Var1_336","0"
"Var1_337","0"
"Var1_338","0"
"Var1_339","0"
"Var1_340","0"
"Var1_341","0"
"Var1_342","0"
"Var1_343","0"
"Var1_344","0"
"Var1_345","0"
"Var1_346","0"
"Var1_347","0"
"Var1_348","0"
"Var1_349","0"
"Var1_350","0"
"Var1_351","0"
"Var1_352","0"
"Var1_353","0"
"Var1_354","0"
"Var1_355","0"
"Var1_356","0"
"Var1_357","0"
"Var1_358","0"
"Var1_359","0"
"Var1_360","0"
"Var1_361","0"
"Var1_362","0"
"Var1_363","0"
"Var1_364","0"
"Var1_365","0"
"Var1_366","0"
"Var1_367","0"
"Var1_368","0"
"Var1_369","0"
"Var1_370","0"
"Var1_371","0"
"Var1_372","0"
"Var1_373","0"
"Var1_374","0"
"Var1_375","0"
"Var1_376","0"
"Var1_377","0"
"Var1_378","0"
"Var1_379","0"
"Var1_380","0"
"Var1_381","0"
"Var1_382","0"
"Var1_383","0"
"Var1_384","0"
"Var1_385","0"
"Var1_386","0"
"Var1_387","0"
"Var1_388","0"
"Var1_389","0"
"Var1_390","0"
"Var1_391","0"
"Var1_392","0"
"Var1_393","0"
"Var1_394","0"
"Var1_395","0"
"Var1_396","0"
"Var1_397","0"
"Var1_398","0"
"Var1_399","0"
"Var1_400","0"
"Var1_401","0"
"Var1_402","0"
"Var1_403","0"
"Var1_404","0"
"Var1_405","0"
"Var1_406","0"
"Var1_407","0"
"Var1_408","0"
"Var1_409","0"
"Var1_410","0"
"Var1_411","0"
"Var1_412","0"
"Var1_413","0"
"Var1_414","0"
"Var1_415","0"
"Var1_416","0"
"Var1_417","0"
"Var1_418","0"
"Var1_419","0"
"Var1_420","0"
"Var1_421","0"
"Var1_422","0"
"Var1_423","0"
"Var1_424","0"
"Var1_425","0"
"Var1_426","0"
"Var1_427","0"
"Var1_428","0"
"Var1_429","0"
"Var1_430","0"
"Var1_431","0"
"Var1_432","0"
"Var1_433","0"
"Var1_434","0"
"Var1_435","0"
"Var1_436","0"
"Var1_437","0"
"Var1_438","0"
"Var1_439","0"
"Var1_440","0"
"Var1_441","0"
"Var1_442","0"
"Var1_443","0"
"Var1_444","0"
"Var1_445","0"
"Var1_446","0"
"Var1_447","0"
"Var1_448","0"
"Var1_449","0"
"Var1_450","0"
"Var1_451","0"
"Var1_452","0"
"Var1_453","4"
"Var1_454","0"
"Var1_455","4"
"Var1_456","4"
"Var1_457","4"
"Var1_458","4"
"Var1_459","4"
"Var1_460","4"
"Var1_461","4"
"Var1_462","4"
"Var1_463","4"
"Var1_464","4"
"Var1_465","4"
"Var1_466","4"
"Var1_467","4"
"Var1_468","4"
"Var1_469","4"
"Var1_470","4"
"Var1_471","4"
"Var1_472","4"
"Var1_473","4"
"Var1_474","4"
"Var1_475","4"
"Var1_476","4"
"Var1_477","4"
"Var1_478","4"
"Var1_479","4"
"Var1_480","4"
"Var1_481","4"
"Var1_482","4"
"Var1_483","4"
"Var1_484","4"
"Var1_485","4"
"Var1_486","4"
"Var1_487","4"
"Var1_488","4"
"Var1_489","4"
"Var1_490","4"
"Var1_491","4"
"Var1_492","4"
"Var1_493","4"
"Var1_494","4"
"Var1_495","4"
"Var1_496","4"
"Var1_497","4"
"Var1_498","4"
"Var1_499","4"
"Var1_500","4"
"Var1_501","4"
"Var1_502","4"
"Var1_503","4"
"Var1_504","4"
"Var1_505","4"
"Var1_506","4"
"Var1_507","4"
"Var1_508","4"
"Var1_509","4"
"Var1_510","4"
"Var1_511","4"
"Var1_512","4"
"Var1_513","4"
"Var1_514","4"
"Var1_515","4"
"Var1_516","4"
"Var1_517","4"
"Var1_518","4"
"Var1_519","4"
"Var1_520","4"
"Var1_521","4"
"Var1_522","4"
"Var1_523","4"
"Var1_524","4"
"Var1_525","4"
"Var1_526","4"
"Var1_527","4"
"Var1_528","4"
"Var1_529","4"
"Var1_530","4"
"Var1_531","4"
"Var1_532","4"
"Var1_533","4"
"Var1_534","4"
"Var1_535","4"
"Var1_536","5"
"Var1_537","5"
"Var1_538","5"
"Var1_539","2"
"Var1_540","5"
"Var1_541","5"
"Var1_542","5"
"Var1_543","5"
"Var1_544","5"
"Var1_545","5"
"Var1_546","5"
"Var1_547","5"
"Var1_548","5"
"Var1_549","5"
"Var1_550","5"
"Var1_551","5"
"Var1_552","5"
"Var1_553","5"
"Var1_554","5"
"Var1_555","5"
"Var1_556","5"
"Var1_557","2"
"Var1_558","5"
"Var1_559","5"
"Var1_560","5"
"Var1_561","5"
"Var1_562","5"
"Var1_563","5"
"Var1_564","5"
"Var1_565","5"
"Var1_566","5"
"Var1_567","5"
"Var1_568","5"
"Var1_569","5"
"Var1_570","5"
"Var1_571","5"
"Var1_572","5"
"Var1_573","2"
"Var1_574","5"
"Var1_575","5"
"Var1_576","2"
"Var1_577","5"
"Var1_578","5"
"Var1_579","5"
"Var1_580","5"
"Var1_581","5"
"Var1_582","2"
"Var1_583","5"
"Var1_584","5"
"Var1_585","5"
"Var1_586","2"
"Var1_587","2"
"Var1_588","5"
"Var1_589","5"
"Var1_590","5"
"Var1_591","5"
"Var1_592","5"
"Var1_593","5"
"Var1_594","5"
"Var1_595","5"
"Var1_596","5"
"Var1_597","5"
"Var1_598","5"
"Var1_599","5"
"Var1_600","5"
"Var1_601","5"
"Var1_602","5"
"Var1_603","2"
"Var1_604","5"
"Var1_605","2"
"Var1_606","2"
"Var1_607","5"
"Var1_608","5"
"Var1_609","5"
"Var1_610","5"
"Var1_611","5"
"Var1_612","5"
"Var1_613","5"
"Var1_614","5"
"Var1_615","5"
"Var1_616","5"
"Var1_617","5"
"Var1_618","5"
"Var1_619","5"
"Var1_620","5"
"Var1_621","5"
"Var1_622","5"
"Var1_623","5"
"Var1_624","5"
"Var1_625","5"
"Var1_626","2"
"Var1_627","2"
"Var1_628","2"
"Var1_629","2"
"Var1_630","2"
"Var1_631","2"
"Var1_632","2"
"Var1_633","2"
"Var1_634","2"
"Var1_635","2"
"Var1_636","2"
"Var1_637","2"
"Var1_638","2"
"Var1_639","2"
"Var1_640","2"
"Var1_641","2"
"Var1_642","2"
"Var1_643","2"
"Var1_644","2"
