"","x"
"Var1_1","6"
"Var1_2","6"
"Var1_3","6"
"Var1_4","6"
"Var1_5","6"
"Var1_6","6"
"Var1_7","6"
"Var1_8","6"
"Var1_9","6"
"Var1_10","6"
"Var1_11","6"
"Var1_12","6"
"Var1_13","6"
"Var1_14","6"
"Var1_15","6"
"Var1_16","6"
"Var1_17","6"
"Var1_18","6"
"Var1_19","6"
"Var1_20","6"
"Var1_21","6"
"Var1_22","6"
"Var1_23","7"
"Var1_24","7"
"Var1_25","7"
"Var1_26","7"
"Var1_27","7"
"Var1_28","7"
"Var1_29","7"
"Var1_30","7"
"Var1_31","7"
"Var1_32","7"
"Var1_33","7"
"Var1_34","7"
"Var1_35","7"
"Var1_36","7"
"Var1_37","7"
"Var1_38","7"
"Var1_39","7"
"Var1_40","2"
"Var1_41","2"
"Var1_42","2"
"Var1_43","2"
"Var1_44","2"
"Var1_45","2"
"Var1_46","2"
"Var1_47","2"
"Var1_48","2"
"Var1_49","2"
"Var1_50","2"
"Var1_51","4"
"Var1_52","4"
"Var1_53","4"
"Var1_54","4"
"Var1_55","4"
"Var1_56","4"
"Var1_57","4"
"Var1_58","4"
"Var1_59","4"
"Var1_60","4"
"Var1_61","4"
"Var1_62","4"
"Var1_63","4"
"Var1_64","4"
"Var1_65","4"
"Var1_66","4"
"Var1_67","4"
"Var1_68","4"
"Var1_69","4"
"Var1_70","4"
"Var1_71","4"
"Var1_72","4"
"Var1_73","4"
"Var1_74","4"
"Var1_75","4"
"Var1_76","4"
"Var1_77","4"
"Var1_78","4"
"Var1_79","4"
"Var1_80","4"
"Var1_81","4"
"Var1_82","4"
"Var1_83","4"
"Var1_84","4"
"Var1_85","4"
"Var1_86","4"
"Var1_87","4"
"Var1_88","2"
"Var1_89","2"
"Var1_90","2"
"Var1_91","2"
"Var1_92","2"
"Var1_93","2"
"Var1_94","2"
"Var1_95","2"
"Var1_96","2"
"Var1_97","2"
"Var1_98","2"
"Var1_99","2"
"Var1_100","2"
"Var1_101","2"
"Var1_102","2"
"Var1_103","2"
"Var1_104","2"
"Var1_105","2"
"Var1_106","2"
"Var1_107","2"
"Var1_108","2"
"Var1_109","2"
"Var1_110","2"
"Var1_111","2"
"Var1_112","2"
"Var1_113","2"
"Var1_114","2"
"Var1_115","2"
"Var1_116","2"
"Var1_117","2"
"Var1_118","2"
"Var1_119","1"
"Var1_120","1"
"Var1_121","1"
"Var1_122","1"
"Var1_123","1"
"Var1_124","1"
"Var1_125","1"
"Var1_126","1"
"Var1_127","1"
"Var1_128","1"
"Var1_129","1"
"Var1_130","1"
"Var1_131","1"
"Var1_132","1"
"Var1_133","1"
"Var1_134","1"
"Var1_135","1"
"Var1_136","1"
"Var1_137","1"
"Var1_138","1"
"Var1_139","1"
"Var1_140","1"
"Var1_141","1"
"Var1_142","1"
"Var1_143","1"
"Var1_144","1"
"Var1_145","1"
"Var1_146","1"
"Var1_147","1"
"Var1_148","1"
"Var1_149","1"
"Var1_150","1"
"Var1_151","1"
"Var1_152","1"
"Var1_153","1"
"Var1_154","1"
"Var1_155","1"
"Var1_156","1"
"Var1_157","1"
"Var1_158","1"
"Var1_159","1"
"Var1_160","1"
"Var1_161","1"
"Var1_162","1"
"Var1_163","1"
"Var1_164","1"
"Var1_165","1"
"Var1_166","1"
"Var1_167","1"
"Var1_168","1"
"Var1_169","1"
"Var1_170","1"
"Var1_171","1"
"Var1_172","1"
"Var1_173","5"
"Var1_174","5"
"Var1_175","5"
"Var1_176","5"
"Var1_177","5"
"Var1_178","5"
"Var1_179","5"
"Var1_180","5"
"Var1_181","5"
"Var1_182","5"
"Var1_183","5"
"Var1_184","5"
"Var1_185","5"
"Var1_186","5"
"Var1_187","5"
"Var1_188","5"
"Var1_189","5"
"Var1_190","5"
"Var1_191","5"
"Var1_192","5"
"Var1_193","5"
"Var1_194","5"
"Var1_195","5"
"Var1_196","5"
"Var1_197","3"
"Var1_198","3"
"Var1_199","3"
"Var1_200","3"
"Var1_201","3"
"Var1_202","3"
"Var1_203","3"
"Var1_204","3"
"Var1_205","3"
"Var1_206","3"
"Var1_207","3"
"Var1_208","3"
"Var1_209","3"
"Var1_210","3"
"Var1_211","3"
"Var1_212","3"
"Var1_213","3"
"Var1_214","3"
"Var1_215","3"
"Var1_216","3"
"Var1_217","3"
"Var1_218","3"
"Var1_219","3"
"Var1_220","3"
"Var1_221","3"
"Var1_222","3"
"Var1_223","3"
"Var1_224","3"
"Var1_225","3"
"Var1_226","3"
"Var1_227","3"
"Var1_228","3"
"Var1_229","3"
"Var1_230","3"
"Var1_231","3"
"Var1_232","3"
"Var1_233","3"
"Var1_234","3"
"Var1_235","3"
"Var1_236","3"
"Var1_237","0"
"Var1_238","0"
"Var1_239","0"
"Var1_240","0"
"Var1_241","0"
"Var1_242","0"
"Var1_243","0"
"Var1_244","0"
"Var1_245","0"
"Var1_246","0"
"Var1_247","0"
"Var1_248","0"
"Var1_249","0"
"Var1_250","0"
"Var1_251","0"
"Var1_252","0"
"Var1_253","0"
"Var1_254","0"
"Var1_255","0"
"Var1_256","0"
"Var1_257","0"
"Var1_258","0"
"Var1_259","0"
"Var1_260","0"
"Var1_261","0"
"Var1_262","0"
"Var1_263","0"
"Var1_264","0"
"Var1_265","0"
"Var1_266","0"
"Var1_267","0"
"Var1_268","0"
"Var1_269","0"
"Var1_270","0"
"Var1_271","0"
"Var1_272","0"
"Var1_273","0"
"Var1_274","0"
"Var1_275","0"
"Var1_276","0"
"Var1_277","0"
"Var1_278","0"
"Var1_279","0"
"Var1_280","0"
"Var1_281","0"
"Var1_282","0"
"Var1_283","0"
"Var1_284","0"
"Var1_285","0"
"Var1_286","0"
"Var1_287","0"
"Var1_288","0"
"Var1_289","0"
"Var1_290","0"
"Var1_291","0"
"Var1_292","0"
"Var1_293","0"
"Var1_294","0"
"Var1_295","0"
"Var1_296","0"
"Var1_297","0"
"Var1_298","0"
"Var1_299","0"
"Var1_300","0"
"Var1_301","0"
