"","x"
"Var1_1","3"
"Var1_2","3"
"Var1_3","3"
"Var1_4","3"
"Var1_5","3"
"Var1_6","3"
"Var1_7","3"
"Var1_8","3"
"Var1_9","3"
"Var1_10","3"
"Var1_11","3"
"Var1_12","3"
"Var1_13","3"
"Var1_14","3"
"Var1_15","3"
"Var1_16","3"
"Var1_17","3"
"Var1_18","3"
"Var1_19","3"
"Var1_20","3"
"Var1_21","3"
"Var1_22","3"
"Var1_23","3"
"Var1_24","3"
"Var1_25","3"
"Var1_26","3"
"Var1_27","3"
"Var1_28","3"
"Var1_29","3"
"Var1_30","3"
"Var1_31","3"
"Var1_32","3"
"Var1_33","3"
"Var1_34","3"
"Var1_35","3"
"Var1_36","3"
"Var1_37","3"
"Var1_38","3"
"Var1_39","3"
"Var1_40","3"
"Var1_41","3"
"Var1_42","3"
"Var1_43","3"
"Var1_44","3"
"Var1_45","3"
"Var1_46","3"
"Var1_47","3"
"Var1_48","3"
"Var1_49","3"
"Var1_50","3"
"Var1_51","3"
"Var1_52","3"
"Var1_53","3"
"Var1_54","3"
"Var1_55","3"
"Var1_56","3"
"Var1_57","3"
"Var1_58","3"
"Var1_59","3"
"Var1_60","3"
"Var1_61","3"
"Var1_62","3"
"Var1_63","3"
"Var1_64","3"
"Var1_65","3"
"Var1_66","3"
"Var1_67","3"
"Var1_68","3"
"Var1_69","3"
"Var1_70","3"
"Var1_71","3"
"Var1_72","3"
"Var1_73","3"
"Var1_74","3"
"Var1_75","1"
"Var1_76","1"
"Var1_77","1"
"Var1_78","1"
"Var1_79","1"
"Var1_80","1"
"Var1_81","1"
"Var1_82","1"
"Var1_83","1"
"Var1_84","1"
"Var1_85","1"
"Var1_86","1"
"Var1_87","1"
"Var1_88","1"
"Var1_89","1"
"Var1_90","1"
"Var1_91","1"
"Var1_92","1"
"Var1_93","1"
"Var1_94","1"
"Var1_95","1"
"Var1_96","1"
"Var1_97","1"
"Var1_98","1"
"Var1_99","1"
"Var1_100","1"
"Var1_101","1"
"Var1_102","1"
"Var1_103","1"
"Var1_104","1"
"Var1_105","1"
"Var1_106","1"
"Var1_107","7"
"Var1_108","7"
"Var1_109","1"
"Var1_110","1"
"Var1_111","7"
"Var1_112","1"
"Var1_113","7"
"Var1_114","7"
"Var1_115","7"
"Var1_116","1"
"Var1_117","1"
"Var1_118","1"
"Var1_119","7"
"Var1_120","1"
"Var1_121","1"
"Var1_122","7"
"Var1_123","7"
"Var1_124","7"
"Var1_125","1"
"Var1_126","7"
"Var1_127","1"
"Var1_128","1"
"Var1_129","1"
"Var1_130","7"
"Var1_131","1"
"Var1_132","1"
"Var1_133","1"
"Var1_134","7"
"Var1_135","1"
"Var1_136","1"
"Var1_137","7"
"Var1_138","1"
"Var1_139","7"
"Var1_140","7"
"Var1_141","7"
"Var1_142","1"
"Var1_143","7"
"Var1_144","7"
"Var1_145","7"
"Var1_146","7"
"Var1_147","1"
"Var1_148","1"
"Var1_149","1"
"Var1_150","1"
"Var1_151","7"
"Var1_152","7"
"Var1_153","6"
"Var1_154","6"
"Var1_155","6"
"Var1_156","6"
"Var1_157","6"
"Var1_158","6"
"Var1_159","6"
"Var1_160","6"
"Var1_161","6"
"Var1_162","6"
"Var1_163","6"
"Var1_164","6"
"Var1_165","6"
"Var1_166","6"
"Var1_167","6"
"Var1_168","6"
"Var1_169","6"
"Var1_170","6"
"Var1_171","6"
"Var1_172","6"
"Var1_173","6"
"Var1_174","6"
"Var1_175","6"
"Var1_176","6"
"Var1_177","6"
"Var1_178","6"
"Var1_179","6"
"Var1_180","6"
"Var1_181","6"
"Var1_182","6"
"Var1_183","6"
"Var1_184","6"
"Var1_185","6"
"Var1_186","6"
"Var1_187","6"
"Var1_188","6"
"Var1_189","6"
"Var1_190","6"
"Var1_191","6"
"Var1_192","6"
"Var1_193","6"
"Var1_194","6"
"Var1_195","6"
"Var1_196","6"
"Var1_197","6"
"Var1_198","6"
"Var1_199","6"
"Var1_200","6"
"Var1_201","6"
"Var1_202","6"
"Var1_203","6"
"Var1_204","1"
"Var1_205","1"
"Var1_206","1"
"Var1_207","1"
"Var1_208","1"
"Var1_209","1"
"Var1_210","1"
"Var1_211","1"
"Var1_212","1"
"Var1_213","1"
"Var1_214","1"
"Var1_215","1"
"Var1_216","1"
"Var1_217","1"
"Var1_218","1"
"Var1_219","7"
"Var1_220","1"
"Var1_221","1"
"Var1_222","1"
"Var1_223","1"
"Var1_224","1"
"Var1_225","1"
"Var1_226","6"
"Var1_227","1"
"Var1_228","4"
"Var1_229","4"
"Var1_230","4"
"Var1_231","4"
"Var1_232","4"
"Var1_233","4"
"Var1_234","4"
"Var1_235","4"
"Var1_236","4"
"Var1_237","4"
"Var1_238","4"
"Var1_239","4"
"Var1_240","4"
"Var1_241","4"
"Var1_242","4"
"Var1_243","4"
"Var1_244","4"
"Var1_245","4"
"Var1_246","4"
"Var1_247","4"
"Var1_248","4"
"Var1_249","4"
"Var1_250","4"
"Var1_251","4"
"Var1_252","4"
"Var1_253","4"
"Var1_254","4"
"Var1_255","4"
"Var1_256","4"
"Var1_257","4"
"Var1_258","4"
"Var1_259","4"
"Var1_260","4"
"Var1_261","4"
"Var1_262","4"
"Var1_263","4"
"Var1_264","4"
"Var1_265","4"
"Var1_266","4"
"Var1_267","4"
"Var1_268","4"
"Var1_269","4"
"Var1_270","4"
"Var1_271","4"
"Var1_272","4"
"Var1_273","4"
"Var1_274","4"
"Var1_275","4"
"Var1_276","4"
"Var1_277","4"
"Var1_278","4"
"Var1_279","4"
"Var1_280","4"
"Var1_281","4"
"Var1_282","4"
"Var1_283","4"
"Var1_284","4"
"Var1_285","4"
"Var1_286","4"
"Var1_287","4"
"Var1_288","4"
"Var1_289","4"
"Var1_290","4"
"Var1_291","4"
"Var1_292","4"
"Var1_293","4"
"Var1_294","4"
"Var1_295","4"
"Var1_296","4"
"Var1_297","5"
"Var1_298","5"
"Var1_299","1"
"Var1_300","5"
"Var1_301","5"
"Var1_302","5"
"Var1_303","5"
"Var1_304","5"
"Var1_305","1"
"Var1_306","5"
"Var1_307","5"
"Var1_308","5"
"Var1_309","5"
"Var1_310","5"
"Var1_311","5"
"Var1_312","5"
"Var1_313","5"
"Var1_314","5"
"Var1_315","5"
"Var1_316","5"
"Var1_317","5"
"Var1_318","5"
"Var1_319","5"
"Var1_320","5"
"Var1_321","5"
"Var1_322","5"
"Var1_323","5"
"Var1_324","1"
"Var1_325","1"
"Var1_326","5"
"Var1_327","5"
"Var1_328","5"
"Var1_329","5"
"Var1_330","5"
"Var1_331","5"
"Var1_332","5"
"Var1_333","5"
"Var1_334","1"
"Var1_335","5"
"Var1_336","5"
"Var1_337","5"
"Var1_338","5"
"Var1_339","5"
"Var1_340","5"
"Var1_341","1"
"Var1_342","5"
"Var1_343","5"
"Var1_344","5"
"Var1_345","5"
"Var1_346","1"
"Var1_347","5"
"Var1_348","5"
"Var1_349","5"
"Var1_350","5"
"Var1_351","5"
"Var1_352","1"
"Var1_353","5"
"Var1_354","5"
"Var1_355","5"
"Var1_356","5"
"Var1_357","5"
"Var1_358","5"
"Var1_359","5"
"Var1_360","1"
"Var1_361","5"
"Var1_362","5"
"Var1_363","5"
"Var1_364","5"
"Var1_365","5"
"Var1_366","5"
"Var1_367","1"
"Var1_368","5"
"Var1_369","5"
"Var1_370","2"
"Var1_371","2"
"Var1_372","2"
"Var1_373","2"
"Var1_374","2"
"Var1_375","2"
"Var1_376","2"
"Var1_377","2"
"Var1_378","2"
"Var1_379","2"
"Var1_380","2"
"Var1_381","2"
"Var1_382","2"
"Var1_383","2"
"Var1_384","2"
"Var1_385","2"
"Var1_386","2"
"Var1_387","2"
"Var1_388","2"
"Var1_389","2"
"Var1_390","2"
"Var1_391","2"
"Var1_392","2"
"Var1_393","1"
"Var1_394","2"
"Var1_395","2"
"Var1_396","2"
"Var1_397","2"
"Var1_398","2"
"Var1_399","1"
"Var1_400","2"
"Var1_401","2"
"Var1_402","2"
"Var1_403","2"
"Var1_404","2"
"Var1_405","2"
"Var1_406","2"
"Var1_407","2"
"Var1_408","2"
"Var1_409","2"
"Var1_410","1"
"Var1_411","2"
"Var1_412","2"
"Var1_413","2"
"Var1_414","2"
"Var1_415","2"
"Var1_416","2"
"Var1_417","2"
"Var1_418","2"
"Var1_419","2"
"Var1_420","2"
"Var1_421","1"
"Var1_422","2"
"Var1_423","2"
"Var1_424","2"
"Var1_425","2"
"Var1_426","2"
"Var1_427","2"
"Var1_428","2"
"Var1_429","2"
"Var1_430","2"
"Var1_431","2"
"Var1_432","2"
"Var1_433","2"
"Var1_434","2"
"Var1_435","2"
"Var1_436","2"
"Var1_437","2"
"Var1_438","2"
"Var1_439","2"
"Var1_440","2"
"Var1_441","1"
"Var1_442","2"
"Var1_443","2"
"Var1_444","2"
"Var1_445","2"
"Var1_446","2"
"Var1_447","2"
"Var1_448","2"
"Var1_449","2"
"Var1_450","2"
"Var1_451","2"
"Var1_452","2"
"Var1_453","2"
"Var1_454","2"
"Var1_455","2"
"Var1_456","2"
"Var1_457","2"
"Var1_458","2"
"Var1_459","2"
"Var1_460","2"
"Var1_461","2"
"Var1_462","2"
"Var1_463","2"
"Var1_464","2"
"Var1_465","2"
"Var1_466","0"
"Var1_467","0"
"Var1_468","0"
"Var1_469","0"
"Var1_470","0"
"Var1_471","0"
"Var1_472","0"
"Var1_473","0"
"Var1_474","0"
"Var1_475","0"
"Var1_476","0"
"Var1_477","0"
"Var1_478","0"
"Var1_479","0"
"Var1_480","0"
"Var1_481","0"
"Var1_482","0"
"Var1_483","0"
"Var1_484","0"
"Var1_485","0"
"Var1_486","0"
"Var1_487","0"
"Var1_488","0"
"Var1_489","0"
"Var1_490","0"
"Var1_491","0"
"Var1_492","0"
"Var1_493","0"
"Var1_494","0"
"Var1_495","0"
"Var1_496","0"
"Var1_497","0"
"Var1_498","0"
"Var1_499","0"
"Var1_500","0"
"Var1_501","0"
"Var1_502","0"
"Var1_503","0"
"Var1_504","0"
"Var1_505","0"
"Var1_506","0"
"Var1_507","0"
"Var1_508","0"
"Var1_509","0"
"Var1_510","0"
"Var1_511","0"
"Var1_512","0"
"Var1_513","0"
"Var1_514","0"
"Var1_515","0"
"Var1_516","0"
"Var1_517","0"
"Var1_518","0"
"Var1_519","0"
"Var1_520","0"
"Var1_521","0"
"Var1_522","0"
"Var1_523","0"
"Var1_524","0"
"Var1_525","0"
"Var1_526","0"
"Var1_527","0"
"Var1_528","0"
"Var1_529","0"
"Var1_530","0"
"Var1_531","0"
"Var1_532","0"
"Var1_533","0"
"Var1_534","0"
"Var1_535","0"
"Var1_536","0"
"Var1_537","0"
"Var1_538","0"
"Var1_539","0"
"Var1_540","0"
"Var1_541","0"
"Var1_542","0"
"Var1_543","0"
"Var1_544","0"
"Var1_545","0"
"Var1_546","0"
"Var1_547","0"
"Var1_548","0"
"Var1_549","0"
"Var1_550","0"
"Var1_551","0"
"Var1_552","0"
"Var1_553","0"
"Var1_554","0"
"Var1_555","0"
"Var1_556","0"
"Var1_557","0"
"Var1_558","0"
"Var1_559","0"
"Var1_560","0"
"Var1_561","0"
