"","x"
"Var1_1","3"
"Var1_2","3"
"Var1_3","3"
"Var1_4","3"
"Var1_5","3"
"Var1_6","3"
"Var1_7","3"
"Var1_8","3"
"Var1_9","3"
"Var1_10","3"
"Var1_11","3"
"Var1_12","3"
"Var1_13","1"
"Var1_14","1"
"Var1_15","1"
"Var1_16","1"
"Var1_17","0"
"Var1_18","1"
"Var1_19","1"
"Var1_20","1"
"Var1_21","1"
"Var1_22","0"
"Var1_23","1"
"Var1_24","1"
"Var1_25","0"
"Var1_26","0"
"Var1_27","0"
"Var1_28","0"
"Var1_29","0"
"Var1_30","0"
"Var1_31","0"
"Var1_32","0"
"Var1_33","0"
"Var1_34","0"
"Var1_35","0"
"Var1_36","0"
"Var1_37","0"
"Var1_38","0"
"Var1_39","0"
"Var1_40","1"
"Var1_41","0"
"Var1_42","0"
"Var1_43","0"
"Var1_44","0"
"Var1_45","0"
"Var1_46","0"
"Var1_47","0"
"Var1_48","0"
"Var1_49","0"
"Var1_50","0"
"Var1_51","1"
"Var1_52","1"
"Var1_53","1"
"Var1_54","0"
"Var1_55","1"
"Var1_56","0"
"Var1_57","0"
"Var1_58","0"
"Var1_59","0"
"Var1_60","0"
"Var1_61","0"
"Var1_62","0"
"Var1_63","1"
"Var1_64","0"
"Var1_65","0"
"Var1_66","1"
"Var1_67","1"
"Var1_68","1"
"Var1_69","1"
"Var1_70","1"
"Var1_71","1"
"Var1_72","1"
"Var1_73","1"
"Var1_74","1"
"Var1_75","1"
"Var1_76","1"
"Var1_77","1"
"Var1_78","1"
"Var1_79","1"
"Var1_80","1"
"Var1_81","1"
"Var1_82","1"
"Var1_83","1"
"Var1_84","1"
"Var1_85","1"
"Var1_86","1"
"Var1_87","1"
"Var1_88","3"
"Var1_89","3"
"Var1_90","3"
"Var1_91","3"
"Var1_92","3"
"Var1_93","3"
"Var1_94","3"
"Var1_95","3"
"Var1_96","3"
"Var1_97","3"
"Var1_98","3"
"Var1_99","3"
"Var1_100","3"
"Var1_101","3"
"Var1_102","3"
"Var1_103","3"
"Var1_104","2"
"Var1_105","2"
"Var1_106","2"
"Var1_107","2"
"Var1_108","2"
"Var1_109","2"
"Var1_110","2"
"Var1_111","2"
"Var1_112","2"
"Var1_113","2"
"Var1_114","2"
"Var1_115","2"
"Var1_116","2"
"Var1_117","2"
"Var1_118","2"
"Var1_119","2"
"Var1_120","2"
"Var1_121","2"
"Var1_122","0"
"Var1_123","2"
"Var1_124","2"
"Var1_125","2"
"Var1_126","2"
"Var1_127","2"
"Var1_128","2"
"Var1_129","2"
"Var1_130","2"
"Var1_131","2"
"Var1_132","2"
"Var1_133","2"
"Var1_134","0"
"Var1_135","2"
"Var1_136","2"
"Var1_137","2"
"Var1_138","0"
"Var1_139","0"
"Var1_140","0"
"Var1_141","0"
"Var1_142","0"
"Var1_143","0"
"Var1_144","0"
"Var1_145","0"
"Var1_146","0"
"Var1_147","0"
"Var1_148","0"
"Var1_149","0"
