"","x"
"Var1_1","0"
"Var1_2","0"
"Var1_3","1"
"Var1_4","1"
"Var1_5","0"
"Var1_6","1"
"Var1_7","0"
"Var1_8","0"
"Var1_9","0"
"Var1_10","1"
"Var1_11","0"
"Var1_12","1"
"Var1_13","1"
"Var1_14","0"
"Var1_15","0"
"Var1_16","0"
"Var1_17","0"
"Var1_18","1"
"Var1_19","0"
"Var1_20","0"
"Var1_21","0"
"Var1_22","0"
"Var1_23","0"
"Var1_24","0"
"Var1_25","0"
"Var1_26","1"
"Var1_27","0"
"Var1_28","0"
"Var1_29","1"
"Var1_30","1"
"Var1_31","1"
"Var1_32","0"
"Var1_33","0"
"Var1_34","0"
"Var1_35","0"
"Var1_36","1"
"Var1_37","1"
"Var1_38","1"
"Var1_39","1"
"Var1_40","0"
"Var1_41","1"
"Var1_42","1"
"Var1_43","0"
"Var1_44","1"
"Var1_45","1"
"Var1_46","0"
"Var1_47","1"
"Var1_48","0"
"Var1_49","0"
"Var1_50","0"
"Var1_51","1"
"Var1_52","1"
"Var1_53","0"
"Var1_54","0"
"Var1_55","0"
"Var1_56","1"
"Var1_57","1"
"Var1_58","1"
"Var1_59","0"
"Var1_60","1"
"Var1_61","1"
"Var1_62","1"
"Var1_63","1"
"Var1_64","1"
"Var1_65","1"
"Var1_66","1"
"Var1_67","1"
"Var1_68","0"
"Var1_69","0"
"Var1_70","0"
"Var1_71","1"
"Var1_72","1"
"Var1_73","1"
"Var1_74","1"
"Var1_75","0"
"Var1_76","1"
"Var1_77","0"
"Var1_78","1"
"Var1_79","0"
"Var1_80","0"
