"","x"
"Var1_1","6"
"Var1_2","1"
"Var1_3","6"
"Var1_4","6"
"Var1_5","1"
"Var1_6","1"
"Var1_7","1"
"Var1_8","1"
"Var1_9","1"
"Var1_10","6"
"Var1_11","1"
"Var1_12","6"
"Var1_13","6"
"Var1_14","6"
"Var1_15","1"
"Var1_16","1"
"Var1_17","1"
"Var1_18","1"
"Var1_19","1"
"Var1_20","1"
"Var1_21","1"
"Var1_22","1"
"Var1_23","1"
"Var1_24","1"
"Var1_25","1"
"Var1_26","6"
"Var1_27","6"
"Var1_28","4"
"Var1_29","3"
"Var1_30","1"
"Var1_31","1"
"Var1_32","1"
"Var1_33","1"
"Var1_34","1"
"Var1_35","6"
"Var1_36","1"
"Var1_37","6"
"Var1_38","6"
"Var1_39","3"
"Var1_40","1"
"Var1_41","1"
"Var1_42","6"
"Var1_43","1"
"Var1_44","1"
"Var1_45","1"
"Var1_46","1"
"Var1_47","1"
"Var1_48","1"
"Var1_49","1"
"Var1_50","6"
"Var1_51","6"
"Var1_52","1"
"Var1_53","3"
"Var1_54","1"
"Var1_55","6"
"Var1_56","6"
"Var1_57","6"
"Var1_58","6"
"Var1_59","1"
"Var1_60","6"
"Var1_61","6"
"Var1_62","1"
"Var1_63","6"
"Var1_64","6"
"Var1_65","6"
"Var1_66","6"
"Var1_67","1"
"Var1_68","1"
"Var1_69","1"
"Var1_70","6"
"Var1_71","6"
"Var1_72","1"
"Var1_73","1"
"Var1_74","1"
"Var1_75","1"
"Var1_76","6"
"Var1_77","1"
"Var1_78","6"
"Var1_79","1"
"Var1_80","1"
"Var1_81","1"
"Var1_82","6"
"Var1_83","1"
"Var1_84","6"
"Var1_85","6"
"Var1_86","1"
"Var1_87","1"
"Var1_88","1"
"Var1_89","1"
"Var1_90","1"
"Var1_91","6"
"Var1_92","1"
"Var1_93","6"
"Var1_94","6"
"Var1_95","6"
"Var1_96","1"
"Var1_97","1"
"Var1_98","1"
"Var1_99","1"
"Var1_100","1"
"Var1_101","1"
"Var1_102","1"
"Var1_103","1"
"Var1_104","1"
"Var1_105","1"
"Var1_106","1"
"Var1_107","1"
"Var1_108","3"
"Var1_109","1"
"Var1_110","1"
"Var1_111","1"
"Var1_112","1"
"Var1_113","1"
"Var1_114","1"
"Var1_115","1"
"Var1_116","1"
"Var1_117","1"
"Var1_118","6"
"Var1_119","1"
"Var1_120","2"
"Var1_121","1"
"Var1_122","6"
"Var1_123","1"
"Var1_124","1"
"Var1_125","1"
"Var1_126","6"
"Var1_127","1"
"Var1_128","1"
"Var1_129","6"
"Var1_130","6"
"Var1_131","1"
"Var1_132","1"
"Var1_133","6"
"Var1_134","1"
"Var1_135","6"
"Var1_136","1"
"Var1_137","1"
"Var1_138","1"
"Var1_139","1"
"Var1_140","0"
"Var1_141","0"
"Var1_142","0"
"Var1_143","0"
"Var1_144","0"
"Var1_145","0"
"Var1_146","0"
"Var1_147","0"
"Var1_148","0"
"Var1_149","0"
"Var1_150","0"
"Var1_151","4"
"Var1_152","0"
"Var1_153","0"
"Var1_154","0"
"Var1_155","0"
"Var1_156","0"
"Var1_157","0"
"Var1_158","0"
"Var1_159","0"
"Var1_160","0"
"Var1_161","0"
"Var1_162","0"
"Var1_163","0"
"Var1_164","0"
"Var1_165","0"
"Var1_166","0"
"Var1_167","0"
"Var1_168","0"
"Var1_169","0"
"Var1_170","0"
"Var1_171","0"
"Var1_172","0"
"Var1_173","0"
"Var1_174","0"
"Var1_175","0"
"Var1_176","0"
"Var1_177","0"
"Var1_178","0"
"Var1_179","0"
"Var1_180","4"
"Var1_181","0"
"Var1_182","0"
"Var1_183","0"
"Var1_184","0"
"Var1_185","0"
"Var1_186","0"
"Var1_187","0"
"Var1_188","0"
"Var1_189","0"
"Var1_190","0"
"Var1_191","0"
"Var1_192","0"
"Var1_193","0"
"Var1_194","4"
"Var1_195","0"
"Var1_196","0"
"Var1_197","3"
"Var1_198","0"
"Var1_199","0"
"Var1_200","0"
"Var1_201","0"
"Var1_202","4"
"Var1_203","0"
"Var1_204","0"
"Var1_205","0"
"Var1_206","0"
"Var1_207","0"
"Var1_208","0"
"Var1_209","0"
"Var1_210","0"
"Var1_211","0"
"Var1_212","0"
"Var1_213","0"
"Var1_214","0"
"Var1_215","0"
"Var1_216","4"
"Var1_217","0"
"Var1_218","0"
"Var1_219","0"
"Var1_220","0"
"Var1_221","0"
"Var1_222","0"
"Var1_223","0"
"Var1_224","0"
"Var1_225","0"
"Var1_226","0"
"Var1_227","0"
"Var1_228","0"
"Var1_229","0"
"Var1_230","0"
"Var1_231","0"
"Var1_232","0"
"Var1_233","0"
"Var1_234","0"
"Var1_235","0"
"Var1_236","0"
"Var1_237","0"
"Var1_238","0"
"Var1_239","0"
"Var1_240","0"
"Var1_241","0"
"Var1_242","0"
"Var1_243","0"
"Var1_244","0"
"Var1_245","0"
"Var1_246","0"
"Var1_247","0"
"Var1_248","0"
"Var1_249","0"
"Var1_250","4"
"Var1_251","0"
"Var1_252","0"
"Var1_253","0"
"Var1_254","0"
"Var1_255","0"
"Var1_256","0"
"Var1_257","0"
"Var1_258","0"
"Var1_259","0"
"Var1_260","0"
"Var1_261","0"
"Var1_262","0"
"Var1_263","0"
"Var1_264","0"
"Var1_265","0"
"Var1_266","0"
"Var1_267","0"
"Var1_268","0"
"Var1_269","2"
"Var1_270","0"
"Var1_271","0"
"Var1_272","0"
"Var1_273","0"
"Var1_274","0"
"Var1_275","0"
"Var1_276","0"
"Var1_277","0"
"Var1_278","0"
"Var1_279","0"
"Var1_280","0"
"Var1_281","0"
"Var1_282","0"
"Var1_283","2"
"Var1_284","0"
"Var1_285","4"
"Var1_286","4"
"Var1_287","4"
"Var1_288","4"
"Var1_289","4"
"Var1_290","0"
"Var1_291","0"
"Var1_292","0"
"Var1_293","0"
"Var1_294","0"
"Var1_295","0"
"Var1_296","0"
"Var1_297","0"
"Var1_298","0"
"Var1_299","0"
"Var1_300","0"
"Var1_301","0"
"Var1_302","0"
"Var1_303","0"
"Var1_304","0"
"Var1_305","0"
"Var1_306","0"
"Var1_307","0"
"Var1_308","0"
"Var1_309","4"
"Var1_310","4"
"Var1_311","4"
"Var1_312","1"
"Var1_313","4"
"Var1_314","1"
"Var1_315","4"
"Var1_316","4"
"Var1_317","4"
"Var1_318","4"
"Var1_319","4"
"Var1_320","1"
"Var1_321","4"
"Var1_322","4"
"Var1_323","4"
"Var1_324","4"
"Var1_325","4"
"Var1_326","4"
"Var1_327","4"
"Var1_328","4"
"Var1_329","4"
"Var1_330","4"
"Var1_331","4"
"Var1_332","4"
"Var1_333","1"
"Var1_334","4"
"Var1_335","1"
"Var1_336","4"
"Var1_337","3"
"Var1_338","1"
"Var1_339","1"
"Var1_340","4"
"Var1_341","4"
"Var1_342","1"
"Var1_343","4"
"Var1_344","4"
"Var1_345","4"
"Var1_346","4"
"Var1_347","1"
"Var1_348","4"
"Var1_349","4"
"Var1_350","4"
"Var1_351","1"
"Var1_352","4"
"Var1_353","1"
"Var1_354","5"
"Var1_355","4"
"Var1_356","4"
"Var1_357","4"
"Var1_358","4"
"Var1_359","4"
"Var1_360","4"
"Var1_361","4"
"Var1_362","4"
"Var1_363","1"
"Var1_364","4"
"Var1_365","5"
"Var1_366","4"
"Var1_367","4"
"Var1_368","4"
"Var1_369","4"
"Var1_370","4"
"Var1_371","4"
"Var1_372","4"
"Var1_373","4"
"Var1_374","4"
"Var1_375","4"
"Var1_376","1"
"Var1_377","2"
"Var1_378","4"
"Var1_379","4"
"Var1_380","4"
"Var1_381","4"
"Var1_382","4"
"Var1_383","4"
"Var1_384","4"
"Var1_385","4"
"Var1_386","4"
"Var1_387","1"
"Var1_388","4"
"Var1_389","2"
"Var1_390","3"
"Var1_391","3"
"Var1_392","3"
"Var1_393","3"
"Var1_394","3"
"Var1_395","3"
"Var1_396","3"
"Var1_397","3"
"Var1_398","3"
"Var1_399","3"
"Var1_400","3"
"Var1_401","3"
"Var1_402","3"
"Var1_403","3"
"Var1_404","3"
"Var1_405","3"
"Var1_406","3"
"Var1_407","3"
"Var1_408","3"
"Var1_409","3"
"Var1_410","3"
"Var1_411","3"
"Var1_412","4"
"Var1_413","3"
"Var1_414","3"
"Var1_415","4"
"Var1_416","4"
"Var1_417","3"
"Var1_418","3"
"Var1_419","3"
"Var1_420","3"
"Var1_421","3"
"Var1_422","3"
"Var1_423","3"
"Var1_424","3"
"Var1_425","3"
"Var1_426","3"
"Var1_427","3"
"Var1_428","3"
"Var1_429","3"
"Var1_430","3"
"Var1_431","3"
"Var1_432","3"
"Var1_433","3"
"Var1_434","3"
"Var1_435","3"
"Var1_436","3"
"Var1_437","3"
"Var1_438","3"
"Var1_439","3"
"Var1_440","3"
"Var1_441","3"
"Var1_442","3"
"Var1_443","3"
"Var1_444","3"
"Var1_445","3"
"Var1_446","3"
"Var1_447","3"
"Var1_448","3"
"Var1_449","3"
"Var1_450","3"
"Var1_451","3"
"Var1_452","3"
"Var1_453","3"
"Var1_454","3"
"Var1_455","3"
"Var1_456","3"
"Var1_457","3"
"Var1_458","3"
"Var1_459","3"
"Var1_460","3"
"Var1_461","3"
"Var1_462","3"
"Var1_463","3"
"Var1_464","3"
"Var1_465","3"
"Var1_466","3"
"Var1_467","3"
"Var1_468","4"
"Var1_469","3"
"Var1_470","3"
"Var1_471","3"
"Var1_472","3"
"Var1_473","3"
"Var1_474","3"
"Var1_475","2"
"Var1_476","2"
"Var1_477","5"
"Var1_478","5"
"Var1_479","5"
"Var1_480","5"
"Var1_481","5"
"Var1_482","5"
"Var1_483","5"
"Var1_484","5"
"Var1_485","5"
"Var1_486","5"
"Var1_487","5"
"Var1_488","2"
"Var1_489","5"
"Var1_490","5"
"Var1_491","5"
"Var1_492","5"
"Var1_493","5"
"Var1_494","5"
"Var1_495","5"
"Var1_496","5"
"Var1_497","5"
"Var1_498","5"
"Var1_499","3"
"Var1_500","5"
"Var1_501","5"
"Var1_502","5"
"Var1_503","5"
"Var1_504","5"
"Var1_505","5"
"Var1_506","5"
"Var1_507","5"
"Var1_508","5"
"Var1_509","5"
"Var1_510","5"
"Var1_511","5"
"Var1_512","5"
"Var1_513","5"
"Var1_514","5"
"Var1_515","5"
"Var1_516","5"
"Var1_517","5"
"Var1_518","3"
"Var1_519","5"
"Var1_520","5"
"Var1_521","5"
"Var1_522","5"
"Var1_523","5"
"Var1_524","5"
"Var1_525","5"
"Var1_526","5"
"Var1_527","3"
"Var1_528","5"
"Var1_529","3"
"Var1_530","5"
"Var1_531","5"
"Var1_532","2"
"Var1_533","2"
"Var1_534","2"
"Var1_535","2"
"Var1_536","2"
"Var1_537","2"
"Var1_538","2"
"Var1_539","2"
"Var1_540","2"
"Var1_541","2"
"Var1_542","2"
"Var1_543","2"
"Var1_544","2"
"Var1_545","2"
"Var1_546","2"
"Var1_547","2"
"Var1_548","2"
"Var1_549","2"
"Var1_550","2"
"Var1_551","2"
"Var1_552","2"
"Var1_553","2"
"Var1_554","2"
"Var1_555","2"
"Var1_556","2"
"Var1_557","4"
"Var1_558","2"
"Var1_559","2"
"Var1_560","2"
"Var1_561","2"
"Var1_562","2"
"Var1_563","2"
"Var1_564","2"
"Var1_565","2"
"Var1_566","2"
"Var1_567","2"
"Var1_568","2"
"Var1_569","2"
"Var1_570","2"
"Var1_571","2"
"Var1_572","2"
"Var1_573","2"
"Var1_574","2"
"Var1_575","2"
"Var1_576","2"
"Var1_577","2"
"Var1_578","2"
"Var1_579","2"
"Var1_580","2"
"Var1_581","2"
