"","x"
"Var1_1","2"
"Var1_2","2"
"Var1_3","2"
"Var1_4","2"
"Var1_5","2"
"Var1_6","2"
"Var1_7","2"
"Var1_8","2"
"Var1_9","2"
"Var1_10","2"
"Var1_11","2"
"Var1_12","2"
"Var1_13","2"
"Var1_14","2"
"Var1_15","2"
"Var1_16","2"
"Var1_17","2"
"Var1_18","2"
"Var1_19","2"
"Var1_20","2"
"Var1_21","2"
"Var1_22","2"
"Var1_23","2"
"Var1_24","2"
"Var1_25","2"
"Var1_26","2"
"Var1_27","2"
"Var1_28","2"
"Var1_29","0"
"Var1_30","0"
"Var1_31","0"
"Var1_32","0"
"Var1_33","0"
"Var1_34","0"
"Var1_35","0"
"Var1_36","0"
"Var1_37","0"
"Var1_38","0"
"Var1_39","0"
"Var1_40","0"
"Var1_41","0"
"Var1_42","0"
"Var1_43","0"
"Var1_44","0"
"Var1_45","0"
"Var1_46","0"
"Var1_47","0"
"Var1_48","0"
"Var1_49","0"
"Var1_50","0"
"Var1_51","0"
"Var1_52","0"
"Var1_53","0"
"Var1_54","0"
"Var1_55","0"
"Var1_56","0"
"Var1_57","0"
"Var1_58","0"
"Var1_59","0"
"Var1_60","0"
"Var1_61","1"
"Var1_62","1"
"Var1_63","1"
"Var1_64","1"
"Var1_65","1"
"Var1_66","1"
"Var1_67","1"
"Var1_68","1"
"Var1_69","1"
"Var1_70","1"
"Var1_71","1"
"Var1_72","1"
"Var1_73","1"
"Var1_74","1"
"Var1_75","1"
"Var1_76","1"
"Var1_77","1"
"Var1_78","1"
"Var1_79","1"
"Var1_80","1"
"Var1_81","1"
"Var1_82","1"
"Var1_83","1"
"Var1_84","1"
"Var1_85","1"
"Var1_86","1"
"Var1_87","1"
"Var1_88","1"
"Var1_89","1"
"Var1_90","1"
