"","x"
"Var1_1","3"
"Var1_2","3"
"Var1_3","3"
"Var1_4","3"
"Var1_5","3"
"Var1_6","3"
"Var1_7","3"
"Var1_8","3"
"Var1_9","3"
"Var1_10","3"
"Var1_11","3"
"Var1_12","3"
"Var1_13","3"
"Var1_14","3"
"Var1_15","3"
"Var1_16","3"
"Var1_17","3"
"Var1_18","3"
"Var1_19","2"
"Var1_20","3"
"Var1_21","3"
"Var1_22","3"
"Var1_23","3"
"Var1_24","3"
"Var1_25","7"
"Var1_26","3"
"Var1_27","3"
"Var1_28","3"
"Var1_29","3"
"Var1_30","3"
"Var1_31","3"
"Var1_32","3"
"Var1_33","3"
"Var1_34","3"
"Var1_35","3"
"Var1_36","3"
"Var1_37","3"
"Var1_38","3"
"Var1_39","3"
"Var1_40","3"
"Var1_41","3"
"Var1_42","3"
"Var1_43","3"
"Var1_44","3"
"Var1_45","3"
"Var1_46","3"
"Var1_47","3"
"Var1_48","3"
"Var1_49","3"
"Var1_50","3"
"Var1_51","3"
"Var1_52","3"
"Var1_53","3"
"Var1_54","3"
"Var1_55","3"
"Var1_56","3"
"Var1_57","2"
"Var1_58","3"
"Var1_59","3"
"Var1_60","3"
"Var1_61","3"
"Var1_62","3"
"Var1_63","3"
"Var1_64","3"
"Var1_65","3"
"Var1_66","3"
"Var1_67","3"
"Var1_68","3"
"Var1_69","3"
"Var1_70","3"
"Var1_71","3"
"Var1_72","3"
"Var1_73","3"
"Var1_74","3"
"Var1_75","3"
"Var1_76","3"
"Var1_77","3"
"Var1_78","3"
"Var1_79","3"
"Var1_80","3"
"Var1_81","3"
"Var1_82","3"
"Var1_83","3"
"Var1_84","3"
"Var1_85","3"
"Var1_86","3"
"Var1_87","3"
"Var1_88","3"
"Var1_89","3"
"Var1_90","3"
"Var1_91","3"
"Var1_92","3"
"Var1_93","3"
"Var1_94","3"
"Var1_95","3"
"Var1_96","3"
"Var1_97","3"
"Var1_98","3"
"Var1_99","3"
"Var1_100","3"
"Var1_101","3"
"Var1_102","3"
"Var1_103","3"
"Var1_104","3"
"Var1_105","4"
"Var1_106","3"
"Var1_107","3"
"Var1_108","3"
"Var1_109","3"
"Var1_110","3"
"Var1_111","3"
"Var1_112","3"
"Var1_113","3"
"Var1_114","4"
"Var1_115","3"
"Var1_116","4"
"Var1_117","3"
"Var1_118","3"
"Var1_119","3"
"Var1_120","3"
"Var1_121","3"
"Var1_122","3"
"Var1_123","3"
"Var1_124","3"
"Var1_125","3"
"Var1_126","3"
"Var1_127","4"
"Var1_128","3"
"Var1_129","3"
"Var1_130","3"
"Var1_131","3"
"Var1_132","3"
"Var1_133","3"
"Var1_134","4"
"Var1_135","3"
"Var1_136","3"
"Var1_137","3"
"Var1_138","1"
"Var1_139","3"
"Var1_140","3"
"Var1_141","3"
"Var1_142","3"
"Var1_143","1"
"Var1_144","3"
"Var1_145","3"
"Var1_146","3"
"Var1_147","3"
"Var1_148","3"
"Var1_149","3"
"Var1_150","3"
"Var1_151","3"
"Var1_152","3"
"Var1_153","3"
"Var1_154","3"
"Var1_155","3"
"Var1_156","3"
"Var1_157","3"
"Var1_158","3"
"Var1_159","3"
"Var1_160","3"
"Var1_161","3"
"Var1_162","3"
"Var1_163","3"
"Var1_164","3"
"Var1_165","3"
"Var1_166","3"
"Var1_167","3"
"Var1_168","3"
"Var1_169","3"
"Var1_170","3"
"Var1_171","3"
"Var1_172","3"
"Var1_173","3"
"Var1_174","3"
"Var1_175","3"
"Var1_176","3"
"Var1_177","3"
"Var1_178","3"
"Var1_179","3"
"Var1_180","3"
"Var1_181","3"
"Var1_182","3"
"Var1_183","3"
"Var1_184","3"
"Var1_185","3"
"Var1_186","3"
"Var1_187","3"
"Var1_188","3"
"Var1_189","3"
"Var1_190","3"
"Var1_191","3"
"Var1_192","3"
"Var1_193","3"
"Var1_194","1"
"Var1_195","1"
"Var1_196","3"
"Var1_197","1"
"Var1_198","3"
"Var1_199","3"
"Var1_200","3"
"Var1_201","3"
"Var1_202","3"
"Var1_203","3"
"Var1_204","3"
"Var1_205","3"
"Var1_206","3"
"Var1_207","3"
"Var1_208","3"
"Var1_209","3"
"Var1_210","3"
"Var1_211","3"
"Var1_212","3"
"Var1_213","3"
"Var1_214","3"
"Var1_215","3"
"Var1_216","1"
"Var1_217","3"
"Var1_218","2"
"Var1_219","3"
"Var1_220","3"
"Var1_221","3"
"Var1_222","3"
"Var1_223","3"
"Var1_224","3"
"Var1_225","3"
"Var1_226","3"
"Var1_227","3"
"Var1_228","3"
"Var1_229","3"
"Var1_230","3"
"Var1_231","3"
"Var1_232","6"
"Var1_233","3"
"Var1_234","3"
"Var1_235","3"
"Var1_236","3"
"Var1_237","3"
"Var1_238","3"
"Var1_239","7"
"Var1_240","3"
"Var1_241","3"
"Var1_242","3"
"Var1_243","3"
"Var1_244","3"
"Var1_245","3"
"Var1_246","3"
"Var1_247","3"
"Var1_248","3"
"Var1_249","3"
"Var1_250","3"
"Var1_251","3"
"Var1_252","3"
"Var1_253","3"
"Var1_254","3"
"Var1_255","4"
"Var1_256","3"
"Var1_257","3"
"Var1_258","3"
"Var1_259","2"
"Var1_260","3"
"Var1_261","3"
"Var1_262","3"
"Var1_263","3"
"Var1_264","3"
"Var1_265","3"
"Var1_266","3"
"Var1_267","3"
"Var1_268","3"
"Var1_269","3"
"Var1_270","3"
"Var1_271","3"
"Var1_272","3"
"Var1_273","3"
"Var1_274","3"
"Var1_275","3"
"Var1_276","3"
"Var1_277","3"
"Var1_278","3"
"Var1_279","3"
"Var1_280","3"
"Var1_281","3"
"Var1_282","3"
"Var1_283","3"
"Var1_284","3"
"Var1_285","3"
"Var1_286","3"
"Var1_287","3"
"Var1_288","3"
"Var1_289","3"
"Var1_290","3"
"Var1_291","7"
"Var1_292","7"
"Var1_293","7"
"Var1_294","7"
"Var1_295","7"
"Var1_296","7"
"Var1_297","7"
"Var1_298","7"
"Var1_299","7"
"Var1_300","7"
"Var1_301","7"
"Var1_302","7"
"Var1_303","7"
"Var1_304","7"
"Var1_305","7"
"Var1_306","7"
"Var1_307","7"
"Var1_308","7"
"Var1_309","7"
"Var1_310","4"
"Var1_311","7"
"Var1_312","7"
"Var1_313","7"
"Var1_314","7"
"Var1_315","7"
"Var1_316","7"
"Var1_317","7"
"Var1_318","7"
"Var1_319","7"
"Var1_320","7"
"Var1_321","7"
"Var1_322","7"
"Var1_323","7"
"Var1_324","7"
"Var1_325","7"
"Var1_326","7"
"Var1_327","7"
"Var1_328","7"
"Var1_329","7"
"Var1_330","7"
"Var1_331","7"
"Var1_332","7"
"Var1_333","7"
"Var1_334","7"
"Var1_335","7"
"Var1_336","7"
"Var1_337","7"
"Var1_338","7"
"Var1_339","7"
"Var1_340","7"
"Var1_341","7"
"Var1_342","7"
"Var1_343","7"
"Var1_344","7"
"Var1_345","7"
"Var1_346","7"
"Var1_347","7"
"Var1_348","7"
"Var1_349","7"
"Var1_350","7"
"Var1_351","7"
"Var1_352","7"
"Var1_353","7"
"Var1_354","7"
"Var1_355","7"
"Var1_356","7"
"Var1_357","7"
"Var1_358","7"
"Var1_359","4"
"Var1_360","4"
"Var1_361","4"
"Var1_362","4"
"Var1_363","7"
"Var1_364","4"
"Var1_365","4"
"Var1_366","4"
"Var1_367","4"
"Var1_368","4"
"Var1_369","7"
"Var1_370","7"
"Var1_371","7"
"Var1_372","7"
"Var1_373","4"
"Var1_374","7"
"Var1_375","7"
"Var1_376","7"
"Var1_377","7"
"Var1_378","7"
"Var1_379","7"
"Var1_380","7"
"Var1_381","7"
"Var1_382","4"
"Var1_383","4"
"Var1_384","7"
"Var1_385","7"
"Var1_386","7"
"Var1_387","4"
"Var1_388","4"
"Var1_389","4"
"Var1_390","4"
"Var1_391","7"
"Var1_392","4"
"Var1_393","4"
"Var1_394","4"
"Var1_395","4"
"Var1_396","7"
"Var1_397","7"
"Var1_398","4"
"Var1_399","4"
"Var1_400","4"
"Var1_401","4"
"Var1_402","7"
"Var1_403","4"
"Var1_404","7"
"Var1_405","2"
"Var1_406","4"
"Var1_407","4"
"Var1_408","4"
"Var1_409","7"
"Var1_410","4"
"Var1_411","4"
"Var1_412","4"
"Var1_413","4"
"Var1_414","4"
"Var1_415","4"
"Var1_416","4"
"Var1_417","4"
"Var1_418","7"
"Var1_419","4"
"Var1_420","7"
"Var1_421","7"
"Var1_422","4"
"Var1_423","4"
"Var1_424","7"
"Var1_425","7"
"Var1_426","4"
"Var1_427","4"
"Var1_428","7"
"Var1_429","4"
"Var1_430","4"
"Var1_431","7"
"Var1_432","4"
"Var1_433","7"
"Var1_434","4"
"Var1_435","4"
"Var1_436","4"
"Var1_437","4"
"Var1_438","4"
"Var1_439","7"
"Var1_440","7"
"Var1_441","7"
"Var1_442","4"
"Var1_443","4"
"Var1_444","7"
"Var1_445","4"
"Var1_446","4"
"Var1_447","4"
"Var1_448","7"
"Var1_449","7"
"Var1_450","7"
"Var1_451","4"
"Var1_452","4"
"Var1_453","4"
"Var1_454","4"
"Var1_455","4"
"Var1_456","4"
"Var1_457","4"
"Var1_458","7"
"Var1_459","4"
"Var1_460","4"
"Var1_461","7"
"Var1_462","7"
"Var1_463","4"
"Var1_464","4"
"Var1_465","4"
"Var1_466","4"
"Var1_467","4"
"Var1_468","4"
"Var1_469","7"
"Var1_470","7"
"Var1_471","7"
"Var1_472","2"
"Var1_473","7"
"Var1_474","3"
"Var1_475","7"
"Var1_476","7"
"Var1_477","7"
"Var1_478","4"
"Var1_479","4"
"Var1_480","3"
"Var1_481","7"
"Var1_482","4"
"Var1_483","4"
"Var1_484","7"
"Var1_485","7"
"Var1_486","4"
"Var1_487","4"
"Var1_488","7"
"Var1_489","7"
"Var1_490","7"
"Var1_491","4"
"Var1_492","1"
"Var1_493","1"
"Var1_494","4"
"Var1_495","7"
"Var1_496","7"
"Var1_497","7"
"Var1_498","7"
"Var1_499","7"
"Var1_500","7"
"Var1_501","7"
"Var1_502","7"
"Var1_503","7"
"Var1_504","7"
"Var1_505","7"
"Var1_506","7"
"Var1_507","7"
"Var1_508","7"
"Var1_509","7"
"Var1_510","7"
"Var1_511","7"
"Var1_512","4"
"Var1_513","7"
"Var1_514","7"
"Var1_515","7"
"Var1_516","4"
"Var1_517","7"
"Var1_518","7"
"Var1_519","7"
"Var1_520","7"
"Var1_521","7"
"Var1_522","4"
"Var1_523","4"
"Var1_524","4"
"Var1_525","4"
"Var1_526","4"
"Var1_527","1"
"Var1_528","4"
"Var1_529","4"
"Var1_530","4"
"Var1_531","4"
"Var1_532","4"
"Var1_533","4"
"Var1_534","2"
"Var1_535","4"
"Var1_536","4"
"Var1_537","7"
"Var1_538","4"
"Var1_539","4"
"Var1_540","2"
"Var1_541","4"
"Var1_542","7"
"Var1_543","4"
"Var1_544","7"
"Var1_545","4"
"Var1_546","4"
"Var1_547","4"
"Var1_548","4"
"Var1_549","4"
"Var1_550","4"
"Var1_551","3"
"Var1_552","7"
"Var1_553","4"
"Var1_554","4"
"Var1_555","4"
"Var1_556","3"
"Var1_557","4"
"Var1_558","3"
"Var1_559","4"
"Var1_560","4"
"Var1_561","4"
"Var1_562","4"
"Var1_563","4"
"Var1_564","4"
"Var1_565","4"
"Var1_566","4"
"Var1_567","4"
"Var1_568","4"
"Var1_569","4"
"Var1_570","4"
"Var1_571","4"
"Var1_572","4"
"Var1_573","4"
"Var1_574","4"
"Var1_575","4"
"Var1_576","4"
"Var1_577","4"
"Var1_578","4"
"Var1_579","4"
"Var1_580","4"
"Var1_581","4"
"Var1_582","4"
"Var1_583","4"
"Var1_584","4"
"Var1_585","4"
"Var1_586","4"
"Var1_587","4"
"Var1_588","4"
"Var1_589","4"
"Var1_590","4"
"Var1_591","4"
"Var1_592","4"
"Var1_593","4"
"Var1_594","4"
"Var1_595","4"
"Var1_596","4"
"Var1_597","4"
"Var1_598","4"
"Var1_599","4"
"Var1_600","4"
"Var1_601","4"
"Var1_602","4"
"Var1_603","7"
"Var1_604","4"
"Var1_605","4"
"Var1_606","4"
"Var1_607","4"
"Var1_608","7"
"Var1_609","4"
"Var1_610","4"
"Var1_611","4"
"Var1_612","7"
"Var1_613","4"
"Var1_614","7"
"Var1_615","4"
"Var1_616","4"
"Var1_617","4"
"Var1_618","4"
"Var1_619","7"
"Var1_620","4"
"Var1_621","4"
"Var1_622","7"
"Var1_623","4"
"Var1_624","4"
"Var1_625","7"
"Var1_626","7"
"Var1_627","7"
"Var1_628","4"
"Var1_629","4"
"Var1_630","4"
"Var1_631","4"
"Var1_632","4"
"Var1_633","4"
"Var1_634","4"
"Var1_635","4"
"Var1_636","4"
"Var1_637","7"
"Var1_638","4"
"Var1_639","4"
"Var1_640","4"
"Var1_641","2"
"Var1_642","4"
"Var1_643","4"
"Var1_644","4"
