"","sc3_24_clusters"
"Var1_1","14"
"Var1_2","14"
"Var1_3","14"
"Var1_4","14"
"Var1_5","14"
"Var1_6","14"
"Var1_7","21"
"Var1_8","14"
"Var1_9","14"
"Var1_10","14"
"Var1_11","14"
"Var1_12","14"
"Var1_13","6"
"Var1_14","6"
"Var1_15","15"
"Var1_16","19"
"Var1_17","20"
"Var1_18","14"
"Var1_19","18"
"Var1_20","2"
"Var1_21","2"
"Var1_22","8"
"Var1_23","18"
"Var1_24","2"
"Var1_25","6"
"Var1_26","9"
"Var1_27","2"
"Var1_28","14"
"Var1_29","14"
"Var1_30","2"
"Var1_31","6"
"Var1_32","6"
"Var1_33","6"
"Var1_34","6"
"Var1_35","2"
"Var1_36","14"
"Var1_37","2"
"Var1_38","20"
"Var1_39","21"
"Var1_40","6"
"Var1_41","19"
"Var1_42","2"
"Var1_43","6"
"Var1_44","19"
"Var1_45","19"
"Var1_46","19"
"Var1_47","14"
"Var1_48","19"
"Var1_49","6"
"Var1_50","1"
"Var1_51","6"
"Var1_52","2"
"Var1_53","14"
"Var1_54","2"
"Var1_55","21"
"Var1_56","19"
"Var1_57","2"
"Var1_58","2"
"Var1_59","21"
"Var1_60","15"
"Var1_61","18"
"Var1_62","9"
"Var1_63","15"
"Var1_64","18"
"Var1_65","4"
"Var1_66","14"
"Var1_67","8"
"Var1_68","2"
"Var1_69","6"
"Var1_70","8"
"Var1_71","16"
"Var1_72","15"
"Var1_73","21"
"Var1_74","6"
"Var1_75","2"
"Var1_76","2"
"Var1_77","6"
"Var1_78","21"
"Var1_79","2"
"Var1_80","2"
"Var1_81","20"
"Var1_82","21"
"Var1_83","1"
"Var1_84","14"
"Var1_85","19"
"Var1_86","6"
"Var1_87","6"
"Var1_88","2"
"Var1_89","15"
"Var1_90","2"
"Var1_91","1"
"Var1_92","20"
"Var1_93","2"
"Var1_94","21"
"Var1_95","2"
"Var1_96","15"
"Var1_97","2"
"Var1_98","6"
"Var1_99","6"
"Var1_100","2"
"Var1_101","6"
"Var1_102","8"
"Var1_103","9"
"Var1_104","6"
"Var1_105","1"
"Var1_106","2"
"Var1_107","16"
"Var1_108","20"
"Var1_109","14"
"Var1_110","6"
"Var1_111","2"
"Var1_112","15"
"Var1_113","6"
"Var1_114","2"
"Var1_115","20"
"Var1_116","2"
"Var1_117","6"
"Var1_118","2"
"Var1_119","6"
"Var1_120","2"
"Var1_121","2"
"Var1_122","21"
"Var1_123","6"
"Var1_124","2"
"Var1_125","20"
"Var1_126","1"
"Var1_127","8"
"Var1_128","2"
"Var1_129","6"
"Var1_130","2"
"Var1_131","9"
"Var1_132","8"
"Var1_133","2"
"Var1_134","14"
"Var1_135","8"
"Var1_136","1"
"Var1_137","2"
"Var1_138","9"
"Var1_139","2"
"Var1_140","6"
"Var1_141","15"
"Var1_142","2"
"Var1_143","2"
"Var1_144","21"
"Var1_145","2"
"Var1_146","6"
"Var1_147","4"
"Var1_148","18"
"Var1_149","18"
"Var1_150","21"
"Var1_151","21"
"Var1_152","2"
"Var1_153","2"
"Var1_154","6"
"Var1_155","2"
"Var1_156","19"
"Var1_157","1"
"Var1_158","21"
"Var1_159","9"
"Var1_160","5"
"Var1_161","9"
"Var1_162","2"
"Var1_163","13"
"Var1_164","2"
"Var1_165","2"
"Var1_166","21"
"Var1_167","15"
"Var1_168","2"
"Var1_169","1"
"Var1_170","21"
"Var1_171","14"
"Var1_172","15"
"Var1_173","14"
"Var1_174","1"
"Var1_175","2"
"Var1_176","2"
"Var1_177","14"
"Var1_178","6"
"Var1_179","2"
"Var1_180","6"
"Var1_181","2"
"Var1_182","14"
"Var1_183","9"
"Var1_184","2"
"Var1_185","8"
"Var1_186","2"
"Var1_187","9"
"Var1_188","11"
"Var1_189","2"
"Var1_190","2"
"Var1_191","9"
"Var1_192","6"
"Var1_193","2"
"Var1_194","2"
"Var1_195","6"
"Var1_196","2"
"Var1_197","13"
"Var1_198","8"
"Var1_199","1"
"Var1_200","3"
"Var1_201","6"
"Var1_202","9"
"Var1_203","18"
"Var1_204","1"
"Var1_205","8"
"Var1_206","1"
"Var1_207","18"
"Var1_208","9"
"Var1_209","18"
"Var1_210","1"
"Var1_211","1"
"Var1_212","9"
"Var1_213","2"
"Var1_214","3"
"Var1_215","19"
"Var1_216","18"
"Var1_217","17"
"Var1_218","12"
"Var1_219","19"
"Var1_220","2"
"Var1_221","6"
"Var1_222","13"
"Var1_223","1"
"Var1_224","21"
"Var1_225","1"
"Var1_226","9"
"Var1_227","1"
"Var1_228","2"
"Var1_229","6"
"Var1_230","18"
"Var1_231","21"
"Var1_232","6"
"Var1_233","6"
"Var1_234","21"
"Var1_235","6"
"Var1_236","21"
"Var1_237","19"
"Var1_238","21"
"Var1_239","2"
"Var1_240","6"
"Var1_241","2"
"Var1_242","12"
"Var1_243","2"
"Var1_244","14"
"Var1_245","9"
"Var1_246","6"
"Var1_247","1"
"Var1_248","9"
"Var1_249","2"
"Var1_250","11"
"Var1_251","6"
"Var1_252","22"
"Var1_253","2"
"Var1_254","5"
"Var1_255","6"
"Var1_256","13"
"Var1_257","8"
"Var1_258","1"
"Var1_259","1"
"Var1_260","21"
"Var1_261","18"
"Var1_262","6"
"Var1_263","9"
"Var1_264","2"
"Var1_265","13"
"Var1_266","2"
"Var1_267","3"
"Var1_268","2"
"Var1_269","12"
"Var1_270","8"
"Var1_271","6"
"Var1_272","9"
"Var1_273","13"
"Var1_274","8"
"Var1_275","22"
"Var1_276","1"
"Var1_277","13"
"Var1_278","18"
"Var1_279","9"
"Var1_280","8"
"Var1_281","6"
"Var1_282","2"
"Var1_283","1"
"Var1_284","18"
"Var1_285","9"
"Var1_286","21"
"Var1_287","6"
"Var1_288","16"
"Var1_289","11"
"Var1_290","1"
"Var1_291","1"
"Var1_292","21"
"Var1_293","15"
"Var1_294","1"
"Var1_295","2"
"Var1_296","1"
"Var1_297","21"
"Var1_298","1"
"Var1_299","3"
"Var1_300","21"
"Var1_301","13"
"Var1_302","11"
"Var1_303","3"
"Var1_304","2"
"Var1_305","16"
"Var1_306","6"
"Var1_307","3"
"Var1_308","13"
"Var1_309","17"
"Var1_310","6"
"Var1_311","20"
"Var1_312","2"
"Var1_313","13"
"Var1_314","2"
"Var1_315","17"
"Var1_316","2"
"Var1_317","2"
"Var1_318","21"
"Var1_319","11"
"Var1_320","2"
"Var1_321","6"
"Var1_322","9"
"Var1_323","17"
"Var1_324","9"
"Var1_325","12"
"Var1_326","8"
"Var1_327","9"
"Var1_328","2"
"Var1_329","2"
"Var1_330","17"
"Var1_331","16"
"Var1_332","8"
"Var1_333","3"
"Var1_334","8"
"Var1_335","21"
"Var1_336","16"
"Var1_337","6"
"Var1_338","6"
"Var1_339","2"
"Var1_340","21"
"Var1_341","5"
"Var1_342","17"
"Var1_343","14"
"Var1_344","3"
"Var1_345","8"
"Var1_346","1"
"Var1_347","5"
"Var1_348","8"
"Var1_349","23"
"Var1_350","12"
"Var1_351","1"
"Var1_352","13"
"Var1_353","5"
"Var1_354","13"
"Var1_355","11"
"Var1_356","2"
"Var1_357","9"
"Var1_358","5"
"Var1_359","2"
"Var1_360","12"
"Var1_361","11"
"Var1_362","13"
"Var1_363","3"
"Var1_364","2"
"Var1_365","9"
"Var1_366","9"
"Var1_367","13"
"Var1_368","1"
"Var1_369","15"
"Var1_370","6"
"Var1_371","14"
"Var1_372","14"
"Var1_373","13"
"Var1_374","18"
"Var1_375","18"
"Var1_376","3"
"Var1_377","22"
"Var1_378","3"
"Var1_379","5"
"Var1_380","11"
"Var1_381","9"
"Var1_382","14"
"Var1_383","11"
"Var1_384","11"
"Var1_385","9"
"Var1_386","16"
"Var1_387","21"
"Var1_388","13"
"Var1_389","3"
"Var1_390","9"
"Var1_391","21"
"Var1_392","21"
"Var1_393","1"
"Var1_394","16"
"Var1_395","23"
"Var1_396","22"
"Var1_397","16"
"Var1_398","12"
"Var1_399","19"
"Var1_400","3"
"Var1_401","8"
"Var1_402","15"
"Var1_403","13"
"Var1_404","12"
"Var1_405","2"
"Var1_406","8"
"Var1_407","12"
"Var1_408","11"
"Var1_409","3"
"Var1_410","18"
"Var1_411","11"
"Var1_412","17"
"Var1_413","14"
"Var1_414","9"
"Var1_415","22"
"Var1_416","24"
"Var1_417","24"
"Var1_418","24"
"Var1_419","11"
"Var1_420","11"
"Var1_421","13"
"Var1_422","11"
"Var1_423","11"
"Var1_424","21"
"Var1_425","21"
"Var1_426","13"
"Var1_427","10"
"Var1_428","24"
"Var1_429","16"
"Var1_430","11"
"Var1_431","13"
"Var1_432","12"
"Var1_433","9"
"Var1_434","2"
"Var1_435","9"
"Var1_436","14"
"Var1_437","17"
"Var1_438","23"
"Var1_439","16"
"Var1_440","17"
"Var1_441","3"
"Var1_442","23"
"Var1_443","18"
"Var1_444","14"
"Var1_445","11"
"Var1_446","23"
"Var1_447","16"
"Var1_448","3"
"Var1_449","18"
"Var1_450","19"
"Var1_451","23"
"Var1_452","12"
"Var1_453","14"
"Var1_454","13"
"Var1_455","12"
"Var1_456","11"
"Var1_457","11"
"Var1_458","9"
"Var1_459","12"
"Var1_460","24"
"Var1_461","14"
"Var1_462","3"
"Var1_463","11"
"Var1_464","11"
"Var1_465","3"
"Var1_466","14"
"Var1_467","22"
"Var1_468","3"
"Var1_469","3"
"Var1_470","23"
"Var1_471","3"
"Var1_472","16"
"Var1_473","3"
"Var1_474","3"
"Var1_475","3"
"Var1_476","13"
"Var1_477","18"
"Var1_478","3"
"Var1_479","13"
"Var1_480","23"
"Var1_481","22"
"Var1_482","21"
"Var1_483","3"
"Var1_484","13"
"Var1_485","12"
"Var1_486","6"
"Var1_487","3"
"Var1_488","22"
"Var1_489","12"
"Var1_490","22"
"Var1_491","3"
"Var1_492","10"
"Var1_493","22"
"Var1_494","9"
"Var1_495","12"
"Var1_496","12"
"Var1_497","16"
"Var1_498","11"
"Var1_499","11"
"Var1_500","19"
"Var1_501","3"
"Var1_502","10"
"Var1_503","24"
"Var1_504","3"
"Var1_505","11"
"Var1_506","10"
"Var1_507","12"
"Var1_508","24"
"Var1_509","11"
"Var1_510","19"
"Var1_511","13"
"Var1_512","3"
"Var1_513","12"
"Var1_514","3"
"Var1_515","11"
"Var1_516","13"
"Var1_517","23"
"Var1_518","23"
"Var1_519","7"
"Var1_520","11"
"Var1_521","13"
"Var1_522","3"
