"","sc3_6_clusters"
"Var1_1","5"
"Var1_2","5"
"Var1_3","5"
"Var1_4","5"
"Var1_5","5"
"Var1_6","5"
"Var1_7","5"
"Var1_8","5"
"Var1_9","5"
"Var1_10","5"
"Var1_11","5"
"Var1_12","5"
"Var1_13","6"
"Var1_14","6"
"Var1_15","6"
"Var1_16","6"
"Var1_17","6"
"Var1_18","6"
"Var1_19","6"
"Var1_20","6"
"Var1_21","6"
"Var1_22","6"
"Var1_23","6"
"Var1_24","6"
"Var1_25","6"
"Var1_26","6"
"Var1_27","6"
"Var1_28","6"
"Var1_29","6"
"Var1_30","6"
"Var1_31","6"
"Var1_32","6"
"Var1_33","6"
"Var1_34","6"
"Var1_35","6"
"Var1_36","6"
"Var1_37","6"
"Var1_38","6"
"Var1_39","6"
"Var1_40","6"
"Var1_41","6"
"Var1_42","6"
"Var1_43","6"
"Var1_44","6"
"Var1_45","6"
"Var1_46","6"
"Var1_47","6"
"Var1_48","6"
"Var1_49","1"
"Var1_50","1"
"Var1_51","1"
"Var1_52","1"
"Var1_53","1"
"Var1_54","1"
"Var1_55","1"
"Var1_56","1"
"Var1_57","1"
"Var1_58","1"
"Var1_59","1"
"Var1_60","1"
"Var1_61","1"
"Var1_62","1"
"Var1_63","1"
"Var1_64","1"
"Var1_65","1"
"Var1_66","1"
"Var1_67","1"
"Var1_68","1"
"Var1_69","1"
"Var1_70","1"
"Var1_71","1"
"Var1_72","1"
"Var1_73","1"
"Var1_74","1"
"Var1_75","1"
"Var1_76","1"
"Var1_77","1"
"Var1_78","1"
"Var1_79","1"
"Var1_80","1"
"Var1_81","1"
"Var1_82","1"
"Var1_83","1"
"Var1_84","1"
"Var1_85","1"
"Var1_86","1"
"Var1_87","1"
"Var1_88","1"
"Var1_89","1"
"Var1_90","1"
"Var1_91","1"
"Var1_92","1"
"Var1_93","1"
"Var1_94","1"
"Var1_95","1"
"Var1_96","1"
"Var1_97","1"
"Var1_98","1"
"Var1_99","1"
"Var1_100","1"
"Var1_101","1"
"Var1_102","1"
"Var1_103","5"
"Var1_104","1"
"Var1_105","1"
"Var1_106","1"
"Var1_107","1"
"Var1_108","1"
"Var1_109","1"
"Var1_110","1"
"Var1_111","1"
"Var1_112","1"
"Var1_113","1"
"Var1_114","1"
"Var1_115","1"
"Var1_116","1"
"Var1_117","1"
"Var1_118","1"
"Var1_119","1"
"Var1_120","1"
"Var1_121","1"
"Var1_122","1"
"Var1_123","1"
"Var1_124","1"
"Var1_125","1"
"Var1_126","1"
"Var1_127","1"
"Var1_128","1"
"Var1_129","1"
"Var1_130","1"
"Var1_131","1"
"Var1_132","1"
"Var1_133","1"
"Var1_134","1"
"Var1_135","1"
"Var1_136","3"
"Var1_137","3"
"Var1_138","3"
"Var1_139","3"
"Var1_140","2"
"Var1_141","2"
"Var1_142","2"
"Var1_143","3"
"Var1_144","2"
"Var1_145","3"
"Var1_146","3"
"Var1_147","3"
"Var1_148","2"
"Var1_149","3"
"Var1_150","3"
"Var1_151","2"
"Var1_152","3"
"Var1_153","3"
"Var1_154","3"
"Var1_155","3"
"Var1_156","2"
"Var1_157","2"
"Var1_158","2"
"Var1_159","2"
"Var1_160","2"
"Var1_161","2"
"Var1_162","2"
"Var1_163","3"
"Var1_164","2"
"Var1_165","2"
"Var1_166","3"
"Var1_167","2"
"Var1_168","3"
"Var1_169","2"
"Var1_170","2"
"Var1_171","2"
"Var1_172","3"
"Var1_173","3"
"Var1_174","3"
"Var1_175","3"
"Var1_176","2"
"Var1_177","3"
"Var1_178","3"
"Var1_179","2"
"Var1_180","3"
"Var1_181","3"
"Var1_182","2"
"Var1_183","2"
"Var1_184","3"
"Var1_185","3"
"Var1_186","3"
"Var1_187","2"
"Var1_188","3"
"Var1_189","2"
"Var1_190","2"
"Var1_191","2"
"Var1_192","3"
"Var1_193","2"
"Var1_194","2"
"Var1_195","3"
"Var1_196","2"
"Var1_197","2"
"Var1_198","2"
"Var1_199","2"
"Var1_200","2"
"Var1_201","2"
"Var1_202","2"
"Var1_203","3"
"Var1_204","3"
"Var1_205","2"
"Var1_206","2"
"Var1_207","2"
"Var1_208","2"
"Var1_209","3"
"Var1_210","2"
"Var1_211","2"
"Var1_212","2"
"Var1_213","2"
"Var1_214","2"
"Var1_215","3"
"Var1_216","2"
"Var1_217","3"
"Var1_218","3"
"Var1_219","2"
"Var1_220","2"
"Var1_221","3"
"Var1_222","3"
"Var1_223","2"
"Var1_224","3"
"Var1_225","2"
"Var1_226","3"
"Var1_227","2"
"Var1_228","2"
"Var1_229","3"
"Var1_230","3"
"Var1_231","3"
"Var1_232","3"
"Var1_233","3"
"Var1_234","3"
"Var1_235","3"
"Var1_236","3"
"Var1_237","3"
"Var1_238","3"
"Var1_239","4"
"Var1_240","4"
"Var1_241","4"
"Var1_242","4"
"Var1_243","4"
"Var1_244","4"
"Var1_245","4"
"Var1_246","4"
"Var1_247","4"
"Var1_248","4"
"Var1_249","2"
"Var1_250","4"
"Var1_251","2"
"Var1_252","4"
"Var1_253","4"
"Var1_254","4"
"Var1_255","4"
"Var1_256","4"
"Var1_257","4"
"Var1_258","4"
"Var1_259","4"
"Var1_260","4"
"Var1_261","4"
"Var1_262","4"
"Var1_263","4"
"Var1_264","4"
"Var1_265","4"
"Var1_266","4"
"Var1_267","4"
"Var1_268","4"
