"","sc3_22_clusters"
"d0",7
"d0.1",15
"d0.2",15
"d0.3",15
"d0.4",6
"d0.5",15
"d0.6",15
"d0.7",7
"d0.8",6
"d0.9",6
"d0.10",15
"d0.11",14
"d0.12",6
"d0.13",7
"d0.14",15
"d0.15",6
"d0.16",7
"d0.17",16
"d0.18",15
"d0.19",7
"d0.20",15
"d0.21",15
"d0.22",7
"d0.23",7
"d0.24",15
"d0.25",15
"d0.26",15
"d0.27",15
"d0.28",15
"d0.29",14
"d0.30",7
"d0.31",15
"d0.32",14
"d0.33",15
"d0.34",6
"d0.35",7
"d0.36",14
"d0.37",7
"d0.38",6
"d0.39",15
"d0.40",6
"d0.41",7
"d0.42",6
"d0.43",15
"d0.44",15
"d0.45",7
"d0.46",15
"d0.47",15
"d0.48",15
"d0.49",15
"d0.50",15
"d0.51",15
"d0.52",7
"d0.53",7
"d0.54",6
"d0.55",7
"d0.56",15
"d0.57",15
"d0.58",15
"d0.59",7
"d0.60",15
"d0.61",15
"d0.62",7
"d0.63",15
"d0.64",15
"d0.65",7
"d0.66",15
"d0.67",7
"d0.68",15
"d0.69",15
"d0.70",15
"d0.71",14
"d0.72",7
"d0.73",15
"d0.74",7
"d0.75",7
"d0.76",7
"d0.77",7
"d0.78",7
"d0.79",15
"d0.80",7
"d0.81",14
"d0.82",15
"d0.83",15
"d0.84",15
"d0.85",15
"d0.86",15
"d0.87",15
"d0.88",14
"d0.89",15
"d0.90",15
"d0.91",14
"d0.92",15
"d0.93",7
"d0.94",7
"d0.95",7
"d0.96",7
"d0.97",14
"d0.98",15
"d0.99",7
"d0.100",7
"d0.101",6
"d0.102",15
"d0.103",14
"d0.104",7
"d0.105",7
"d0.106",16
"d0.107",15
"d0.108",15
"d0.109",15
"d0.110",6
"d0.111",15
"d0.112",14
"d0.113",16
"d0.114",15
"d0.115",6
"d0.116",7
"d0.117",15
"d0.118",15
"d0.119",7
"d0.120",6
"d0.121",14
"d0.122",6
"d0.123",14
"d0.124",15
"d0.125",7
"d0.126",6
"d0.127",7
"d0.128",7
"d0.129",7
"d0.130",7
"d0.131",15
"d0.132",15
"d0.133",6
"d0.134",15
"d0.135",6
"d0.136",7
"d0.137",7
"d0.138",7
"d0.139",7
"d0.140",15
"d0.141",15
"d0.142",15
"d0.143",7
"d0.144",14
"d0.145",15
"d0.146",15
"d0.147",15
"d0.148",15
"d0.149",15
"d0.150",7
"d0.151",7
"d0.152",15
"d0.153",15
"d0.154",15
"d0.155",7
"d0.156",14
"d0.157",7
"d0.158",15
"d0.159",6
"d0.160",15
"d0.161",7
"d0.162",15
"d0.163",7
"d0.164",14
"d0.165",6
"d0.166",14
"d0.167",15
"d0.168",6
"d0.169",15
"d0.170",15
"d0.171",15
"d0.172",14
"d0.173",7
"d0.174",7
"d0.175",15
"d0.176",7
"d0.177",7
"d0.178",7
"d0.179",15
"d0.180",7
"d0.181",4
"d0.182",14
"d0.183",6
"d0.184",7
"d0.185",15
"d0.186",16
"d0.187",15
"d0.188",7
"d0.189",7
"d0.190",15
"d0.191",14
"d0.192",14
"d0.193",14
"d0.194",15
"d0.195",7
"d0.196",14
"d0.197",7
"d0.198",7
"d0.199",7
"d0.200",14
"d0.201",7
"d0.202",15
"d0.203",14
"d0.204",14
"d0.205",15
"d0.206",14
"d0.207",15
"d0.208",15
"d0.209",7
"d0.210",15
"d0.211",14
"d0.212",14
"d0.213",15
"d0.214",7
"d0.215",15
"d0.216",7
"d0.217",7
"d0.218",7
"d0.219",6
"d0.220",4
"d0.221",14
"d0.222",15
"d0.223",14
"d0.224",14
"d0.225",7
"d0.226",15
"d0.227",14
"d0.228",14
"d0.229",15
"d0.230",7
"d0.231",7
"d0.232",15
"d0.233",6
"d0.234",7
"d0.235",6
"d0.236",7
"d0.237",15
"d0.238",7
"d0.239",15
"d0.240",7
"d0.241",7
"d0.242",14
"d0.243",15
"d0.244",7
"d0.245",15
"d0.246",6
"d0.247",7
"d0.248",15
"d0.249",14
"d0.250",6
"d0.251",14
"d0.252",14
"d0.253",15
"d0.254",15
"d0.255",6
"d0.256",15
"d0.257",15
"d0.258",15
"d0.259",15
"d0.260",15
"d0.261",14
"d0.262",7
"d0.263",14
"d0.264",7
"d0.265",15
"d0.266",15
"d0.267",7
"d0.268",6
"d0.269",14
"d0.270",6
"d0.271",7
"d0.272",15
"d0.273",6
"d0.274",15
"d0.275",14
"d0.276",15
"d0.277",14
"d0.278",7
"d0.279",7
"d0.280",15
"d0.281",15
"d0.282",15
"d0.283",7
"d0.284",7
"d0.285",15
"d0.286",6
"d0.287",7
"d0.288",6
"d0.289",14
"d0.290",15
"d0.291",15
"d0.292",16
"d0.293",15
"d0.294",15
"d0.295",14
"d0.296",15
"d0.297",7
"d0.298",15
"d0.299",14
"d0.300",14
"d0.301",15
"d0.302",14
"d0.303",15
"d0.304",14
"d0.305",14
"d0.306",7
"d0.307",7
"d0.308",7
"d0.309",15
"d0.310",7
"d0.311",15
"d0.312",15
"d0.313",15
"d0.314",7
"d0.315",14
"d0.316",14
"d0.317",7
"d0.318",7
"d0.319",7
"d0.320",7
"d0.321",14
"d0.322",15
"d0.323",6
"d0.324",7
"d0.325",7
"d0.326",15
"d0.327",6
"d0.328",7
"d0.329",6
"d0.330",15
"d0.331",15
"d0.332",7
"d0.333",6
"d0.334",6
"d0.335",7
"d0.336",15
"d0.337",15
"d0.338",7
"d0.339",15
"d0.340",15
"d0.341",15
"d0.342",7
"d0.343",15
"d0.344",15
"d0.345",6
"d0.346",15
"d0.347",7
"d0.348",15
"d0.349",15
"d0.350",15
"d0.351",15
"d0.352",15
"d0.353",15
"d0.354",15
"d0.355",14
"d0.356",15
"d0.357",6
"d0.358",15
"d0.359",7
"d0.360",15
"d0.361",15
"d0.362",7
"d0.363",16
"d0.364",7
"d0.365",6
"d0.366",15
"d0.367",7
"d0.368",7
"d0.369",15
"d0.370",15
"d0.371",15
"d0.372",7
"d0.373",15
"d0.374",6
"d0.375",14
"d0.376",7
"d0.377",15
"d0.378",7
"d0.379",7
"d0.380",7
"d0.381",15
"d0.382",15
"d0.383",7
"d0.384",15
"d0.385",14
"d0.386",15
"d0.387",6
"d0.388",15
"d0.389",15
"d0.390",14
"d0.391",14
"d0.392",6
"d0.393",7
"d0.394",7
"d0.395",6
"d0.396",15
"d0.397",15
"d0.398",14
"d0.399",7
"d0.400",15
"d0.401",7
"d0.402",7
"d0.403",15
"d0.404",15
"d0.405",14
"d0.406",15
"d0.407",15
"d0.408",15
"d0.409",7
"d0.410",7
"d0.411",15
"d0.412",14
"d0.413",15
"d0.414",14
"d0.415",14
"d0.416",15
"d0.417",15
"d0.418",15
"d0.419",15
"d0.420",7
"d0.421",7
"d0.422",7
"d0.423",7
"d0.424",15
"d0.425",15
"d0.426",15
"d0.427",6
"d0.428",15
"d0.429",7
"d0.430",15
"d0.431",15
"d0.432",7
"d0.433",15
"d0.434",15
"d0.435",14
"d0.436",15
"d0.437",14
"d0.438",7
"d0.439",6
"d0.440",15
"d0.441",15
"d0.442",14
"d0.443",15
"d0.444",14
"d0.445",15
"d0.446",7
"d0.447",15
"d0.448",7
"d0.449",14
"d0.450",15
"d0.451",6
"d0.452",15
"d0.453",15
"d0.454",6
"d0.455",7
"d0.456",15
"d0.457",6
"d0.458",15
"d0.459",7
"d0.460",15
"d0.461",14
"d0.462",15
"d0.463",7
"d0.464",14
"d0.465",15
"d0.466",15
"d0.467",7
"d0.468",7
"d0.469",14
"d0.470",14
"d0.471",7
"d0.472",7
"d0.473",14
"d0.474",7
"d0.475",7
"d0.476",7
"d0.477",15
"d0.478",7
"d0.479",15
"d0.480",6
"d0.481",7
"d0.482",7
"d0.483",6
"d0.484",15
"d0.485",7
"d0.486",15
"d0.487",6
"d0.488",15
"d0.489",7
"d0.490",15
"d0.491",6
"d0.492",4
"d0.493",14
"d0.494",15
"d0.495",7
"d0.496",7
"d0.497",6
"d0.498",7
"d0.499",15
"d0.500",7
"d0.501",7
"d0.502",7
"d0.503",14
"d0.504",14
"d0.505",14
"d0.506",4
"d0.507",7
"d0.508",15
"d0.509",15
"d0.510",15
"d0.511",15
"d0.512",15
"d0.513",15
"d0.514",15
"d0.515",15
"d0.516",15
"d0.517",7
"d0.518",15
"d0.519",7
"d0.520",6
"d0.521",7
"d0.522",15
"d0.523",7
"d0.524",7
"d0.525",7
"d0.526",14
"d0.527",7
"d0.528",7
"d0.529",7
"d0.530",7
"d0.531",15
"d0.532",14
"d0.533",15
"d0.534",7
"d0.535",7
"d0.536",15
"d0.537",7
"d0.538",15
"d0.539",7
"d0.540",16
"d0.541",15
"d0.542",15
"d0.543",15
"d0.544",14
"d0.545",14
"d0.546",7
"d0.547",6
"d0.548",7
"d0.549",7
"d0.550",6
"d0.551",7
"d0.552",7
"d0.553",15
"d0.554",14
"d0.555",15
"d0.556",7
"d0.557",7
"d0.558",15
"d0.559",15
"d0.560",15
"d0.561",7
"d0.562",14
"d0.563",6
"d0.564",15
"d0.565",6
"d0.566",15
"d0.567",14
"d0.568",15
"d0.569",15
"d0.570",15
"d0.571",15
"d0.572",15
"d0.573",15
"d0.574",14
"d0.575",6
"d0.576",15
"d0.577",8
"d0.578",7
"d0.579",15
"d0.580",6
"d0.581",7
"d0.582",14
"d0.583",7
"d0.584",15
"d0.585",14
"d0.586",7
"d0.587",15
"d0.588",7
"d0.589",14
"d0.590",15
"d0.591",7
"d0.592",15
"d0.593",7
"d0.594",15
"d0.595",7
"d0.596",7
"d0.597",14
"d0.598",7
"d0.599",7
"d0.600",14
"d0.601",15
"d0.602",7
"d0.603",14
"d0.604",7
"d0.605",14
"d0.606",15
"d0.607",15
"d0.608",15
"d0.609",14
"d0.610",14
"d0.611",7
"d0.612",7
"d0.613",15
"d0.614",14
"d0.615",15
"d0.616",7
"d0.617",15
"d0.618",7
"d0.619",15
"d0.620",15
"d0.621",15
"d0.622",7
"d0.623",7
"d0.624",15
"d0.625",7
"d0.626",15
"d0.627",6
"d0.628",7
"d0.629",14
"d0.630",15
"d0.631",7
"d0.632",15
"d0.633",7
"d0.634",15
"d0.635",14
"d0.636",14
"d0.637",6
"d0.638",14
"d0.639",7
"d0.640",7
"d0.641",15
"d0.642",14
"d0.643",7
"d0.644",15
"d0.645",6
"d0.646",14
"d0.647",14
"d0.648",7
"d0.649",15
"d0.650",15
"d0.651",14
"d0.652",14
"d0.653",7
"d0.654",15
"d0.655",7
"d0.656",7
"d0.657",15
"d0.658",7
"d0.659",15
"d0.660",15
"d0.661",14
"d0.662",14
"d0.663",15
"d0.664",14
"d0.665",7
"d0.666",15
"d0.667",14
"d0.668",15
"d0.669",15
"d0.670",7
"d0.671",15
"d0.672",7
"d0.673",15
"d0.674",14
"d0.675",15
"d0.676",7
"d0.677",15
"d0.678",6
"d0.679",7
"d0.680",14
"d0.681",14
"d0.682",15
"d0.683",14
"d0.684",15
"d0.685",15
"d0.686",7
"d0.687",14
"d0.688",15
"d0.689",6
"d0.690",7
"d0.691",15
"d0.692",7
"d0.693",15
"d0.694",15
"d0.695",14
"d0.696",7
"d0.697",6
"d0.698",15
"d0.699",15
"d0.700",14
"d0.701",14
"d0.702",14
"d0.703",15
"d0.704",15
"d0.705",15
"d0.706",7
"d0.707",14
"d0.708",7
"d0.709",7
"d0.710",6
"d0.711",7
"d0.712",7
"d0.713",7
"d0.714",15
"d0.715",15
"d0.716",15
"d0.717",15
"d0.718",14
"d0.719",15
"d0.720",7
"d0.721",15
"d0.722",15
"d0.723",6
"d0.724",7
"d0.725",7
"d0.726",7
"d0.727",7
"d0.728",15
"d0.729",7
"d0.730",7
"d0.731",21
"d0.732",15
"d0.733",7
"d0.734",15
"d0.735",15
"d0.736",15
"d0.737",15
"d0.738",7
"d0.739",7
"d0.740",15
"d0.741",15
"d0.742",14
"d0.743",15
"d0.744",4
"d0.745",15
"d0.746",7
"d0.747",14
"d0.748",6
"d0.749",7
"d0.750",7
"d0.751",15
"d0.752",15
"d0.753",14
"d0.754",6
"d0.755",15
"d0.756",7
"d0.757",15
"d0.758",14
