"","sc3_3_clusters"
"AT1","1"
"BP","1"
"AT2","3"
"AT1.1","1"
"AT1.2","1"
"BP.1","3"
"AT1.3","1"
"AT1.4","1"
"AT1.5","1"
"BP.2","3"
"AT1.6","1"
"BP.3","3"
"BP.4","1"
"AT1.7","1"
"AT1.8","1"
"AT1.9","1"
"AT1.10","1"
"BP.5","1"
"AT1.11","1"
"AT1.12","1"
"AT1.13","1"
"AT1.14","1"
"AT1.15","1"
"AT1.16","1"
"AT1.17","1"
"AT2.1","3"
"AT1.18","1"
"AT1.19","1"
"Clara","2"
"AT2.2","3"
"BP.6","3"
"AT1.20","1"
"AT1.21","1"
"AT1.22","1"
"AT1.23","1"
"BP.7","3"
"Clara.1","2"
"AT2.3","3"
"AT2.4","3"
"AT1.24","1"
"BP.8","3"
"Clara.2","2"
"AT1.25","1"
"Clara.3","2"
"AT2.5","3"
"AT1.26","1"
"ciliated","2"
"AT1.27","1"
"AT1.28","1"
"AT1.29","1"
"ciliated.1","2"
"BP.9","3"
"AT1.30","1"
"AT1.31","1"
"AT1.32","1"
"ciliated.2","2"
"BP.10","3"
"Clara.4","2"
"AT1.33","1"
"AT2.6","3"
"AT2.7","3"
"BP.11","3"
"AT2.8","3"
"AT2.9","3"
"Clara.5","2"
"Clara.6","2"
"BP.12","3"
"AT1.34","1"
"AT1.35","1"
"AT1.36","1"
"AT2.10","3"
"AT2.11","3"
"Clara.7","2"
"Clara.8","2"
"AT1.37","1"
"Clara.9","2"
"AT1.38","1"
"Clara.10","2"
"AT1.39","1"
"AT1.40","1"
