"","sc3_8_clusters"
"NF","5"
"NF.1","6"
"NF.2","5"
"NF.3","5"
"NF.4","6"
"NF.5","6"
"NF.6","6"
"NF.7","6"
"NF.8","6"
"NF.9","5"
"NF.10","6"
"NF.11","5"
"NF.12","5"
"NF.13","5"
"NF.14","6"
"NF.15","6"
"NF.16","6"
"NF.17","6"
"NF.18","6"
"NF.19","6"
"NF.20","6"
"NF.21","6"
"NF.22","6"
"NF.23","6"
"NF.24","6"
"NF.25","5"
"NF.26","5"
"NF.27","5"
"NF.28","6"
"NF.29","6"
"NF.30","6"
"NF.31","6"
"NF.32","6"
"NF.33","6"
"NF.34","5"
"NF.35","6"
"NF.36","5"
"NF.37","5"
"NF.38","6"
"NF.39","6"
"NF.40","6"
"NF.41","5"
"NF.42","6"
"NF.43","6"
"NF.44","6"
"NF.45","6"
"NF.46","6"
"NF.47","6"
"NF.48","6"
"NF.49","6"
"NF.50","5"
"NF.51","6"
"NF.52","6"
"NF.53","6"
"NF.54","5"
"NF.55","5"
"NF.56","5"
"NF.57","5"
"NF.58","6"
"NF.59","5"
"NF.60","5"
"NF.61","6"
"NF.62","5"
"NF.63","5"
"NF.64","5"
"NF.65","5"
"NF.66","6"
"NF.67","6"
"NF.68","6"
"NF.69","5"
"NF.70","5"
"NF.71","5"
"NF.72","6"
"NF.73","6"
"NF.74","6"
"NF.75","5"
"NF.76","6"
"NF.77","5"
"NF.78","6"
"NF.79","6"
"NF.80","6"
"NF.81","5"
"NF.82","6"
"NF.83","5"
"NF.84","5"
"NF.85","6"
"NF.86","6"
"NF.87","6"
"NF.88","6"
"NF.89","6"
"NF.90","5"
"NF.91","6"
"NF.92","5"
"NF.93","5"
"NF.94","5"
"NF.95","5"
"NF.96","6"
"NF.97","5"
"NF.98","5"
"NF.99","6"
"NF.100","6"
"NF.101","6"
"NF.102","6"
"NF.103","6"
"NF.104","5"
"NF.105","6"
"NF.106","2"
"NF.107","6"
"NF.108","6"
"NF.109","6"
"NF.110","6"
"NF.111","6"
"NF.112","6"
"NF.113","6"
"NF.114","6"
"NF.115","6"
"NF.116","6"
"NF.117","5"
"NF.118","6"
"NF.119","5"
"NF.120","6"
"NF.121","5"
"NF.122","6"
"NF.123","6"
"NF.124","6"
"NF.125","5"
"NF.126","6"
"NF.127","6"
"NF.128","5"
"NF.129","5"
"NF.130","6"
"NF.131","6"
"NF.132","5"
"NF.133","6"
"NF.134","5"
"NF.135","6"
"NF.136","6"
"NF.137","6"
"NF.138","6"
"NP","3"
"NP.1","3"
"NP.2","3"
"NP.3","3"
"NP.4","3"
"NP.5","3"
"NP.6","7"
"NP.7","3"
"NP.8","3"
"NP.9","7"
"NP.10","3"
"NP.11","8"
"NP.12","3"
"NP.13","3"
"NP.14","3"
"NP.15","7"
"NP.16","3"
"NP.17","3"
"NP.18","3"
"NP.19","3"
"NP.20","3"
"NP.21","7"
"NP.22","7"
"NP.23","3"
"NP.24","7"
"NP.25","7"
"NP.26","3"
"NP.27","3"
"NP.28","3"
"NP.29","7"
"NP.30","3"
"NP.31","3"
"NP.32","3"
"NP.33","7"
"NP.34","3"
"NP.35","3"
"NP.36","3"
"NP.37","3"
"NP.38","3"
"NP.39","3"
"NP.40","7"
"NP.41","7"
"NP.42","3"
"NP.43","7"
"NP.44","3"
"NP.45","3"
"NP.46","3"
"NP.47","3"
"NP.48","3"
"NP.49","7"
"NP.50","4"
"NP.51","3"
"NP.52","3"
"NP.53","3"
"NP.54","4"
"NP.55","3"
"NP.56","3"
"NP.57","4"
"NP.58","3"
"NP.59","3"
"NP.60","3"
"NP.61","3"
"NP.62","3"
"NP.63","7"
"NP.64","3"
"NP.65","3"
"NP.66","3"
"NP.67","7"
"NP.68","3"
"NP.69","3"
"NP.70","3"
"NP.71","3"
"NP.72","3"
"NP.73","3"
"NP.74","3"
"NP.75","7"
"NP.76","7"
"NP.77","3"
"NP.78","3"
"NP.79","3"
"NP.80","7"
"NP.81","3"
"NP.82","3"
"NP.83","3"
"NP.84","3"
"NP.85","3"
"NP.86","7"
"NP.87","3"
"NP.88","3"
"NP.89","3"
"NP.90","7"
"NP.91","7"
"NP.92","7"
"NP.93","3"
"NP.94","7"
"NP.95","7"
"NP.96","3"
"NP.97","3"
"NP.98","3"
"NP.99","3"
"NP.100","3"
"NP.101","3"
"NP.102","3"
"NP.103","7"
"NP.104","3"
"NP.105","3"
"NP.106","7"
"NP.107","7"
"NP.108","3"
"NP.109","3"
"NP.110","4"
"NP.111","3"
"NP.112","3"
"NP.113","3"
"NP.114","3"
"NP.115","3"
"NP.116","3"
"NP.117","3"
"NP.118","3"
"NP.119","3"
"NP.120","3"
"NP.121","3"
"NP.122","3"
"NP.123","3"
"NP.124","3"
"NP.125","3"
"NP.126","3"
"NP.127","3"
"NP.128","3"
"NP.129","4"
"NP.130","3"
"NP.131","3"
"NP.132","3"
"NP.133","3"
"NP.134","3"
"NP.135","3"
"NP.136","3"
"NP.137","3"
"NP.138","7"
"NP.139","3"
"NP.140","7"
"NP.141","3"
"NP.142","7"
"NP.143","4"
"NP.144","3"
"NP.145","8"
"NP.146","4"
"NP.147","7"
"NP.148","8"
"NP.149","4"
"NP.150","7"
"NP.151","4"
"NP.152","3"
"NP.153","3"
"NP.154","3"
"NP.155","7"
"NP.156","3"
"NP.157","3"
"NP.158","7"
"NP.159","3"
"NP.160","3"
"NP.161","3"
"NP.162","3"
"NP.163","3"
"NP.164","3"
"NP.165","3"
"NP.166","3"
"NP.167","7"
"NP.168","3"
"PEP","6"
"PEP.1","8"
"PEP.2","8"
"PEP.3","6"
"PEP.4","8"
"PEP.5","6"
"PEP.6","8"
"PEP.7","8"
"PEP.8","8"
"PEP.9","8"
"PEP.10","8"
"PEP.11","6"
"PEP.12","8"
"PEP.13","8"
"PEP.14","8"
"PEP.15","8"
"PEP.16","8"
"PEP.17","8"
"PEP.18","8"
"PEP.19","8"
"PEP.20","8"
"PEP.21","8"
"PEP.22","8"
"PEP.23","6"
"PEP.24","6"
"PEP.25","8"
"PEP.26","6"
"PEP.27","8"
"PEP.28","6"
"PEP.29","6"
"PEP.30","6"
"PEP.31","8"
"PEP.32","2"
"PEP.33","6"
"PEP.34","8"
"PEP.35","8"
"PEP.36","8"
"PEP.37","8"
"PEP.38","6"
"PEP.39","8"
"PEP.40","8"
"PEP.41","8"
"PEP.42","6"
"PEP.43","8"
"PEP.44","8"
"PEP.45","8"
"PEP.46","8"
"PEP.47","8"
"PEP.48","8"
"PEP.49","8"
"PEP.50","8"
"PEP.51","2"
"PEP.52","8"
"PEP.53","8"
"PEP.54","6"
"PEP.55","8"
"PEP.56","8"
"PEP.57","8"
"PEP.58","8"
"PEP.59","8"
"PEP.60","2"
"PEP.61","8"
"PEP.62","8"
"PEP.63","8"
"PEP.64","2"
"PEP.65","8"
"PEP.66","5"
"PEP.67","6"
"PEP.68","5"
"PEP.69","8"
"PEP.70","8"
"PEP.71","8"
"PEP.72","7"
"PEP.73","8"
"PEP.74","8"
"PEP.75","8"
"PEP.76","8"
"PEP.77","8"
"PEP.78","6"
"PEP.79","8"
"PEP.80","6"
"TH","1"
"TH.1","1"
"TH.2","1"
"TH.3","1"
"TH.4","1"
"TH.5","1"
"TH.6","1"
"TH.7","1"
"TH.8","1"
"TH.9","1"
"TH.10","1"
"TH.11","1"
"TH.12","1"
"TH.13","1"
"TH.14","1"
"TH.15","1"
"TH.16","1"
"TH.17","1"
"TH.18","1"
"TH.19","1"
"TH.20","1"
"TH.21","1"
"TH.22","1"
"TH.23","1"
"TH.24","1"
"TH.25","1"
"TH.26","1"
"TH.27","1"
"TH.28","1"
"TH.29","1"
"TH.30","1"
"TH.31","1"
"TH.32","1"
"TH.33","1"
"TH.34","1"
"TH.35","1"
"TH.36","1"
"TH.37","1"
"TH.38","1"
"TH.39","1"
"TH.40","1"
"TH.41","1"
"TH.42","1"
"TH.43","1"
"TH.44","1"
"TH.45","1"
"TH.46","1"
"TH.47","1"
"TH.48","1"
"TH.49","1"
"TH.50","1"
"TH.51","1"
"TH.52","1"
"TH.53","1"
"TH.54","1"
"TH.55","1"
"TH.56","1"
"TH.57","1"
"TH.58","1"
"TH.59","1"
"TH.60","1"
"TH.61","1"
"TH.62","1"
"TH.63","1"
"TH.64","1"
"TH.65","1"
"TH.66","1"
"TH.67","1"
"TH.68","1"
"TH.69","1"
"TH.70","1"
"TH.71","1"
"TH.72","1"
"TH.73","1"
"TH.74","1"
"TH.75","1"
"TH.76","1"
"TH.77","1"
"TH.78","1"
"TH.79","1"
"TH.80","1"
"TH.81","1"
"TH.82","1"
"TH.83","1"
"TH.84","1"
"TH.85","1"
"TH.86","1"
"TH.87","1"
"TH.88","1"
"TH.89","1"
"TH.90","1"
"TH.91","1"
"TH.92","1"
"TH.93","1"
"TH.94","1"
"TH.95","1"
"TH.96","1"
"TH.97","1"
"TH.98","1"
"TH.99","1"
"TH.100","1"
"TH.101","1"
"TH.102","1"
"TH.103","1"
"TH.104","1"
"TH.105","1"
"TH.106","1"
"TH.107","1"
"TH.108","1"
"TH.109","1"
"TH.110","1"
"TH.111","1"
"TH.112","1"
"TH.113","1"
"TH.114","1"
"TH.115","1"
"TH.116","1"
"TH.117","1"
"TH.118","1"
"TH.119","1"
"TH.120","1"
"TH.121","1"
"TH.122","1"
"TH.123","1"
"TH.124","1"
"TH.125","1"
"TH.126","1"
"TH.127","1"
"TH.128","1"
"TH.129","1"
"TH.130","1"
"TH.131","1"
"TH.132","1"
"TH.133","1"
"TH.134","1"
"TH.135","1"
"TH.136","1"
"TH.137","1"
"TH.138","1"
"TH.139","1"
"TH.140","1"
"TH.141","1"
"TH.142","1"
"TH.143","1"
"TH.144","1"
"TH.145","1"
"TH.146","1"
"TH.147","1"
"TH.148","1"
"TH.149","1"
"TH.150","1"
"TH.151","1"
"TH.152","1"
"TH.153","1"
"TH.154","1"
"TH.155","1"
"TH.156","1"
"TH.157","1"
"TH.158","1"
"TH.159","1"
"TH.160","1"
"TH.161","1"
"TH.162","1"
"TH.163","1"
"TH.164","1"
"TH.165","1"
"TH.166","1"
"TH.167","1"
"TH.168","1"
"TH.169","1"
"TH.170","1"
"TH.171","1"
"TH.172","1"
"TH.173","1"
"TH.174","1"
"TH.175","1"
"TH.176","1"
"TH.177","1"
"TH.178","1"
"TH.179","1"
"TH.180","1"
"TH.181","1"
"TH.182","1"
"TH.183","1"
"TH.184","1"
"TH.185","1"
"TH.186","1"
"TH.187","1"
"TH.188","1"
"TH.189","1"
"TH.190","1"
"TH.191","1"
"TH.192","1"
"TH.193","1"
"TH.194","1"
"TH.195","1"
"TH.196","1"
"TH.197","1"
"TH.198","1"
"TH.199","1"
"TH.200","1"
"TH.201","1"
"TH.202","1"
"TH.203","1"
"TH.204","1"
"TH.205","1"
"TH.206","1"
"TH.207","1"
"TH.208","1"
"TH.209","1"
"TH.210","1"
"TH.211","1"
"TH.212","1"
"TH.213","1"
"TH.214","1"
"TH.215","1"
"TH.216","1"
"TH.217","1"
"TH.218","1"
"TH.219","1"
"TH.220","1"
"TH.221","1"
"TH.222","1"
"TH.223","1"
"TH.224","1"
"TH.225","1"
"TH.226","1"
"TH.227","1"
"TH.228","1"
"TH.229","1"
"TH.230","1"
"TH.231","1"
"TH.232","1"
