"","sc3_3_clusters"
"Oocyte","2"
"Oocyte.1","2"
"Oocyte.2","2"
"Zygote","2"
"Zygote.1","2"
"Zygote.2","2"
"X2.cell.embryo","2"
"X2.cell.embryo.1","2"
"X2.cell.embryo.2","2"
"X2.cell.embryo.3","2"
"X2.cell.embryo.4","2"
"X2.cell.embryo.5","2"
"X4.cell.embryo","2"
"X4.cell.embryo.1","2"
"X4.cell.embryo.2","2"
"X4.cell.embryo.3","2"
"X4.cell.embryo.4","2"
"X4.cell.embryo.5","2"
"X4.cell.embryo.6","2"
"X4.cell.embryo.7","2"
"X4.cell.embryo.8","2"
"X4.cell.embryo.9","2"
"X4.cell.embryo.10","2"
"X4.cell.embryo.11","2"
"X8.cell.embryo","3"
"X8.cell.embryo.1","3"
"X8.cell.embryo.2","3"
"X8.cell.embryo.3","3"
"X8.cell.embryo.4","3"
"X8.cell.embryo.5","3"
"X8.cell.embryo.6","3"
"X8.cell.embryo.7","3"
"X8.cell.embryo.8","3"
"X8.cell.embryo.9","3"
"X8.cell.embryo.10","3"
"X8.cell.embryo.11","3"
"X8.cell.embryo.12","3"
"X8.cell.embryo.13","3"
"X8.cell.embryo.14","3"
"X8.cell.embryo.15","3"
"X8.cell.embryo.16","3"
"X8.cell.embryo.17","3"
"X8.cell.embryo.18","3"
"X8.cell.embryo.19","3"
"Morulae","3"
"Morulae.1","3"
"Morulae.2","3"
"Morulae.3","3"
"Morulae.4","3"
"Morulae.5","3"
"Morulae.6","3"
"Morulae.7","3"
"Morulae.8","3"
"Morulae.9","3"
"Morulae.10","3"
"Morulae.11","3"
"Morulae.12","3"
"Morulae.13","3"
"Morulae.14","3"
"Morulae.15","3"
"Late.blastocyst","1"
"Late.blastocyst.1","1"
"Late.blastocyst.2","1"
"Late.blastocyst.3","1"
"Late.blastocyst.4","1"
"Late.blastocyst.5","1"
"Late.blastocyst.6","1"
"Late.blastocyst.7","1"
"Late.blastocyst.8","1"
"Late.blastocyst.9","1"
"Late.blastocyst.10","1"
"Late.blastocyst.11","1"
"Late.blastocyst.12","1"
"Late.blastocyst.13","1"
"Late.blastocyst.14","1"
"Late.blastocyst.15","1"
"Late.blastocyst.16","1"
"Late.blastocyst.17","1"
"Late.blastocyst.18","1"
"Late.blastocyst.19","1"
"Late.blastocyst.20","1"
"Late.blastocyst.21","1"
"Late.blastocyst.22","1"
"Late.blastocyst.23","1"
"Late.blastocyst.24","1"
"Late.blastocyst.25","1"
"Late.blastocyst.26","1"
"Late.blastocyst.27","1"
"Late.blastocyst.28","1"
"Late.blastocyst.29","1"
