"","sc3_25_clusters"
"Interneurons","23"
"Interneurons.1","22"
"Interneurons.2","22"
"Interneurons.3","22"
"Interneurons.4","22"
"Interneurons.5","22"
"Interneurons.6","22"
"Interneurons.7","22"
"Interneurons.8","23"
"Interneurons.9","22"
"Interneurons.10","22"
"Interneurons.11","22"
"Interneurons.12","22"
"Interneurons.13","22"
"Interneurons.14","22"
"Interneurons.15","22"
"Interneurons.16","22"
"Interneurons.17","22"
"Interneurons.18","22"
"Interneurons.19","23"
"Interneurons.20","23"
"Interneurons.21","23"
"Interneurons.22","23"
"Interneurons.23","23"
"Interneurons.24","13"
"Interneurons.25","23"
"Interneurons.26","23"
"Interneurons.27","23"
"Interneurons.28","23"
"Interneurons.29","23"
"Interneurons.30","23"
"Interneurons.31","23"
"Interneurons.32","23"
"Interneurons.33","23"
"Interneurons.34","23"
"Interneurons.35","23"
"Interneurons.36","23"
"Interneurons.37","23"
"Interneurons.38","23"
"Interneurons.39","23"
"Interneurons.40","23"
"Interneurons.41","23"
"Interneurons.42","23"
"Interneurons.43","23"
"Interneurons.44","23"
"Interneurons.45","23"
"Interneurons.46","22"
"Interneurons.47","22"
"Interneurons.48","22"
"Interneurons.49","22"
"Interneurons.50","22"
"Interneurons.51","22"
"Interneurons.52","23"
"Interneurons.53","22"
"Interneurons.54","23"
"Interneurons.55","22"
"Interneurons.56","22"
"Interneurons.57","22"
"Interneurons.58","22"
"Interneurons.59","22"
"Interneurons.60","23"
"Interneurons.61","23"
"Interneurons.62","22"
"Interneurons.63","22"
"Interneurons.64","22"
"Interneurons.65","22"
"Interneurons.66","22"
"Interneurons.67","22"
"Interneurons.68","22"
"Interneurons.69","22"
"Interneurons.70","22"
"Interneurons.71","22"
"Interneurons.72","23"
"Interneurons.73","23"
"Interneurons.74","23"
"Interneurons.75","23"
"Interneurons.76","23"
"Interneurons.77","23"
"Interneurons.78","23"
"Interneurons.79","23"
"Interneurons.80","23"
"Interneurons.81","23"
"Interneurons.82","23"
"Interneurons.83","23"
"Interneurons.84","23"
