"","x"
"1",5
"2",5
"3",5
"4",5
"5",5
"6",5
"7",7
"8",5
"9",5
"10",5
"11",5
"12",5
"13",7
"14",9
"15",2
"16",6
"17",7
"18",5
"19",1
"20",7
"21",7
"22",7
"23",7
"24",7
"25",7
"26",7
"27",7
"28",5
"29",4
"30",7
"31",7
"32",7
"33",7
"34",8
"35",7
"36",5
"37",7
"38",7
"39",2
"40",8
"41",6
"42",7
"43",7
"44",6
"45",6
"46",6
"47",5
"48",6
"49",7
"50",7
"51",8
"52",6
"53",4
"54",7
"55",7
"56",9
"57",7
"58",7
"59",7
"60",2
"61",1
"62",7
"63",2
"64",1
"65",7
"66",5
"67",7
"68",7
"69",8
"70",7
"71",2
"72",2
"73",7
"74",2
"75",7
"76",7
"77",7
"78",2
"79",7
"80",7
"81",7
"82",8
"83",7
"84",4
"85",6
"86",8
"87",7
"88",7
"89",2
"90",7
"91",7
"92",7
"93",7
"94",8
"95",7
"96",2
"97",7
"98",8
"99",8
"100",7
"101",8
"102",7
"103",7
"104",7
"105",8
"106",7
"107",8
"108",7
"109",5
"110",8
"111",7
"112",2
"113",8
"114",7
"115",7
"116",8
"117",8
"118",8
"119",7
"120",2
"121",7
"122",9
"123",8
"124",2
"125",7
"126",7
"127",8
"128",7
"129",8
"130",8
"131",7
"132",8
"133",7
"134",5
"135",7
"136",7
"137",7
"138",7
"139",7
"140",8
"141",2
"142",7
"143",7
"144",8
"145",7
"146",8
"147",2
"148",1
"149",1
"150",7
"151",2
"152",7
"153",7
"154",7
"155",7
"156",6
"157",7
"158",7
"159",7
"160",8
"161",7
"162",7
"163",8
"164",7
"165",7
"166",8
"167",2
"168",7
"169",7
"170",7
"171",4
"172",2
"173",4
"174",7
"175",7
"176",7
"177",4
"178",7
"179",8
"180",4
"181",7
"182",5
"183",7
"184",8
"185",7
"186",7
"187",7
"188",9
"189",8
"190",7
"191",8
"192",8
"193",8
"194",7
"195",8
"196",2
"197",7
"198",7
"199",7
"200",7
"201",8
"202",8
"203",1
"204",7
"205",7
"206",7
"207",1
"208",7
"209",1
"210",7
"211",8
"212",8
"213",7
"214",8
"215",6
"216",1
"217",1
"218",9
"219",6
"220",8
"221",8
"222",8
"223",7
"224",7
"225",7
"226",7
"227",7
"228",7
"229",8
"230",1
"231",7
"232",8
"233",8
"234",2
"235",8
"236",8
"237",6
"238",7
"239",8
"240",8
"241",7
"242",3
"243",2
"244",5
"245",8
"246",8
"247",8
"248",7
"249",7
"250",9
"251",7
"252",8
"253",7
"254",8
"255",8
"256",8
"257",8
"258",7
"259",8
"260",7
"261",1
"262",8
"263",7
"264",7
"265",8
"266",8
"267",2
"268",7
"269",3
"270",7
"271",8
"272",7
"273",6
"274",7
"275",8
"276",7
"277",7
"278",1
"279",7
"280",7
"281",8
"282",8
"283",8
"284",5
"285",7
"286",3
"287",8
"288",3
"289",9
"290",7
"291",7
"292",7
"293",2
"294",2
"295",7
"296",7
"297",7
"298",1
"299",7
"300",7
"301",8
"302",9
"303",8
"304",8
"305",8
"306",7
"307",8
"308",8
"309",7
"310",7
"311",2
"312",7
"313",8
"314",8
"315",8
"316",7
"317",7
"318",8
"319",7
"320",7
"321",8
"322",7
"323",7
"324",7
"325",6
"326",7
"327",7
"328",7
"329",8
"330",1
"331",2
"332",7
"333",7
"334",7
"335",7
"336",2
"337",8
"338",8
"339",7
"340",2
"341",8
"342",1
"343",5
"344",7
"345",7
"346",7
"347",8
"348",7
"349",8
"350",6
"351",2
"352",8
"353",8
"354",7
"355",9
"356",8
"357",7
"358",1
"359",8
"360",9
"361",9
"362",7
"363",8
"364",8
"365",8
"366",7
"367",8
"368",8
"369",8
"370",8
"371",5
"372",4
"373",7
"374",1
"375",9
"376",8
"377",1
"378",8
"379",8
"380",9
"381",8
"382",4
"383",3
"384",9
"385",7
"386",2
"387",8
"388",8
"389",7
"390",8
"391",8
"392",8
"393",8
"394",2
"395",7
"396",8
"397",8
"398",3
"399",3
"400",8
"401",8
"402",2
"403",7
"404",3
"405",7
"406",7
"407",3
"408",9
"409",2
"410",1
"411",9
"412",1
"413",4
"414",8
"415",4
"416",8
"417",4
"418",8
"419",8
"420",9
"421",4
"422",9
"423",9
"424",8
"425",8
"426",8
"427",7
"428",9
"429",2
"430",2
"431",7
"432",3
"433",7
"434",8
"435",8
"436",5
"437",5
"438",7
"439",3
"440",1
"441",8
"442",8
"443",1
"444",4
"445",9
"446",8
"447",2
"448",8
"449",1
"450",3
"451",7
"452",3
"453",5
"454",8
"455",3
"456",9
"457",9
"458",7
"459",3
"460",7
"461",4
"462",3
"463",9
"464",9
"465",8
"466",4
"467",8
"468",8
"469",8
"470",7
"471",8
"472",8
"473",7
"474",8
"475",8
"476",7
"477",1
"478",3
"479",8
"480",9
"481",4
"482",8
"483",8
"484",7
"485",3
"486",8
"487",7
"488",8
"489",3
"490",8
"491",7
"492",8
"493",8
"494",7
"495",3
"496",2
"497",9
"498",9
"499",9
"500",9
"501",8
"502",8
"503",8
"504",2
"505",9
"506",3
"507",9
"508",7
"509",9
"510",3
"511",7
"512",7
"513",3
"514",8
