"","x"
"1",7
"2",7
"3",7
"4",7
"5",7
"6",7
"7",3
"8",7
"9",7
"10",7
"11",7
"12",7
"13",1
"14",2
"15",3
"16",4
"17",3
"18",7
"19",5
"20",3
"21",3
"22",1
"23",5
"24",3
"25",2
"26",1
"27",3
"28",4
"29",7
"30",3
"31",2
"32",2
"33",2
"34",2
"35",3
"36",7
"37",3
"38",3
"39",3
"40",2
"41",4
"42",3
"43",2
"44",4
"45",4
"46",4
"47",7
"48",4
"49",2
"50",3
"51",2
"52",3
"53",7
"54",3
"55",3
"56",4
"57",3
"58",3
"59",3
"60",6
"61",5
"62",1
"63",6
"64",5
"65",6
"66",7
"67",1
"68",3
"69",2
"70",1
"71",6
"72",6
"73",3
"74",2
"75",3
"76",3
"77",2
"78",3
"79",3
"80",3
"81",3
"82",3
"83",3
"84",7
"85",4
"86",2
"87",2
"88",3
"89",6
"90",3
"91",3
"92",3
"93",3
"94",2
"95",3
"96",6
"97",3
"98",2
"99",2
"100",3
"101",3
"102",1
"103",1
"104",2
"105",3
"106",3
"107",6
"108",2
"109",7
"110",1
"111",3
"112",3
"113",2
"114",3
"115",3
"116",3
"117",2
"118",3
"119",2
"120",3
"121",3
"122",3
"123",2
"124",3
"125",3
"126",3
"127",2
"128",3
"129",2
"130",3
"131",1
"132",6
"133",3
"134",7
"135",1
"136",3
"137",3
"138",1
"139",3
"140",2
"141",6
"142",3
"143",3
"144",3
"145",3
"146",3
"147",5
"148",5
"149",3
"150",3
"151",3
"152",3
"153",2
"154",3
"155",4
"156",3
"157",1
"158",2
"159",1
"160",3
"161",3
"162",3
"163",6
"164",6
"165",3
"166",3
"167",3
"168",7
"169",6
"170",7
"171",3
"172",3
"173",7
"174",2
"175",3
"176",2
"177",3
"178",5
"179",1
"180",3
"181",1
"182",3
"183",1
"184",3
"185",3
"186",3
"187",1
"188",2
"189",1
"190",2
"191",3
"192",1
"193",3
"194",3
"195",1
"196",1
"197",5
"198",3
"199",1
"200",3
"201",1
"202",5
"203",2
"204",3
"205",3
"206",4
"207",5
"208",5
"209",6
"210",4
"211",3
"212",2
"213",3
"214",3
"215",3
"216",3
"217",2
"218",5
"219",3
"220",2
"221",3
"222",2
"223",3
"224",4
"225",3
"226",3
"227",1
"228",3
"229",4
"230",3
"231",7
"232",2
"233",3
"234",1
"235",3
"236",4
"237",3
"238",2
"239",3
"240",3
"241",6
"242",5
"243",1
"244",3
"245",3
"246",3
"247",2
"248",4
"249",1
"250",2
"251",1
"252",2
"253",3
"254",1
"255",5
"256",1
"257",2
"258",3
"259",3
"260",5
"261",2
"262",4
"263",4
"264",3
"265",6
"266",3
"267",3
