"","x"
"1",8
"2",8
"3",8
"4",8
"5",13
"6",13
"7",6
"8",13
"9",13
"10",6
"11",6
"12",6
"13",10
"14",10
"15",6
"16",6
"17",10
"18",10
"19",10
"20",10
"21",10
"22",10
"23",10
"24",10
"25",3
"26",3
"27",3
"28",3
"29",3
"30",3
"31",3
"32",3
"33",3
"34",3
"35",1
"36",9
"37",9
"38",9
"39",9
"40",9
"41",9
"42",9
"43",9
"44",9
"45",9
"46",9
"47",1
"48",9
"49",12
"50",12
"51",12
"52",12
"53",12
"54",12
"55",12
"56",12
"57",12
"58",12
"59",12
"60",12
"61",12
"62",12
"63",12
"64",12
"65",12
"66",12
"67",12
"68",12
"69",12
"70",12
"71",12
"72",12
"73",12
"74",12
"75",12
"76",12
"77",2
"78",2
"79",2
"80",2
"81",2
"82",2
"83",2
"84",2
"85",2
"86",12
"87",12
"88",12
"89",12
"90",12
"91",12
"92",12
"93",12
"94",12
"95",12
"96",12
"97",12
"98",12
"99",12
"100",12
"101",12
"102",12
"103",6
"104",12
"105",12
"106",12
"107",12
"108",12
"109",12
"110",12
"111",12
"112",12
"113",12
"114",12
"115",12
"116",12
"117",12
"118",12
"119",12
"120",12
"121",12
"122",12
"123",12
"124",12
"125",12
"126",12
"127",12
"128",12
"129",12
"130",12
"131",12
"132",12
"133",12
"134",12
"135",12
"136",7
"137",5
"138",5
"139",4
"140",11
"141",11
"142",11
"143",7
"144",11
"145",7
"146",7
"147",4
"148",7
"149",7
"150",7
"151",7
"152",11
"153",7
"154",7
"155",5
"156",5
"157",11
"158",5
"159",11
"160",11
"161",11
"162",11
"163",5
"164",11
"165",11
"166",7
"167",11
"168",7
"169",11
"170",11
"171",11
"172",7
"173",7
"174",5
"175",5
"176",11
"177",7
"178",7
"179",11
"180",5
"181",7
"182",11
"183",11
"184",7
"185",7
"186",7
"187",11
"188",5
"189",11
"190",11
"191",11
"192",5
"193",11
"194",11
"195",5
"196",11
"197",11
"198",11
"199",11
"200",11
"201",11
"202",11
"203",5
"204",7
"205",11
"206",11
"207",11
"208",11
"209",7
"210",11
"211",11
"212",11
"213",11
"214",11
"215",7
"216",11
"217",7
"218",5
"219",11
"220",11
"221",7
"222",5
"223",11
"224",5
"225",11
"226",7
"227",11
"228",5
"229",7
"230",7
"231",7
"232",7
"233",7
"234",7
"235",7
"236",7
"237",7
"238",5
"239",11
"240",11
"241",5
"242",4
"243",4
"244",4
"245",4
"246",4
"247",4
"248",5
"249",11
"250",4
"251",11
"252",7
"253",11
"254",4
"255",4
"256",4
"257",4
"258",4
"259",4
"260",4
"261",4
"262",5
"263",4
"264",4
"265",4
"266",4
"267",4
"268",4
