"","x"
"1",2
"2",2
"3",2
"4",2
"5",1
"6",2
"7",2
"8",1
"9",2
"10",2
"11",4
"12",4
"13",1
"14",2
"15",2
"16",1
"17",2
"18",2
"19",2
"20",2
"21",2
"22",3
"23",2
"24",2
"25",2
"26",2
"27",1
"28",2
"29",2
"30",2
"31",2
"32",2
"33",2
"34",2
"35",2
"36",2
"37",1
"38",2
"39",3
"40",2
"41",2
"42",1
"43",4
"44",2
"45",2
"46",2
"47",2
"48",2
"49",2
"50",2
"51",2
"52",2
"53",2
"54",2
"55",1
"56",2
"57",2
"58",3
"59",2
"60",2
"61",2
"62",2
"63",3
"64",2
"65",2
"66",2
"67",1
"68",2
"69",2
"70",2
"71",2
"72",3
"73",2
"74",2
"75",2
"76",3
"77",2
"78",2
"79",2
"80",2
"81",2
"82",3
"83",1
"84",2
"85",2
"86",1
"87",1
"88",2
"89",1
"90",2
"91",2
"92",4
"93",2
"94",2
"95",2
"96",2
"97",2
"98",2
"99",2
"100",2
"101",2
"102",1
"103",2
"104",4
"105",2
"106",2
"107",2
"108",2
"109",1
"110",2
"111",2
"112",3
"113",2
"114",1
"115",2
"116",2
"117",2
"118",1
"119",2
"120",2
"121",4
"122",2
"123",2
"124",2
"125",2
"126",2
"127",1
"128",2
"129",2
"130",2
"131",2
"132",2
"133",2
"134",2
"135",2
"136",2
"137",1
"138",2
"139",2
"140",2
"141",4
"142",2
"143",2
"144",2
"145",1
"146",2
"147",2
"148",2
"149",2
"150",2
"151",2
"152",2
"153",2
"154",2
"155",2
"156",3
"157",3
"158",2
"159",2
"160",3
"161",1
"162",2
"163",2
"164",3
"165",2
"166",4
"167",1
"168",1
"169",2
"170",2
"171",2
"172",2
"173",3
"174",1
"175",2
"176",2
"177",2
"178",3
"179",2
"180",2
"181",2
"182",3
"183",2
"184",2
"185",2
"186",3
"187",2
"188",2
"189",2
"190",2
"191",2
"192",1
"193",2
"194",5
"195",2
"196",2
"197",2
"198",2
"199",2
"200",2
"201",4
"202",2
"203",2
"204",3
"205",1
"206",2
"207",2
"208",2
"209",2
"210",2
"211",2
"212",2
"213",1
"214",2
