"","x"
"1",2
"2",8
"3",2
"4",2
"5",6
"6",8
"7",6
"8",8
"9",8
"10",6
"11",8
"12",8
"13",8
"14",8
"15",4
"16",8
"17",6
"18",4
"19",4
"20",8
"21",4
"22",2
"23",8
"24",8
"25",8
"26",8
"27",6
"28",8
"29",8
"30",8
"31",8
"32",8
"33",6
"34",8
"35",8
"36",8
"37",2
"38",2
"39",6
"40",2
"41",2
"42",4
"43",8
"44",2
"45",6
"46",2
"47",2
"48",2
"49",7
"50",8
"51",6
"52",4
"53",6
"54",8
"55",8
"56",8
"57",8
"58",8
"59",4
"60",8
"61",8
"62",8
"63",6
"64",8
"65",8
"66",8
"67",8
"68",6
"69",8
"70",8
"71",2
"72",8
"73",6
"74",8
"75",8
"76",6
"77",8
"78",2
"79",2
"80",4
"81",8
"82",8
"83",6
"84",8
"85",6
"86",4
"87",6
"88",6
"89",6
"90",7
"91",4
"92",6
"93",2
"94",6
"95",6
"96",8
"97",6
"98",6
"99",6
"100",6
"101",4
"102",6
"103",6
"104",6
"105",6
"106",6
"107",4
"108",6
"109",4
"110",6
"111",6
"112",6
"113",6
"114",8
"115",4
"116",6
"117",4
"118",6
"119",6
"120",6
"121",4
"122",6
"123",6
"124",6
"125",6
"126",6
"127",6
"128",6
"129",6
"130",6
"131",6
"132",6
"133",6
"134",4
"135",8
"136",6
"137",4
"138",6
"139",6
"140",6
"141",6
"142",4
"143",4
"144",2
"145",4
"146",4
"147",6
"148",4
"149",4
"150",4
"151",4
"152",4
"153",4
"154",4
"155",6
"156",6
"157",6
"158",4
"159",4
"160",4
"161",4
"162",4
"163",4
"164",4
"165",4
"166",6
"167",6
"168",4
"169",4
"170",4
"171",4
"172",6
"173",6
"174",4
"175",4
"176",4
"177",8
"178",4
"179",4
"180",4
"181",4
"182",2
"183",4
"184",4
"185",4
"186",4
"187",4
"188",8
"189",4
"190",8
"191",6
"192",4
"193",4
"194",4
"195",4
"196",4
"197",4
"198",4
"199",4
"200",4
"201",4
"202",4
"203",4
"204",4
"205",4
"206",4
"207",4
"208",4
"209",4
"210",8
"211",4
"212",4
"213",8
"214",2
"215",4
"216",6
"217",4
"218",4
"219",4
"220",6
"221",6
"222",4
"223",4
"224",4
"225",4
"226",4
"227",4
"228",4
"229",4
"230",4
"231",6
"232",4
"233",7
"234",7
"235",4
"236",8
"237",6
"238",4
"239",4
"240",4
"241",5
"242",4
"243",6
"244",4
"245",4
"246",2
"247",6
"248",6
"249",2
"250",4
"251",4
"252",4
"253",4
"254",4
"255",6
"256",4
"257",4
"258",4
"259",6
"260",4
"261",4
"262",8
"263",4
"264",4
"265",4
"266",4
"267",4
"268",4
"269",4
"270",2
"271",2
"272",6
"273",4
"274",4
"275",4
"276",4
"277",4
"278",4
"279",4
"280",8
"281",4
"282",8
"283",4
"284",4
"285",9
"286",8
"287",4
"288",8
"289",4
"290",7
"291",6
"292",6
"293",4
"294",6
"295",4
"296",2
"297",2
"298",2
"299",2
"300",2
"301",2
"302",8
"303",2
"304",2
"305",8
"306",2
"307",6
"308",2
"309",8
"310",2
"311",2
"312",4
"313",2
"314",2
"315",2
"316",2
"317",2
"318",2
"319",2
"320",8
"321",2
"322",2
"323",2
"324",2
"325",2
"326",4
"327",2
"328",2
"329",2
"330",2
"331",2
"332",2
"333",4
"334",6
"335",2
"336",8
"337",8
"338",2
"339",6
"340",2
"341",2
"342",2
"343",4
"344",4
"345",2
"346",2
"347",2
"348",2
"349",2
"350",2
"351",2
"352",6
"353",2
"354",2
"355",2
"356",2
"357",2
"358",8
"359",2
"360",6
"361",2
"362",2
"363",6
"364",2
"365",2
"366",1
"367",6
"368",2
"369",8
"370",4
"371",1
"372",2
"373",6
"374",2
"375",2
"376",1
"377",2
"378",2
"379",1
"380",2
"381",8
"382",2
"383",8
"384",4
"385",8
"386",2
"387",2
"388",2
"389",2
"390",2
"391",2
"392",6
"393",6
"394",2
"395",2
"396",6
"397",2
"398",2
"399",2
"400",1
"401",2
"402",6
"403",6
"404",2
"405",6
"406",8
"407",2
"408",6
"409",2
"410",8
"411",6
"412",6
"413",2
"414",2
"415",6
"416",5
"417",2
"418",6
"419",6
"420",2
"421",6
"422",2
"423",2
"424",2
"425",6
"426",2
"427",2
"428",2
"429",2
"430",6
"431",2
"432",2
"433",1
"434",1
"435",2
"436",2
"437",6
"438",6
"439",2
"440",6
"441",2
"442",1
"443",2
"444",6
"445",4
"446",6
"447",6
"448",2
"449",6
"450",6
"451",2
"452",2
"453",2
"454",2
"455",1
"456",5
"457",1
"458",9
"459",6
"460",1
"461",1
"462",5
"463",5
"464",1
"465",6
"466",3
"467",5
"468",9
"469",5
"470",8
"471",5
"472",1
"473",9
"474",1
"475",5
"476",5
"477",5
"478",3
"479",5
"480",1
"481",5
"482",6
"483",6
"484",5
"485",1
"486",3
"487",5
"488",3
"489",1
"490",5
"491",1
"492",1
"493",2
"494",5
"495",1
"496",1
"497",1
"498",5
"499",5
"500",5
"501",2
"502",1
"503",1
"504",5
"505",1
"506",6
"507",1
"508",1
"509",2
"510",1
"511",2
"512",1
"513",2
"514",3
"515",3
"516",3
"517",1
"518",5
"519",2
"520",1
"521",1
"522",5
"523",1
"524",1
"525",5
"526",2
"527",5
"528",1
"529",2
"530",1
"531",1
"532",6
"533",1
"534",2
"535",6
"536",1
"537",6
"538",1
"539",9
"540",3
"541",1
"542",1
"543",2
"544",3
"545",6
"546",5
"547",2
"548",3
"549",1
"550",1
"551",1
"552",2
"553",3
"554",1
"555",1
"556",1
"557",9
"558",9
"559",3
"560",1
"561",1
"562",5
"563",3
"564",1
"565",1
"566",1
"567",4
"568",6
"569",1
"570",2
"571",2
"572",6
"573",9
"574",6
"575",1
"576",9
"577",8
"578",1
"579",1
"580",1
"581",1
"582",9
"583",2
"584",1
"585",1
"586",9
"587",5
"588",1
"589",1
"590",1
"591",1
"592",1
"593",1
"594",1
"595",1
"596",1
"597",6
"598",1
"599",6
"600",1
"601",1
"602",1
"603",9
"604",3
"605",9
"606",3
"607",1
"608",4
"609",1
"610",1
"611",1
"612",3
"613",1
"614",6
"615",1
"616",1
"617",6
"618",1
"619",2
"620",3
"621",1
"622",1
"623",2
"624",5
"625",1
"626",6
"627",3
"628",3
"629",3
"630",3
"631",3
"632",3
"633",3
"634",3
"635",1
"636",5
"637",9
"638",1
"639",6
"640",3
"641",3
"642",6
"643",1
"644",3
"645",1
"646",1
"647",3
"648",3
"649",2
"650",9
"651",9
"652",9
"653",3
"654",3
"655",3
"656",3
"657",1
"658",1
"659",1
"660",3
"661",3
"662",9
"663",2
"664",9
"665",4
"666",6
"667",1
"668",3
