"","x"
"1",2
"2",2
"3",2
"4",2
"5",2
"6",2
"7",2
"8",2
"9",2
"10",2
"11",2
"12",2
"13",4
"14",4
"15",4
"16",4
"17",1
"18",4
"19",4
"20",4
"21",4
"22",5
"23",4
"24",4
"25",5
"26",1
"27",1
"28",1
"29",1
"30",1
"31",6
"32",1
"33",1
"34",6
"35",6
"36",6
"37",6
"38",6
"39",6
"40",4
"41",6
"42",6
"43",6
"44",5
"45",6
"46",6
"47",6
"48",6
"49",6
"50",6
"51",4
"52",4
"53",8
"54",6
"55",8
"56",1
"57",6
"58",6
"59",1
"60",6
"61",6
"62",6
"63",8
"64",6
"65",6
"66",4
"67",4
"68",4
"69",4
"70",4
"71",4
"72",4
"73",8
"74",4
"75",4
"76",4
"77",4
"78",4
"79",4
"80",4
"81",4
"82",4
"83",4
"84",4
"85",4
"86",4
"87",4
"88",1
"89",3
"90",3
"91",3
"92",3
"93",3
"94",3
"95",3
"96",3
"97",1
"98",1
"99",3
"100",3
"101",3
"102",3
"103",3
"104",7
"105",7
"106",7
"107",7
"108",7
"109",7
"110",7
"111",7
"112",7
"113",7
"114",7
"115",7
"116",7
"117",7
"118",7
"119",7
"120",7
"121",7
"122",1
"123",7
"124",7
"125",7
"126",7
"127",7
"128",7
"129",7
"130",7
"131",7
"132",7
"133",7
"134",1
"135",7
"136",7
"137",7
"138",5
"139",5
"140",5
"141",5
"142",5
"143",5
"144",5
"145",5
"146",5
"147",5
"148",5
"149",6
