"","x"
"1",4
"2",1
"3",3
"4",1
"5",4
"6",1
"7",6
"8",2
"9",2
"10",1
"11",2
"12",1
"13",2
"14",4
"15",6
"16",1
"17",1
"18",6
"19",2
"20",6
"21",6
"22",4
"23",4
"24",4
"25",4
"26",3
"27",6
"28",1
"29",5
"30",3
"31",1
"32",4
"33",6
"34",4
"35",6
"36",1
"37",5
"38",3
"39",3
"40",6
"41",1
"42",5
"43",2
"44",5
"45",3
"46",6
"47",5
"48",6
"49",6
"50",6
"51",5
"52",1
"53",6
"54",4
"55",4
"56",5
"57",3
"58",5
"59",6
"60",3
"61",3
"62",1
"63",3
"64",3
"65",5
"66",5
"67",1
"68",6
"69",1
"70",6
"71",3
"72",3
"73",5
"74",5
"75",4
"76",5
"77",4
"78",5
"79",6
"80",4
